ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Aimwell Baptist Church,,publish,1,gd_place,,,"36603,Mobile,AL",",6,",6,0,500 Earle St,,Mobile,AL,United States,36603,30.6996818,-88.0529969,(251) 433-2183,,,,,,,,
,Alabama Childhood Food Sltns,,publish,1,gd_place,,,"35014,Alpine,AL",",6,",6,0,205 Old Home Pl,,Alpine,AL,United States,35014,33.2450996,-86.2311233,(256) 245-6115,,,,,,,,
,American Red Cross,,publish,1,gd_place,,,"36426,Brewton,AL",",6,",6,0,2498 South Blvd,,Brewton,AL,United States,36426,31.0839888,-87.1070148,(251) 236-2655,,,,,,,,
,Baptist Service Ctr South,,publish,1,gd_place,,,"36203,Oxford,AL",",6,",6,0,65 Colton Dr,,Oxford,AL,United States,36203,33.591255,-85.8165399,(256) 831-4691,,,,,,,,
,Blessings Food 2,,publish,1,gd_place,,,"35805,Huntsville,AL",",6,",6,0,2900 Triana Blvd SW,,Huntsville,AL,United States,35805,34.7111748,-86.6102773,(256) 469-6043,,,,,,,,
,Bread Basket Club,,publish,1,gd_place,,,"36863,Lanett,AL",",6,",6,0,2038 County Road 187,,Lanett,AL,United States,36863,32.8084161,-85.2540618,(334) 576-1882,,,,,,,,
,Calhoun Baptist Assn,,publish,1,gd_place,,,"36207,Anniston,AL",",6,",6,0,1130 Woodstock Ave,,Anniston,AL,United States,36207,33.6594383,-85.8220843,(256) 237-5171,,,,,,,,
,Caring Center,,publish,1,gd_place,,,"35071,Gardendale,AL",",6,",6,0,775 Glenn Chapel Rd,,Gardendale,AL,United States,35071,33.6899866,-86.8030441,(205) 608-3112,,,,,,,,
,Catholic Center Of Concern,,publish,1,gd_place,,,"35204,Birmingham,AL",",6,",6,0,712 4th Ct W,,Birmingham,AL,United States,35204,33.5075281,-86.8478098,(205) 786-4388,,,,,,,,
,Commerce Kitchen,,publish,1,gd_place,,,"35801,Huntsville,AL",",6,",6,0,300 Franklin St SE,,Huntsville,AL,United States,35801,34.7298522,-86.5842478,(256) 382-6622,,,,,,,,
,Committee Of Church Co-Op Inc,,publish,1,gd_place,,,"35601,Decatur,AL",",6,",6,0,119 1st Ave NE,,Decatur,AL,United States,35601,34.6048403,-86.9866347,(256) 355-8893,,,,,,,,
,Community Alliance Network,,publish,1,gd_place,,,"35758,Madison,AL",",6,",6,0,500 Gooch Ln # B,,Madison,AL,United States,35758,34.7435597,-86.7560203,(256) 617-9406,,,,,,,,
,Community Food Bank-CENTRAL Al,,publish,1,gd_place,,,"35209,Birmingham,AL",",6,",6,0,107 Walter Davis Dr,,Birmingham,AL,United States,35209,33.4739292,-86.8379673,(205) 942-8911,,,,,,,,
,Cullman Caring For Kids,,publish,1,gd_place,,,"35055,Cullman,AL",",6,",6,0,402 Arnold St NE # W1,,Cullman,AL,United States,35055,34.180894,-86.8403867,(256) 739-1111,,,,,,,,
,Dream Center,,publish,1,gd_place,,,"35633,Florence,AL",",6,",6,0,2950 Cloverdale Rd,,Florence,AL,United States,35633,34.8464969,-87.6884253,(256) 760-9759,,,,,,,,
,East Alabama Food Bank,,publish,1,gd_place,,,"36832,Auburn,AL",",6,",6,0,355 Industry Dr,,Auburn,AL,United States,36832,32.5994249,-85.528188,(334) 821-9006,,,,,,,,
