ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Chugiak Eagle River Food Pntry,,publish,1,gd_place,,,"99577,Eagle River,AK",",6,",6,0,12836 Old Glenn Hwy,,Eagle River,AK,United States,99577,61.3367013,-149.5647678,(907) 694-5228,,,,,,,,
,Fairbanks Community Food Bank,,publish,1,gd_place,,,"99701,Fairbanks,AK",",6,",6,0,725 26th Ave,,Fairbanks,AK,United States,99701,64.823005,-147.716671,(907) 457-4273,,,,,,,,
,Fairbanks Community Food Bank,,publish,1,gd_place,,,"99701,Fairbanks,AK",",6,",6,0,725 26th Ave # 101,,Fairbanks,AK,United States,99701,64.8228906,-147.7167216,(907) 452-7761,,,,,,,,
,Food Bank,,publish,1,gd_place,,,"99669,Soldotna,AK",",6,",6,0,33955 Community College Dr,,Soldotna,AK,United States,99669,60.4725723,-151.1354652,(907) 262-3111,,,,,,,,
,Food Bank Of Alaska,,publish,1,gd_place,,,"99501,Anchorage,AK",",6,",6,0,2192 Viking Dr,,Anchorage,AK,United States,99501,61.2236239,-149.8395129,(907) 222-3103,,,,,,,,
,Food Pantry Of Wasilla,,publish,1,gd_place,,,"99654,Wasilla,AK",",6,",6,0,501 E Bogard Rd,,Wasilla,AK,United States,99654,61.5859564,-149.4360175,(907) 357-3769,,,,,,,,
,Give & Take Food Bank,,publish,1,gd_place,,,"99507,Anchorage,AK",",6,",6,0,2626 Abbott Rd,,Anchorage,AK,United States,99507,61.1367883,-149.8330885,(907) 349-2005,,,,,,,,
,Kenai Peninsula Food Bank,,publish,1,gd_place,,,"99669,Soldotna,AK",",6,",6,0,33955 Community College Dr,,Soldotna,AK,United States,99669,60.4725723,-151.1354652,(907) 262-3111,,,,,,,,
,Kodiak Baptist Mission,,publish,1,gd_place,,,"99615,Kodiak,AK",",6,",6,0,1944 E Rezanof Dr,,Kodiak,AK,United States,99615,57.8013488,-152.3713961,(907) 486-4127,,,,,,,,
,Lutheran Social Svc,,publish,1,gd_place,,,"99503,Anchorage,AK",",6,",6,0,1303 W 33rd Ave # A,,Anchorage,AK,United States,99503,61.1906878,-149.9083877,(907) 272-0643,,,,,,,,
,Matsu Food Bank,,publish,1,gd_place,,,"99654,Wasilla,AK",",6,",6,0,501 E Bogard Rd,,Wasilla,AK,United States,99654,61.5859564,-149.4360175,(907) 357-3769,,,,,,,,
,Matsu Valley Corps,,publish,1,gd_place,,,"99645,Palmer,AK",",6,",6,0,1517 S Industrial Way,,Palmer,AK,United States,99645,61.5900749,-149.1168742,(907) 745-7079,,,,,,,,
,New Hope Christian Fellowship,,publish,1,gd_place,,,"99501,Anchorage,AK",",6,",6,0,1220 E St # 100,,Anchorage,AK,United States,99501,61.2100489,-149.8921091,(907) 274-4673,,,,,,,,
,Palmer Emergency Food & Cmnty,,publish,1,gd_place,,,"99645,Palmer,AK",",6,",6,0,221 S Valley Way,,Palmer,AK,United States,99645,61.6048416,-149.1107739,(907) 746-3565,,,,,,,,
,Rural Alaska Pantry,,publish,1,gd_place,,,"99523,Anchorage,AK",",6,",6,0,PO Box 232222,,Anchorage,AK,United States,99523,61.17,-149.84,,,,,,,,,
,Salvation Army Family Store,,publish,1,gd_place,,,"99801,Juneau,AK",",6,",6,0,500 W Willoughby Ave,,Juneau,AK,United States,99801,58.301231,-134.4172999,(907) 586-3046,,,,,,,,
,Southeast Alaska Food Bank,,publish,1,gd_place,,,"99801,Juneau,AK",",6,",6,0,10020 Crazy Horse Dr,,Juneau,AK,United States,99801,58.3668931,-134.6094211,(907) 789-6184,,,,,,,,
,SPCA Thrift Shop,,publish,1,gd_place,,,"99518,Anchorage,AK",",6,",6,0,549 W Intl Airport Rd # B2,,Anchorage,AK,United States,99518,61.1746931,-149.8939771,(907) 562-1092,,,,,,,,
,U-Safv Inc,,publish,1,gd_place,,,"99685,Unalaska,AK",",6,",6,0,156 W Broadway,,Unalaska,AK,United States,99685,53.8741753,-166.5345545,(907) 581-1500,,,,,,,,
,Upper Susitna Food Pantry,,publish,1,gd_place,,,"99676,Talkeetna,AK",",6,",6,0,16004 Walsted Rd,,Talkeetna,AK,United States,99676,62.191367,-150.0537501,(907) 733-3358,,,,,,,,
,Upper Susitna Food Pantry,,publish,1,gd_place,,,"99683,Trapper Creek,AK",",6,",6,0,8258 E Petersville Rd,,Trapper Creek,AK,United States,99683,62.314331,-150.277036,(907) 733-3348,,,,,,,,
,Valdez Food Bank,,publish,1,gd_place,,,"99686,Valdez,AK",",6,",6,0,278 Richardson Hwy,,Valdez,AK,United States,99686,61.1314816,-146.3418307,(907) 835-3663,,,,,,,,
,Wic Program,,publish,1,gd_place,,,"99701,Fairbanks,AK",",6,",6,0,1408 19th Ave,,Fairbanks,AK,United States,99701,64.8314652,-147.7393126,(907) 451-6682,,,,,,,,
