ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Agua Fria Food Bank-Clothing,,publish,1,gd_place,,,"85323,Avondale,AZ",",6,",6,0,405 E Harrison Dr,,Avondale,AZ,United States,85323,33.4277248,-112.3447301,(623) 932-9135,,,,,,,,
,All Faith Community Svc,,publish,1,gd_place,,,"85326,Buckeye,AZ",",6,",6,0,214 S 5th St,,Buckeye,AZ,United States,85326,33.3684891,-112.5846011,(623) 386-3513,,,,,,,,
,Apache Junction Reach Out Food,,publish,1,gd_place,,,"85119,Apache Junction,AZ",",6,",6,0,575 N Idaho Rd # 701,,Apache Junction,AZ,United States,85119,33.4209995,-111.5445364,(480) 983-2995,,,,,,,,
,Apache Junction Reach Out Food,,publish,1,gd_place,,,"85004,Phoenix,AZ",",6,",6,0,2100 N Central Ave,,Phoenix,AZ,United States,85004,33.4708935,-112.0742064,(602) 528-3434,,,,,,,,
,Arizona Food Bank Network,,publish,1,gd_place,,,"85004,Phoenix,AZ",",6,",6,0,340 E Coronado Rd # 400,,Phoenix,AZ,United States,85004,33.4680424,-112.0676546,,,,,,,,,
,Assembly Of God Church,,publish,1,gd_place,,,"85926,Fort Apache,AZ",",6,",6,0,4518 S 7th St,,Fort Apache,AZ,United States,85926,33.79062,-109.9887125,(928) 338-4577,,,,,,,,
,Association Of AZ Food Banks,,publish,1,gd_place,,,"85004,Phoenix,AZ",",6,",6,0,340 E Coronado Rd # 400,,Phoenix,AZ,United States,85004,33.4680424,-112.0676546,(602) 528-3434,,,,,,,,
,Azcend,,publish,1,gd_place,,,"85225,Chandler,AZ",",6,",6,0,345 S California St,,Chandler,AZ,United States,85225,33.2981217,-111.8433975,(480) 963-1423,,,,,,,,
,Borderlands Food Bank,,publish,1,gd_place,,,"85621,Nogales,AZ",",6,",6,0,270 W Produce Row,,Nogales,AZ,United States,85621,31.3801255,-110.9421369,(520) 287-2627,,,,,,,,
,Camp Verde Seventh-Day,,publish,1,gd_place,,,"86322,Camp Verde,AZ",",6,",6,0,1406 N Boothill Dr,,Camp Verde,AZ,United States,86322,34.5900262,-111.8685845,(928) 567-4281,,,,,,,,
