ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Alma Community Outreach Ctr,,publish,1,gd_place,,,"72921,Alma,AR",",6,",6,0,135 Fayetteville Ave,,Alma,AR,United States,72921,35.4767542,-94.2214304,(479) 430-7660,,,,,,,,
,Arkansas Food Bank,,publish,1,gd_place,,,"72209,Little Rock,AR",",6,",6,0,4301 W 65th St,,Little Rock,AR,United States,72209,34.6879714,-92.3229415,(501) 565-8121,,,,,,,,
,Arkansas Foodbank,,publish,1,gd_place,,,"72209,Little Rock,AR",",6,",6,0,3801 W 65th St,,Little Rock,AR,United States,72209,34.689007,-92.3177849,(501) 565-8855,,,,,,,,
,Arkansas Foodbank Network,,publish,1,gd_place,,,"71671,Warren,AR",",6,",6,0,205 N Martin St,,Warren,AR,United States,71671,33.6154335,-92.0721638,(501) 569-8121,,,,,,,,
,Arvac Food Pantry,,publish,1,gd_place,,,"72834,Dardanelle,AR",",6,",6,0,504 Union St,,Dardanelle,AR,United States,72834,35.2216789,-93.1617392,(479) 477-3914,,,,,,,,
,Batesville Help & Hope,,publish,1,gd_place,,,"72501,Batesville,AR",",6,",6,0,2622 E Main St,,Batesville,AR,United States,72501,35.7988806,-91.6175357,(870) 793-9181,,,,,,,,
,Blytheville-Gosnell Area Food,,publish,1,gd_place,,,"72315,Blytheville,AR",",6,",6,0,122 W Main St,,Blytheville,AR,United States,72315,35.9276416,-89.9037408,(870) 762-9999,,,,,,,,
,Choctaw Church-Christ FOOD Bnk,,publish,1,gd_place,,,"72028,Choctaw,AR",",6,",6,0,201 Highway 330 E,,Choctaw,AR,United States,72028,35.5296016,-92.4074647,(501) 253-7987,,,,,,,,
,Cjcohn,,publish,1,gd_place,,,"72015,Benton,AR",",6,",6,0,103 Elm,,Benton,AR,United States,72015,34.5569051,-92.5867918,(501) 776-2912,,,,,,,,
,Cleburne County Cares,,publish,1,gd_place,,,"72543,Heber Springs,AR",",6,",6,0,2016 Highway 25b,,Heber Springs,AR,United States,72543,35.4914255,-92.030216,(501) 362-8486,,,,,,,,
,Delta Dream Food Pantry,,publish,1,gd_place,,,"72360,Marianna,AR",",6,",6,0,103 W Mississippi St,,Marianna,AR,United States,72360,34.7708051,-90.7610424,(870) 821-5061,,,,,,,,
,Delta Network Inc,,publish,1,gd_place,,,"71601,Pine Bluff,AR",",6,",6,0,11 Portea Dr,,Pine Bluff,AR,United States,71601,34.2243431,-91.9725611,(870) 536-2424,,,,,,,,
,Every Child Is Ours,,publish,1,gd_place,,,"72473,Tuckerman,AR",",6,",6,0,201 1/2 Highway 367,,Tuckerman,AR,United States,72473,35.7293355,-91.2002991,(870) 349-2001,,,,,,,,
,First Presbyterian Chr-VAN Brn,,publish,1,gd_place,,,"72956,Van Buren,AR",",6,",6,0,108 S 10th St,,Van Buren,AR,United States,72956,35.4363337,-94.3497314,(479) 474-2375,,,,,,,,
,First Ward/Living Grace Pantry,,publish,1,gd_place,,,"71603,Pine Bluff,AR",",6,",6,0,3108 Almetta Dr,,Pine Bluff,AR,United States,71603,34.196984,-92.0502266,,,,,,,,,
,Fish Net Missions Of Jackson,,publish,1,gd_place,,,"72076,Jacksonville,AR",",6,",6,0,1700 Swift Dr,,Jacksonville,AR,United States,72076,34.8841937,-92.1267077,(501) 241-1211,,,,,,,,
,Flint Street Fellowship,,publish,1,gd_place,,,"72632,Eureka Springs,AR",",6,",6,0,28 Flint St,,Eureka Springs,AR,United States,72632,36.402235,-93.7357139,(479) 253-9491,,,,,,,,
,Food Bank Of Northeast AR,,publish,1,gd_place,,,"72404,Jonesboro,AR",",6,",6,0,3414 One Pl,,Jonesboro,AR,United States,72404,35.8039247,-90.6480929,(870) 932-3663,,,,,,,,
,Foodshare & Opportunity Ntwrk,,publish,1,gd_place,,,"71857,Prescott,AR",",6,",6,0,229 W Main St,,Prescott,AR,United States,71857,33.8035719,-93.3826727,(870) 887-3663,,,,,,,,
,Good Shepherd Ctr,,publish,1,gd_place,,,"72396,Wynne,AR",",6,",6,0,1103 Falls Blvd N # B,,Wynne,AR,United States,72396,35.2305512,-90.7857044,(870) 238-8322,,,,,,,,
,Grace Place,,publish,1,gd_place,,,"72744,Lincoln,AR",",6,",6,0,120 E Park St,,Lincoln,AR,United States,72744,35.9486537,-94.4224893,(479) 824-5496,,,,,,,,
,Greater Crossett Area Food PNT,,publish,1,gd_place,,,"71635,Crossett,AR",",6,",6,0,309 Pine St,,Crossett,AR,United States,71635,33.1314518,-91.959603,(870) 364-9551,,,,,,,,
,Harvest Renional Food Bank,,publish,1,gd_place,,,"71854,Texarkana,AR",",6,",6,0,3120 E 19th St,,Texarkana,AR,United States,71854,33.439844,-94.0090124,(870) 774-1398,,,,,,,,
,Harvey's Chapel Baptist Church,,publish,1,gd_place,,,"71913,Hot Springs National Park,AR",",6,",6,0,2515 Mountain Pine Rd,,Hot Springs National Park,AR,United States,71913,34.5624484,-93.1545202,(501) 767-5541,,,,,,,,
,Helping Hand,,publish,1,gd_place,,,"72202,Little Rock,AR",",6,",6,0,1601 Marshall St,,Little Rock,AR,United States,72202,34.7353011,-92.291631,(501) 372-4388,,,,,,,,
,Helping Neighbors Food Pantry,,publish,1,gd_place,,,"72401,Jonesboro,AR",",6,",6,0,900 W Huntington Ave,,Jonesboro,AR,United States,72401,35.8401929,-90.7160098,(870) 935-7298,,,,,,,,
,Hickory Ridge Food Pantry,,publish,1,gd_place,,,"72347,Hickory Ridge,AR",",6,",6,0,509 Cross 115,,Hickory Ridge,AR,United States,72347,35.4022541,-90.9952879,,,,,,,,,
,Holy Cross Lutheran Chr-Elca,,publish,1,gd_place,,,"72653,Mountain Home,AR",",6,",6,0,48 Carnation Dr,,Mountain Home,AR,United States,72653,36.3718113,-92.3215075,(870) 492-6636,,,,,,,,
,Hope Center,,publish,1,gd_place,,,"72956,Van Buren,AR",",6,",6,0,619 N 20th St,,Van Buren,AR,United States,72956,35.4434955,-94.3384354,(479) 262-6117,,,,,,,,
,Life Source Intl Inc,,publish,1,gd_place,,,"72701,Fayetteville,AR",",6,",6,0,602 S School Ave,,Fayetteville,AR,United States,72701,36.0557224,-94.1637741,(479) 521-4000,,,,,,,,
,Loaves-Fishes Food Bank,,publish,1,gd_place,,,"72616,Berryville,AR",",6,",6,0,301 Bunch Springs Rd,,Berryville,AR,United States,72616,36.366349,-93.58453,(870) 423-4246,,,,,,,,
,Manna House,,publish,1,gd_place,,,"72556,Melbourne,AR",",6,",6,0,32 S Lunen St,,Melbourne,AR,United States,72556,36.0587455,-91.9061479,(870) 368-7111,,,,,,,,
,Mission Of Hope,,publish,1,gd_place,,,"72542,Hardy,AR",",6,",6,0,3968 Highway 62 412,,Hardy,AR,United States,72542,36.3152537,-91.4965107,(870) 856-5511,,,,,,,,
,Mountain Home Food Basket,,publish,1,gd_place,,,"72653,Mountain Home,AR",",6,",6,0,1341 Eastside Centre Ct,,Mountain Home,AR,United States,72653,36.3531752,-92.3629888,(870) 425-6902,,,,,,,,
,New Horizon Chr & Ministries,,publish,1,gd_place,,,"71742,Fordyce,AR",",6,",6,0,206 E 3rd St,,Fordyce,AR,United States,71742,33.8124358,-92.4135819,(870) 352-3200,,,,,,,,
,Northwest Arkansas Food Bank,,publish,1,gd_place,,,"72764,Bethel Heights,AR",",6,",6,0,1378 June Self Dr,,Bethel Heights,AR,United States,72764,36.2234756,-94.1149923,(479) 872-8774,,,,,,,,
,Ozark Food Bank,,publish,1,gd_place,,,"72764,Bethel Heights,AR",",6,",6,0,1378 June Self Dr,,Bethel Heights,AR,United States,72764,36.2234756,-94.1149923,(479) 872-8774,,,,,,,,
,Partners For Progress,,publish,1,gd_place,,,"72126,Perryville,AR",",6,",6,0,1115 Aplin Ave,,Perryville,AR,United States,72126,35.0050854,-92.8099595,(501) 889-2422,,,,,,,,
,Project Hope Food Bank,,publish,1,gd_place,,,"71901,Hot Springs,AR",",6,",6,0,915 Gaines Ave # B,,Hot Springs,AR,United States,71901,34.4948817,-93.0457302,(501) 623-3663,,,,,,,,
,Refuge Church-The Assemblies,,publish,1,gd_place,,,"72401,Jonesboro,AR",",6,",6,0,1404 Stone St,,Jonesboro,AR,United States,72401,35.8267053,-90.6750065,(870) 932-3914,,,,,,,,
