ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,St John's Episcopal Food Bank,,publish,1,gd_place,,,"95901,Marysville,CA",",6,",6,0,800 D St,,Marysville,CA,United States,95901,39.1440451,-121.5898867,(530) 741-1165,,,,,,,,
,St Peter's Episcopal Church,,publish,1,gd_place,,,"93458,Santa Maria,CA",",6,",6,0,402 S Lincoln St,,Santa Maria,CA,United States,93458,34.9495865,-120.4371598,(805) 922-3575,,,,,,,,
,St Stephen's Resource Ctr,,publish,1,gd_place,,,"95020,Gilroy,CA",",6,",6,0,651 Broadway,,Gilroy,CA,United States,95020,37.0147896,-121.5819787,(408) 842-1401,,,,,,,,
,St Vincent De Paul Food Bank,,publish,1,gd_place,,,"95821,Sacramento,CA",",6,",6,0,4123 Robertson Ave,,Sacramento,CA,United States,95821,38.6215233,-121.3678547,(916) 485-3482,,,,,,,,
,Sunrise Food Ministry,,publish,1,gd_place,,,"95610,Citrus Heights,CA",",6,",6,0,5901 San Juan Ave,,Citrus Heights,CA,United States,95610,38.6730367,-121.2933471,(916) 965-5431,,,,,,,,
,Super Duper Burgers,,publish,1,gd_place,,,"94949,Novato,CA",",6,",6,0,5800 Nave Dr # C,,Novato,CA,United States,94949,38.0632929,-122.533205,(415) 382-1980,,,,,,,,
,Titan Food's,,publish,1,gd_place,,,"90022,Commerce,CA",",6,",6,0,5700 E Olympic Blvd,,Commerce,CA,United States,90022,34.013718,-118.148158,(323) 721-1482,,,,,,,,
,Torrance First Baptist Church,,publish,1,gd_place,,,"90501,Torrance,CA",",6,",6,0,2118 W Carson St,,Torrance,CA,United States,90501,33.8310248,-118.3196379,(310) 328-5030,,,,,,,,
,Tracy Interfaith Ministries,,publish,1,gd_place,,,"95376,Tracy,CA",",6,",6,0,311 W Grant Line Rd,,Tracy,CA,United States,95376,37.7551117,-121.4301275,(209) 836-5424,,,,,,,,
,Tree Of Life Ministries,,publish,1,gd_place,,,"91335,Reseda,CA",",6,",6,0,18341 Sherman Way,,Reseda,CA,United States,91335,34.2014162,-118.5330365,(818) 578-8831,,,,,,,,
,Tri City Volunteers,,publish,1,gd_place,,,"94536,Fremont,CA",",6,",6,0,37350 Joseph St,,Fremont,CA,United States,94536,37.5558324,-122.0076435,(510) 793-4583,,,,,,,,
,Tulare Emergency Aid Council,,publish,1,gd_place,,,"93274,Tulare,CA",",6,",6,0,424 N N St,,Tulare,CA,United States,93274,36.2131701,-119.3429725,(559) 686-3693,,,,,,,,
,Twin Lakes Food Bank Inc,,publish,1,gd_place,,,"95630,Folsom,CA",",6,",6,0,327 Montrose Dr,,Folsom,CA,United States,95630,38.6822153,-121.1579844,(916) 985-6232,,,,,,,,
,Vacaville Store House,,publish,1,gd_place,,,"95688,Vacaville,CA",",6,",6,0,1146 E Monte Vista Ave # B,,Vacaville,CA,United States,95688,38.3602422,-121.9751713,(707) 454-0268,,,,,,,,
,Valley Churches United Mssns,,publish,1,gd_place,,,"95005,Ben Lomond,CA",",6,",6,0,9400 Highway 9,,Ben Lomond,CA,United States,95005,37.0889676,-122.0882272,(831) 336-8258,,,,,,,,
,Valley Community Pantry,,publish,1,gd_place,,,"92544,Hemet,CA",",6,",6,0,191 S Columbia St,,Hemet,CA,United States,92544,33.7462343,-116.9465612,(951) 929-1101,,,,,,,,
,Valley Food Bank,,publish,1,gd_place,,,"92251,Imperial,CA",",6,",6,0,486 W Aten Rd,,Imperial,CA,United States,92251,32.8258874,-115.577645,(760) 545-0147,,,,,,,,
,Valley Food Bank,,publish,1,gd_place,,,"91605,North Hollywood,CA",",6,",6,0,13422 Saticoy St,,North Hollywood,CA,United States,91605,34.2080489,-118.4257115,(818) 785-4476,,,,,,,,
,Valley Food Bank,,publish,1,gd_place,,,"91331,Pacoima,CA",",6,",6,0,12701 Van Nuys Blvd # A,,Pacoima,CA,United States,91331,34.2762444,-118.410651,(818) 510-4140,,,,,,,,
,Visions Christian Ctr,,publish,1,gd_place,,,"94509,Antioch,CA",",6,",6,0,330 Worrell Rd,,Antioch,CA,United States,94509,37.9937744,-121.7991833,(925) 777-0290,,,,,,,,
