ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,6th & E Street Eatery,,publish,1,gd_place,,,"95501,Eureka,CA",",6,",6,0,603 E St,,Eureka,CA,United States,95501,40.8008262,-124.1666439,(707) 445-8783,,,,,,,,
,A R Razzaq Food Bank,,publish,1,gd_place,,,"95826,Sacramento,CA",",6,",6,0,,,Sacramento,CA,United States,95826,38.5499634,-121.3884671,(916) 379-9750,,,,,,,,
,Accufood,,publish,1,gd_place,,,"91367,Woodland Hills,CA",",6,",6,0,6459 Independence Ave,,Woodland Hills,CA,United States,91367,34.1878984,-118.5912683,(818) 887-3988,,,,,,,,
,Acts Food Pantry,,publish,1,gd_place,,,"91001,Altadena,CA",",6,",6,0,943 E Altadena Dr,,Altadena,CA,United States,91001,34.190655,-118.1305091,,,,,,,,,
,Alameda County Cmnty Food Bank,,publish,1,gd_place,,,"94520,Concord,CA",",6,",6,0,5121 Port Chicago Hwy,,Concord,CA,United States,94520,38.0159316,-122.025941,(510) 635-3663,,,,,,,,
,Alameda County Cmnty Food Bank,,publish,1,gd_place,,,"94621,Oakland,CA",",6,",6,0,7900 Edgewater Dr,,Oakland,CA,United States,94621,37.7415255,-122.2013871,(510) 635-3663,,,,,,,,
,Alameda Food Bank,,publish,1,gd_place,,,"94501,Alameda,CA",",6,",6,0,1900 Thau Way,,Alameda,CA,United States,94501,37.7793309,-122.2744496,(510) 523-5850,,,,,,,,
,All Saints Episcopal Church,,publish,1,gd_place,,,"93030,Oxnard,CA",",6,",6,0,144 S C St,,Oxnard,CA,United States,93030,34.2018275,-119.1807614,(805) 483-2347,,,,,,,,
,Almanor Basin Food Pantry,,publish,1,gd_place,,,"96020,Chester,CA",",6,",6,0,PO Box 1445,,Chester,CA,United States,96020,40.3062736,-121.2319098,,,,,,,,,
,Anderson-Cottonwood Christian,,publish,1,gd_place,,,"96007,Anderson,CA",",6,",6,0,2979 E Center St,,Anderson,CA,United States,96007,40.4505859,-122.3000382,(530) 365-4220,,,,,,,,
,Apple Valley Chr-The Nazarene,,publish,1,gd_place,,,"92308,Apple Valley,CA",",6,",6,0,12935 Central Rd,,Apple Valley,CA,United States,92308,34.4871238,-117.1721531,(760) 247-8433,,,,,,,,
,AR Razzaq Food Bank,,publish,1,gd_place,,,"95860,Sacramento,CA",",6,",6,0,PO Box 601503,,Sacramento,CA,United States,95860,38.61,-121.38,(916) 761-5216,,,,,,,,
,Ar-Razzaq Food Bank,,publish,1,gd_place,,,"95825,Sacramento,CA",",6,",6,0,2245 Park Towne Cir # 2,,Sacramento,CA,United States,95825,38.6056205,-121.3844192,(916) 488-8110,,,,,,,,
,Assumption Food Resource,,publish,1,gd_place,,,"96161,Truckee,CA",",6,",6,0,10116 E St,,Truckee,CA,United States,96161,39.3301524,-120.1823302,(530) 582-4493,,,,,,,,
,Auburn Interfaith Food Closet,,publish,1,gd_place,,,"95603,Auburn,CA",",6,",6,0,1788 Auburn Ravine Rd,,Auburn,CA,United States,95603,38.9223498,-121.0588161,(530) 885-1921,,,,,,,,
,Banco De Alimendos De Gdlp,,publish,1,gd_place,,,"93311,Bakersfield,CA",",6,",6,0,11604 Crabbet Park Dr,,Bakersfield,CA,United States,93311,35.3394452,-119.132032,,,,,,,,,
,Bay Area Food Bank,,publish,1,gd_place,,,"94520,Concord,CA",",6,",6,0,5121 Port Chicago Hwy,,Concord,CA,United States,94520,38.0159316,-122.025941,(800) 870-3663,,,,,,,,
,Bayco Vending,,publish,1,gd_place,,,"94123,San Francisco,CA",",6,",6,0,1592 Union St # 49,,San Francisco,CA,United States,94123,37.7986566,-122.4254676,(650) 589-5252,,,,,,,,
,Bethany Presbyterian Church,,publish,1,gd_place,,,"95822,Sacramento,CA",",6,",6,0,5625 24th St,,Sacramento,CA,United States,95822,38.5239681,-121.4823589,(916) 428-5281,,,,,,,,
,Bethlehem Center,,publish,1,gd_place,,,"93291,Visalia,CA",",6,",6,0,1638 N Dinuba Blvd,,Visalia,CA,United States,93291,36.3450239,-119.296319,(559) 734-1572,,,,,,,,
,Big Valley Grace,,publish,1,gd_place,,,"95356,Modesto,CA",",6,",6,0,4040 Tully Rd # A,,Modesto,CA,United States,95356,37.6975926,-121.0086915,(209) 577-1604,,,,,,,,
,Bishops Storehouse,,publish,1,gd_place,,,"90023,Los Angeles,CA",",6,",6,0,2730 E 12th St,,Los Angeles,CA,United States,90023,34.0213254,-118.2196594,(323) 265-8051,,,,,,,,
,Blessing Center,,publish,1,gd_place,,,"92374,Redlands,CA",",6,",6,0,1157 Judson St,,Redlands,CA,United States,92374,34.0680907,-117.1565644,(909) 793-5677,,,,,,,,
,Blue Lake Family Resource Ctr,,publish,1,gd_place,,,"95525,Blue Lake,CA",",6,",6,0,111 Greenwood Rd,,Blue Lake,CA,United States,95525,40.8829072,-123.9839488,(707) 668-4281,,,,,,,,
