ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,A Precious Child,,publish,1,gd_place,,,"80020,Westminster,CO",",6,",6,0,7051 W 118th Ave,,Westminster,CO,United States,80020,39.9116911,-105.0744651,(303) 466-4272,,,,,,,,
,Agape Christian Church,,publish,1,gd_place,,,"80205,Denver,CO",",6,",6,0,2501 California St,,Denver,CO,United States,80205,39.7539347,-104.9814118,(303) 296-2454,,,,,,,,
,Agape New Harvest Outreach Svc,,publish,1,gd_place,,,"80910,Colorado Springs,CO",",6,",6,0,2513 Airport Rd,,Colorado Springs,CO,United States,80910,38.8242648,-104.7828089,(719) 313-9110,,,,,,,,
,Ansar Pantry,,publish,1,gd_place,,,"80011,Aurora,CO",",6,",6,0,16251 E Colfax Ave,,Aurora,CO,United States,80011,39.7408119,-104.7986342,(720) 242-8002,,,,,,,,
,Arvada Community Food Bank,,publish,1,gd_place,,,"80002,Arvada,CO",",6,",6,0,8555 W 57th Ave,,Arvada,CO,United States,80002,39.8007369,-105.0930527,(303) 424-6685,,,,,,,,
,Associated Charities,,publish,1,gd_place,,,"81050,La Junta,CO",",6,",6,0,517 Colorado Ave,,La Junta,CO,United States,81050,37.98326,-103.5427198,(719) 384-4451,,,,,,,,
,Bennett Community Food Bank,,publish,1,gd_place,,,"80136,Strasburg,CO",",6,",6,0,2057 S County Road 149,,Strasburg,CO,United States,80136,39.678126,-104.361751,,,,,,,,,
,Bienvenidos Food Bank,,publish,1,gd_place,,,"80211,Denver,CO",",6,",6,0,3810 Pecos St,,Denver,CO,United States,80211,39.7696391,-105.0062373,(303) 433-6328,,,,,,,,
,C C Community Sharing Ctr,,publish,1,gd_place,,,"81252,Westcliffe,CO",",6,",6,0,120 N 3rd St,,Westcliffe,CO,United States,81252,38.1370237,-105.4676964,(719) 783-3303,,,,,,,,
,Care & Share Food Bank,,publish,1,gd_place,,,"80915,Colorado Springs,CO",",6,",6,0,2605 Preamble Pt,,Colorado Springs,CO,United States,80915,38.868562,-104.712328,(719) 528-1247,,,,,,,,
,Care & Share Food Bank,,publish,1,gd_place,,,"81004,Pueblo,CO",",6,",6,0,100 Greenhorn Dr # 100,,Pueblo,CO,United States,81004,38.2099346,-104.6267307,(719) 296-6995,,,,,,,,
,Catholic Charities,,publish,1,gd_place,,,"80204,Denver,CO",",6,",6,0,3550 W 13th Ave,,Denver,CO,United States,80204,39.736285,-105.0341564,(303) 892-1540,,,,,,,,
,Catholic Charities Of Denver,,publish,1,gd_place,,,"80216,Denver,CO",",6,",6,0,6240 Smith Rd,,Denver,CO,United States,80216,39.7730262,-104.915205,(303) 742-0828,,,,,,,,
,Cedaredge Food Bank,,publish,1,gd_place,,,"81413,Cedaredge,CO",",6,",6,0,245 W Main St,,Cedaredge,CO,United States,81413,38.9005474,-107.9260329,(970) 856-1125,,,,,,,,
,Central SDA,,publish,1,gd_place,,,"80909,Colorado Springs,CO",",6,",6,0,1305 N Union Blvd,,Colorado Springs,CO,United States,80909,38.8507274,-104.7938193,(719) 578-5616,,,,,,,,
,Charg Resource Ctr,,publish,1,gd_place,,,"80218,Denver,CO",",6,",6,0,920 N Emerson St,,Denver,CO,United States,80218,39.7309649,-104.9763012,(303) 830-2130,,,,,,,,
,Church Of Christ,,publish,1,gd_place,,,"80113,Englewood,CO",",6,",6,0,4690 S Logan St,,Englewood,CO,United States,80113,39.6315059,-104.9828334,(303) 762-0897,,,,,,,,
,Colorado Community Church,,publish,1,gd_place,,,"80012,Aurora,CO",",6,",6,0,14000 E Jewell Ave,,Aurora,CO,United States,80012,39.6811069,-104.8270392,(303) 783-3838,,,,,,,,
,Community Food Bank,,publish,1,gd_place,,,"81502,Grand Junction,CO",",6,",6,0,PO Box 3614,,Grand Junction,CO,United States,81502,39.0687149,-108.5662111,(970) 640-0336,,,,,,,,
,Community Food Share,,publish,1,gd_place,,,"80027,Louisville,CO",",6,",6,0,650 S Taylor Ave # C,,Louisville,CO,United States,80027,39.9597417,-105.1192259,(303) 652-3663,,,,,,,,
,Community Food Share,,publish,1,gd_place,,,"80027,Louisville,CO",",6,",6,0,650 S Taylor Ave # C,,Louisville,CO,United States,80027,39.9597417,-105.1192259,(303) 652-3663,,,,,,,,
,Community Ministry-Southwest,,publish,1,gd_place,,,"80223,Denver,CO",",6,",6,0,1755 S Zuni St,,Denver,CO,United States,80223,39.6851723,-105.0160705,(303) 935-3428,,,,,,,,
,Doulgas Elbert Task Force,,publish,1,gd_place,,,"80109,Castle Rock,CO",",6,",6,0,1638 Park St # A,,Castle Rock,CO,United States,80109,39.3857085,-104.8678548,(303) 688-6129,,,,,,,,
,Durango Food Bank,,publish,1,gd_place,,,"81303,Durango,CO",",6,",6,0,194 Bodo Dr # C,,Durango,CO,United States,81303,37.2450998,-107.8768185,(970) 375-2672,,,,,,,,
,Durango Food Bank,,publish,1,gd_place,,,"81303,Durango,CO",",6,",6,0,194 Bodo Dr # C,,Durango,CO,United States,81303,37.2450998,-107.8768185,(970) 375-2672,,,,,,,,
,East Denver Bible Baptist Chr,,publish,1,gd_place,,,"80207,Denver,CO",",6,",6,0,5500 E 26th Ave,,Denver,CO,United States,80207,39.7544261,-104.9230408,(303) 916-3246,,,,,,,,
,Echo Food Bank,,publish,1,gd_place,,,"80439,Evergreen,CO",",6,",6,0,27640 Highway 74,,Evergreen,CO,United States,80439,39.6368684,-105.3142619,(720) 541-7781,,,,,,,,
,Erie Community Food Pantry,,publish,1,gd_place,,,"80516,Erie,CO",",6,",6,0,PO Box 703,,Erie,CO,United States,80516,40.0369992,-105.0089888,(303) 828-3546,,,,,,,,
,Food Bank For Larimer County,,publish,1,gd_place,,,"80538,Loveland,CO",",6,",6,0,5706 Wright Dr,,Loveland,CO,United States,80538,40.4508686,-104.9983057,(970) 493-4477,,,,,,,,
