ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Amazing Grace,,publish,1,gd_place,,,"6457,Middletown,CT",",6,",6,0,16 Stack St,,Middletown,CT,United States,6457,41.5684934,-72.6550556,(860) 347-3222,,,,,,,,
,Bethel Community Food Pantry,,publish,1,gd_place,,,"6801,Bethel,CT",",6,",6,0,95 Greenwood Ave,,Bethel,CT,United States,6801,41.3715394,-73.4097795,,,,,,,,,
,Care & Share Of East Lyme Inc,,publish,1,gd_place,,,"6333,East Lyme,CT",",6,",6,0,16 Roxbury Rd,,East Lyme,CT,United States,6333,41.3346826,-72.208573,(860) 691-8997,,,,,,,,
,Catholic Charities-Fairfield,,publish,1,gd_place,,,"6604,Bridgeport,CT",",6,",6,0,43 Madison Ave,,Bridgeport,CT,United States,6604,41.1859548,-73.1942025,(203) 367-9036,,,,,,,,
,Cheshire Community Food Pantry,,publish,1,gd_place,,,"6410,Cheshire,CT",",6,",6,0,175 Sandbank Rd,,Cheshire,CT,United States,6410,41.5332794,-72.8991459,(203) 699-9226,,,,,,,,
,Christ Church Ansonia,,publish,1,gd_place,,,"6401,Ansonia,CT",",6,",6,0,56 S Cliff St,,Ansonia,CT,United States,6401,41.3451452,-73.0775354,(203) 734-2715,,,,,,,,
,Church-God Helping Hand Food,,publish,1,gd_place,,,"6112,Hartford,CT",",6,",6,0,344 Blue Hills Ave,,Hartford,CT,United States,6112,41.794491,-72.6966108,(860) 243-9787,,,,,,,,
,Community Dining Room,,publish,1,gd_place,,,"6405,Branford,CT",",6,",6,0,30 Harrison Ave # 1,,Branford,CT,United States,6405,41.2813038,-72.8134663,(203) 488-9750,,,,,,,,
,Connecticut Food Bank,,publish,1,gd_place,,,"6492,Wallingford,CT",",6,",6,0,2 Research Pkwy,,Wallingford,CT,United States,6492,41.481052,-72.765537,(203) 469-5000,,,,,,,,
,Connecticut Food Bank Inc,,publish,1,gd_place,,,"6512,East Haven,CT",",6,",6,0,150 Bradley St,,East Haven,CT,United States,6512,41.2861859,-72.87452,(203) 469-5000,,,,,,,,
,Corner Food Pantry,,publish,1,gd_place,,,"6039,Lakeville,CT",",6,",6,0,80 Sharon Rd,,Lakeville,CT,United States,6039,41.960132,-73.437145,(860) 435-9886,,,,,,,,
,Corner Food Pantry Inc,,publish,1,gd_place,,,"6039,Lakeville,CT",",6,",6,0,PO Box 705,,Lakeville,CT,United States,6039,41.9644861,-73.4408034,,,,,,,,,
,Cornerstone Foundations,,publish,1,gd_place,,,"6066,Vernon Rockville,CT",",6,",6,0,1 Prospect St # 1a,,Vernon Rockville,CT,United States,6066,41.8683057,-72.443683,(860) 875-6343,,,,,,,,
,East Hampton Volunteer Food,,publish,1,gd_place,,,"6424,East Hampton,CT",",6,",6,0,43 W High St,,East Hampton,CT,United States,6424,41.5794443,-72.5104767,(860) 365-5978,,,,,,,,
