ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,First Baptist Chr Of Alturas,,publish,1,gd_place,,,"33820,Alturas,FL",",6,",6,0,7690 Poinsettia Ave,,Alturas,FL,United States,33820,27.8706029,-81.714194,(863) 397-3979,,,,,,,,
,Loaves & Fishes,,publish,1,gd_place,,,"32703,Apopka,FL",",6,",6,0,206 E 8th St,,Apopka,FL,United States,32703,28.6679979,-81.5071422,(407) 886-6005,,,,,,,,
,Rosceola's Food Pantry Inc,,publish,1,gd_place,,,"32712,Apopka,FL",",6,",6,0,2221 White Jasmine Ct,,Apopka,FL,United States,32712,28.704546,-81.4685355,(321) 203-8480,,,,,,,,
,St Albans Episcopal Church,,publish,1,gd_place,,,"33823,Auburndale,FL",",6,",6,0,208 E Lake Ave,,Auburndale,FL,United States,33823,28.0648068,-81.7873445,(863) 967-2130,,,,,,,,
,Central Florida Food Banks Inc,,publish,1,gd_place,,,"33831,Bartow,FL",",6,",6,0,PO Box 776,,Bartow,FL,United States,33831,27.8954748,-81.8423386,,,,,,,,,
,Belleview United,,publish,1,gd_place,,,"34420,Belleview,FL",",6,",6,0,5514 SE Hames Rd,,Belleview,FL,United States,34420,29.055988,-82.0571643,(352) 307-6225,,,,,,,,
,St Theresa Catholic Church,,publish,1,gd_place,,,"34420,Belleview,FL",",6,",6,0,11528 SE US Highway 301,,Belleview,FL,United States,34420,29.0557743,-82.0482265,(352) 245-2458,,,,,,,,
,Boca Helping Hands,,publish,1,gd_place,,,"33432,Boca Raton,FL",",6,",6,0,1500 NW 1st Ct,,Boca Raton,FL,United States,33432,26.3635045,-80.0870591,(561) 417-0913,,,,,,,,
,Salvation Army Of Lee County,,publish,1,gd_place,,,"34135,Bonita Springs,FL",",6,",6,0,26820 Old 41 Rd # 102,,Bonita Springs,FL,United States,34135,26.3479243,-81.7795316,(239) 948-5200,,,,,,,,
,Feeding South Florida,,publish,1,gd_place,,,"33426,Boynton Beach,FL",",6,",6,0,4925 Park Ridge Blvd,,Boynton Beach,FL,United States,33426,26.5408697,-80.0797808,(561) 331-5441,,,,,,,,
,Bible Baptist Church,,publish,1,gd_place,,,"34208,Bradenton,FL",",6,",6,0,2113 57th St E,,Bradenton,FL,United States,34208,27.4799814,-82.4885586,(941) 746-6221,,,,,,,,
