ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Aaag Inc,,publish,1,gd_place,,,"30336,Atlanta,GA",",6,",6,0,4360 Commerce Cir SW,,Atlanta,GA,United States,30336,33.7621575,-84.5300229,(404) 505-1118,,,,,,,,
,Abundant Life Assembly Of God,,publish,1,gd_place,,,"30248,Locust Grove,GA",",6,",6,0,751 Dean Patrick Rd,,Locust Grove,GA,United States,30248,33.3024003,-84.072155,(770) 775-4838,,,,,,,,
,America's Second Harvest,,publish,1,gd_place,,,"31404,Savannah,GA",",6,",6,0,2501 E President St,,Savannah,GA,United States,31404,32.0658507,-81.0437914,(912) 236-6750,,,,,,,,
,American Freight,,publish,1,gd_place,,,"31093,Warner Robins,GA",",6,",6,0,828 N Houston Rd,,Warner Robins,GA,United States,31093,32.6329575,-83.6396645,(478) 845-1212,,,,,,,,
,Americas Second Harvest,,publish,1,gd_place,,,"31404,Savannah,GA",",6,",6,0,2651 Causton Bluff Rd,,Savannah,GA,United States,31404,32.0647632,-81.0463673,(912) 234-2785,,,,,,,,
,Americas Second Harvest Of GA,,publish,1,gd_place,,,"31525,Brunswick,GA",",6,",6,0,134 Indigo Dr,,Brunswick,GA,United States,31525,31.2510928,-81.4552568,(912) 261-7979,,,,,,,,
,Athens Area Emergency Food Bnk,,publish,1,gd_place,,,"30601,Athens,GA",",6,",6,0,640 Barber St,,Athens,GA,United States,30601,33.9688228,-83.3863818,(706) 353-8182,,,,,,,,
,Atlanta Boulevard Seventh Day,,publish,1,gd_place,,,"30316,Atlanta,GA",",6,",6,0,240 Maynard Ter SE,,Atlanta,GA,United States,30316,33.7465983,-84.3326352,(404) 377-3472,,,,,,,,
,Atlanta Community Food Bank,,publish,1,gd_place,,,"30344,Atlanta,GA",",6,",6,0,3400 N Desert Dr,,Atlanta,GA,United States,30344,33.6608243,-84.4954219,(404) 892-3333,,,,,,,,
,Beth Salem Presbyterian Church,,publish,1,gd_place,,,"31907,Columbus,GA",",6,",6,0,4253 Saint Marys Rd,,Columbus,GA,United States,31907,32.4447888,-84.9209155,(706) 687-5849,,,,,,,,
,Blewer Memorial Food Dstrbtn,,publish,1,gd_place,,,"30701,Calhoun,GA",",6,",6,0,373 Morrow Rd SE,,Calhoun,GA,United States,30701,34.4561699,-84.9073884,(706) 629-5407,,,,,,,,
,Calhoun Seventh Day Adventist,,publish,1,gd_place,,,"30701,Calhoun,GA",",6,",6,0,1411 Rome Rd SW,,Calhoun,GA,United States,30701,34.4630288,-84.982488,(706) 629-5470,,,,,,,,
,Cares Inc,,publish,1,gd_place,,,"30143,Jasper,GA",",6,",6,0,89 Cares Dr,,Jasper,GA,United States,30143,34.4573687,-84.4138607,(706) 253-4777,,,,,,,,
,Chattanooga Area Food Bank,,publish,1,gd_place,,,"30720,Dalton,GA",",6,",6,0,1111 S Hamilton St,,Dalton,GA,United States,30720,34.7544409,-84.9656847,(423) 622-1800,,,,,,,,
,Chester Community Food Bank,,publish,1,gd_place,,,"31078,Roberta,GA",",6,",6,0,131 S Dugger Ave,,Roberta,GA,United States,31078,32.7170311,-84.0106075,(478) 837-7290,,,,,,,,
,Christ's Chapel Share & Care,,publish,1,gd_place,,,"30736,Ringgold,GA",",6,",6,0,223 Inman St,,Ringgold,GA,United States,30736,34.9209328,-85.1034688,(706) 935-9045,,,,,,,,
,Church At Chapel Hill Atlanta,,publish,1,gd_place,,,"30344,Atlanta,GA",",6,",6,0,4330 Washington Rd,,Atlanta,GA,United States,30344,33.6377771,-84.4912945,(770) 489-5990,,,,,,,,
,Church-The Living God In,,publish,1,gd_place,,,"31643,Quitman,GA",",6,",6,0,1508 E Screven St # 29,,Quitman,GA,United States,31643,30.784696,-83.5443703,(678) 519-7986,,,,,,,,
,Colquitt Food Bank,,publish,1,gd_place,,,"31768,Moultrie,GA",",6,",6,0,309 3rd St SE,,Moultrie,GA,United States,31768,31.1763492,-83.7848428,(229) 985-7725,,,,,,,,
,Community Christian Counsel,,publish,1,gd_place,,,"30176,Tallapoosa,GA",",6,",6,0,734 Bowdon St,,Tallapoosa,GA,United States,30176,33.7606274,-85.2941909,(770) 574-5433,,,,,,,,
,Community Helping Place-Admin,,publish,1,gd_place,,,"30533,Dahlonega,GA",",6,",6,0,1127 Highway 52 E,,Dahlonega,GA,United States,30533,34.5429749,-83.9566066,(706) 867-9621,,,,,,,,
,Community Soup Kitchen,,publish,1,gd_place,,,"31601,Valdosta,GA",",6,",6,0,601 N Lee St,,Valdosta,GA,United States,31601,30.8395825,-83.2776516,(229) 247-8178,,,,,,,,
,Congolese Food Bank Intl Inc,,publish,1,gd_place,,,"30083,Stone Mountain,GA",",6,",6,0,1142 Dantel Ct,,Stone Mountain,GA,United States,30083,33.8125209,-84.1840019,,,,,,,,,
,Covington First United Mthdst,,publish,1,gd_place,,,"30014,Covington,GA",",6,",6,0,1113 Conyers St SW,,Covington,GA,United States,30014,33.5941381,-83.8598686,(770) 786-7305,,,,,,,,
,Cumming Home Ministries,,publish,1,gd_place,,,"30040,Cumming,GA",",6,",6,0,429 Canton Rd # 1,,Cumming,GA,United States,30040,34.2166996,-84.1488361,(678) 456-5544,,,,,,,,
,Deam,,publish,1,gd_place,,,"30030,Decatur,GA",",6,",6,0,515 E Ponce DE Leon Ave,,Decatur,GA,United States,30030,33.7753961,-84.2889878,(404) 373-9283,,,,,,,,
,Dodge County Food Bank-Pantry,,publish,1,gd_place,,,"31023,Eastman,GA",",6,",6,0,711 Soperton Hwy,,Eastman,GA,United States,31023,32.2032805,-83.1553941,(478) 559-3080,,,,,,,,
,Donavan's Dream Inc,,publish,1,gd_place,,,"30204,Barnesville,GA",",6,",6,0,100 Southland Dr # 3,,Barnesville,GA,United States,30204,33.0413193,-84.1670128,(770) 710-7721,,,,,,,,
,Emma's Place Inc,,publish,1,gd_place,,,"30349,Atlanta,GA",",6,",6,0,1651 Phoenix Blvd,,Atlanta,GA,United States,30349,33.6155055,-84.4435633,(770) 996-7210,,,,,,,,
,Fannin County Family Cnnctn,,publish,1,gd_place,,,"30513,Blue Ridge,GA",",6,",6,0,501 Industrial Park Rd,,Blue Ridge,GA,United States,30513,34.8865272,-84.3025751,(706) 632-6063,,,,,,,,
,Feed The Hugry,,publish,1,gd_place,,,"30349,Atlanta,GA",",6,",6,0,5170 Scofield Rd,,Atlanta,GA,United States,30349,33.6142521,-84.4627759,(470) 428-3962,,,,,,,,
,Feeding The Valley Food Bank,,publish,1,gd_place,,,"31701,Albany,GA",",6,",6,0,303 S Slappey Blvd,,Albany,GA,United States,31701,31.5733163,-84.1774363,(229) 496-2031,,,,,,,,
,Feeding The Valley Food Bank,,publish,1,gd_place,,,"31820,Midland,GA",",6,",6,0,6744 Flat Rock Rd,,Midland,GA,United States,31820,32.5454911,-84.8716747,(706) 561-4755,,,,,,,,
,Feeding The Valley Lagrange,,publish,1,gd_place,,,"30240,Lagrange,GA",",6,",6,0,118 Gordon Commercial Dr,,Lagrange,GA,United States,30240,33.022817,-85.066962,(706) 298-7388,,,,,,,,
,Food Bank Of Northeast GA Inc,,publish,1,gd_place,,,"30607,Athens,GA",",6,",6,0,861 Newton Bridge Rd,,Athens,GA,United States,30607,34.0023221,-83.4014206,(706) 354-8191,,,,,,,,
,Fountain Of Hope,,publish,1,gd_place,,,"30318,Atlanta,GA",",6,",6,0,829 Hollywood Rd NW,,Atlanta,GA,United States,30318,33.7777467,-84.4508598,(404) 963-6409,,,,,,,,
,Georgia Food & Resource Ctr,,publish,1,gd_place,,,"30228,Hampton,GA",",6,",6,0,470 Steele Dr,,Hampton,GA,United States,30228,33.410709,-84.2957502,(770) 946-0500,,,,,,,,
,Georgia Mountain Food Bank Inc,,publish,1,gd_place,,,"30507,Gainesville,GA",",6,",6,0,1642 Calvary Industrial Dr,,Gainesville,GA,United States,30507,34.2483741,-83.8150699,(770) 534-4111,,,,,,,,
,Gilmer Community Food Pantry,,publish,1,gd_place,,,"30536,Ellijay,GA",",6,",6,0,5273 Highway 52 E,,Ellijay,GA,United States,30536,34.6523338,-84.4256779,(706) 273-3663,,,,,,,,
,God's Mission House,,publish,1,gd_place,,,"31329,Springfield,GA",",6,",6,0,1435 GA Highway 119 N,,Springfield,GA,United States,31329,32.387714,-81.3108973,(912) 754-0840,,,,,,,,
,God's Store Hse Clothing Bank,,publish,1,gd_place,,,"30474,Vidalia,GA",",6,",6,0,300 Mcintosh St,,Vidalia,GA,United States,30474,32.2213742,-82.4117237,(912) 538-1730,,,,,,,,
,Golden Harvest Food Bank Inc,,publish,1,gd_place,,,"30909,Augusta,GA",",6,",6,0,3310 Commerce Dr,,Augusta,GA,United States,30909,33.449875,-82.0600727,(706) 736-1199,,,,,,,,
,Golden Pantry,,publish,1,gd_place,,,"30606,Athens,GA",",6,",6,0,125 Tallassee Rd,,Athens,GA,United States,30606,33.9649482,-83.4294686,(706) 549-4306,,,,,,,,
,Golden Pantry,,publish,1,gd_place,,,"30677,Watkinsville,GA",",6,",6,0,1150 Golden Way,,Watkinsville,GA,United States,30677,33.929149,-83.4855663,(706) 549-4945,,,,,,,,
,Grove Food Bank Inc,,publish,1,gd_place,,,"30233,Jackson,GA",",6,",6,0,316b Brooks Rd,,Jackson,GA,United States,30233,33.2406874,-84.0060645,,,,,,,,,
,Hands Of Hope Food Pantry,,publish,1,gd_place,,,"30223,Griffin,GA",",6,",6,0,920 Harlow Ave,,Griffin,GA,United States,30223,33.2408077,-84.2451871,(678) 603-1697,,,,,,,,
,Hardwick Baptist Church,,publish,1,gd_place,,,"31034,Hardwick,GA",",6,",6,0,124 Thomas St SE,,Hardwick,GA,United States,31034,33.0534656,-83.228245,(478) 452-1612,,,,,,,,
,Hart Co Clothes Closet,,publish,1,gd_place,,,"30643,Hartwell,GA",",6,",6,0,175 Colfax St,,Hartwell,GA,United States,30643,34.3585327,-82.9271089,(706) 376-2022,,,,,,,,
,Hart County Food Pantry,,publish,1,gd_place,,,"30643,Hartwell,GA",",6,",6,0,130 E Howell St,,Hartwell,GA,United States,30643,34.353113,-82.93691,(706) 376-9444,,,,,,,,
,Hazel Creek Baptist Church,,publish,1,gd_place,,,"30563,Mount Airy,GA",",6,",6,0,243 Hazel Creek Church Rd,,Mount Airy,GA,United States,30563,34.5712776,-83.4839477,(706) 778-5347,,,,,,,,
,Helping Hands Food Bank,,publish,1,gd_place,,,"31539,Hazlehurst,GA",",6,",6,0,61 N Tallahassee St,,Hazlehurst,GA,United States,31539,31.8712734,-82.5955645,(912) 551-9170,,,,,,,,
,Helping Hands Food Pantry,,publish,1,gd_place,,,"30153,Rockmart,GA",",6,",6,0,221 S Piedmont Ave,,Rockmart,GA,United States,30153,33.995039,-85.0419387,(678) 685-4644,,,,,,,,
,Helping Hands Food Pantry,,publish,1,gd_place,,,"31558,Saint Marys,GA",",6,",6,0,103 W Church St,,Saint Marys,GA,United States,31558,30.729386,-81.547058,(912) 576-8105,,,,,,,,
,Helping In His Name Ministries,,publish,1,gd_place,,,"30281,Stockbridge,GA",",6,",6,0,85 Bellamy Pl,,Stockbridge,GA,United States,30281,33.5351047,-84.2032989,(678) 565-6135,,,,,,,,
,Hightower Association Food Bnk,,publish,1,gd_place,,,"30028,Cumming,GA",",6,",6,0,8630 Wallace Tatum Rd,,Cumming,GA,United States,30028,34.2892646,-84.232778,(770) 205-2464,,,,,,,,
,Hillcrest Baptist Food Pantry,,publish,1,gd_place,,,"30906,Augusta,GA",",6,",6,0,2457 Ridge Rd,,Augusta,GA,United States,30906,33.4297306,-82.0463111,(706) 793-3414,,,,,,,,
,James,,publish,1,gd_place,,,"30178,Taylorsville,GA",",6,",6,0,151 Wade Rd SW,,Taylorsville,GA,United States,30178,34.1422768,-84.984781,(470) 888-2753,,,,,,,,
,Jasper County Cmnty Food Bank,,publish,1,gd_place,,,"31064,Monticello,GA",",6,",6,0,2171 Post Rd,,Monticello,GA,United States,31064,33.3343839,-83.6978471,(706) 468-6076,,,,,,,,
,Lee Stelzer Heritage Research,,publish,1,gd_place,,,"30317,Atlanta,GA",",6,",6,0,372 Sisson Ave NE,,Atlanta,GA,United States,30317,33.7640392,-84.3148604,(404) 373-6327,,,,,,,,
,Lincoln County Food Pantry,,publish,1,gd_place,,,"30817,Lincolnton,GA",",6,",6,0,1066 Firetower Rd,,Lincolnton,GA,United States,30817,33.8087747,-82.4706853,(706) 359-7838,,,,,,,,
,Live Oak Church,,publish,1,gd_place,,,"31313,Hinesville,GA",",6,",6,0,296 Live Oak Church Rd,,Hinesville,GA,United States,31313,31.8237975,-81.6425548,(912) 876-8769,,,,,,,,
,Loaves-Fishes-South Houston,,publish,1,gd_place,,,"31069,Perry,GA",",6,",6,0,1117 Main St,,Perry,GA,United States,31069,32.4596098,-83.7279868,(478) 224-3663,,,,,,,,
,Macon Outreach At Mulberry,,publish,1,gd_place,,,"31201,Macon,GA",",6,",6,0,267 1st St,,Macon,GA,United States,31201,32.8394586,-83.6290894,(478) 743-8026,,,,,,,,
,Manna House,,publish,1,gd_place,,,"30117,Carrollton,GA",",6,",6,0,303 Mandeville Ave,,Carrollton,GA,United States,30117,33.5767983,-85.0632808,(770) 834-5755,,,,,,,,
,Manna House Ministries,,publish,1,gd_place,,,"31326,Rincon,GA",",6,",6,0,1210 Patriot Park Dr,,Rincon,GA,United States,31326,32.3060103,-81.2421167,(912) 826-2037,,,,,,,,
,Manna Inc,,publish,1,gd_place,,,"30824,Thomson,GA",",6,",6,0,451 E Hill St,,Thomson,GA,United States,30824,33.4632581,-82.4930843,(706) 595-3138,,,,,,,,
,Middle GA Community Food Bank,,publish,1,gd_place,,,"31217,Macon,GA",",6,",6,0,4490 Ocmulgee East Blvd,,Macon,GA,United States,31217,32.8053793,-83.5660491,(478) 742-3958,,,,,,,,
,Mountaintown Baptist Assn,,publish,1,gd_place,,,"30513,Blue Ridge,GA",",6,",6,0,64 Tammen Dr,,Blue Ridge,GA,United States,30513,34.882418,-84.2920217,(706) 635-2360,,,,,,,,
,Neighborhood Cooperative,,publish,1,gd_place,,,"30071,Norcross,GA",",6,",6,0,2275 Mitchell Rd,,Norcross,GA,United States,30071,33.9319306,-84.2014868,(770) 263-8268,,,,,,,,
,New Bethel Intl Church Of God,,publish,1,gd_place,,,"30047,Lilburn,GA",",6,",6,0,1025 Killian Hill Rd SW,,Lilburn,GA,United States,30047,33.8671591,-84.0922512,(678) 639-1500,,,,,,,,
,North Gwinnett,,publish,1,gd_place,,,"30518,Buford,GA",",6,",6,0,4395 Commerce Dr,,Buford,GA,United States,30518,34.0989524,-84.0082732,(770) 271-9793,,,,,,,,
,North Gwinnett Co-Op,,publish,1,gd_place,,,"30518,Buford,GA",",6,",6,0,4395 Commerce Dr,,Buford,GA,United States,30518,34.0989524,-84.0082732,(770) 271-9793,,,,,,,,
,Online Food Pantry,,publish,1,gd_place,,,"30228,Hampton,GA",",6,",6,0,717 Lakeside Villa Dr,,Hampton,GA,United States,30228,33.443584,-84.328841,(678) 310-7051,,,,,,,,
,Pantry,,publish,1,gd_place,,,"30531,Cornelia,GA",",6,",6,0,3951 Sthwy 365,,Cornelia,GA,United States,30531,34.5271304,-83.5410006,(706) 778-5844,,,,,,,,
,Peach Pantry,,publish,1,gd_place,,,"30310,Atlanta,GA",",6,",6,0,1085 Katherwood Dr SW,,Atlanta,GA,United States,30310,33.7103244,-84.423647,,,,,,,,,
,Rainbow Pantry,,publish,1,gd_place,,,"30662,Royston,GA",",6,",6,0,191 Campbell St,,Royston,GA,United States,30662,34.2814877,-83.111217,(706) 245-0965,,,,,,,,
,Rome Action Ministries,,publish,1,gd_place,,,"30161,Rome,GA",",6,",6,0,207 E 19th St SW,,Rome,GA,United States,30161,34.2299097,-85.1704966,(706) 291-7731,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"31794,Tifton,GA",",6,",6,0,1205 US Highway 82 E # 1,,Tifton,GA,United States,31794,31.4487163,-83.4929908,(229) 386-1503,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"30084,Tucker,GA",",6,",6,0,2029 Tucker Industrial Rd,,Tucker,GA,United States,30084,33.842643,-84.2026856,(770) 724-1640,,,,,,,,
,Samaritan House Of Cedartown,,publish,1,gd_place,,,"30125,Cedartown,GA",",6,",6,0,302 Wissahickon Ave,,Cedartown,GA,United States,30125,34.0149449,-85.258159,(770) 748-1722,,,,,,,,
,Sanctuary,,publish,1,gd_place,,,"30809,Evans,GA",",6,",6,0,4584 Cox Rd,,Evans,GA,United States,30809,33.5277821,-82.1495199,(706) 364-8284,,,,,,,,
,Savannah Feed The Hungry,,publish,1,gd_place,,,"31419,Savannah,GA",",6,",6,0,157 Enclave Blvd,,Savannah,GA,United States,31419,32.0459312,-81.2480327,(912) 349-0774,,,,,,,,
,Second Harvest,,publish,1,gd_place,,,"31601,Valdosta,GA",",6,",6,0,1411 Harbin Cir,,Valdosta,GA,United States,31601,30.805279,-83.2869661,(229) 244-2678,,,,,,,,
,Second Harvest Of Coastal GA,,publish,1,gd_place,,,"31404,Savannah,GA",",6,",6,0,2501 E President St,,Savannah,GA,United States,31404,32.0658507,-81.0437914,(912) 236-6750,,,,,,,,
,Second Harvest Of South GA,,publish,1,gd_place,,,"31601,Valdosta,GA",",6,",6,0,1411 Harbin Cir,,Valdosta,GA,United States,31601,30.805279,-83.2869661,(888) 453-4143,,,,,,,,
,Serving Spoon,,publish,1,gd_place,,,"31906,Columbus,GA",",6,",6,0,2109 Buena Vista Rd,,Columbus,GA,United States,31906,32.4653728,-84.9601132,(706) 327-5856,,,,,,,,
