ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Aloha Sushi Mapunapuna,,publish,1,gd_place,,,"96819,Honolulu,HI",",6,",6,0,970 Ahua St # 3,,Honolulu,HI,United States,96819,21.343112,-157.895787,(808) 833-7775,,,,,,,,
,Catholic Churches Rectory,,publish,1,gd_place,,,"96704,Captain Cook,HI",",6,",6,0,84-5140 Painted Church Rd,,Captain Cook,HI,United States,96704,19.4346672,-155.8878334,(808) 328-2227,,,,,,,,
,Feed My Sheep,,publish,1,gd_place,,,"96784,Puunene,HI",",6,",6,0,Hansen Rd,,Puunene,HI,United States,96784,20.8712928,-156.4434264,(808) 872-9100,,,,,,,,
,Food Bank,,publish,1,gd_place,,,"96819,Honolulu,HI",",6,",6,0,2611-A Kilihau St,,Honolulu,HI,United States,96819,21.3363061,-157.8943177,(808) 337-1642,,,,,,,,
,Food Basket Inc,,publish,1,gd_place,,,"96720,Hilo,HI",",6,",6,0,40 Holomua St,,Hilo,HI,United States,96720,19.7045486,-155.0665293,(808) 933-6030,,,,,,,,
,Hawaii Food Bank,,publish,1,gd_place,,,"96819,Honolulu,HI",",6,",6,0,2611 Kilihau St,,Honolulu,HI,United States,96819,21.3363061,-157.8943177,(808) 836-3600,,,,,,,,
,Hawaii Island Food Bank,,publish,1,gd_place,,,"96720,Hilo,HI",",6,",6,0,40 Holomua St,,Hilo,HI,United States,96720,19.7045486,-155.0665293,(808) 933-6030,,,,,,,,
,Honokaa Corps,,publish,1,gd_place,,,"96727,Honokaa,HI",",6,",6,0,44-511 Rickard Pl,,Honokaa,HI,United States,96727,20.0774349,-155.4651067,(808) 775-7346,,,,,,,,
,IAO United Church Of Christ,,publish,1,gd_place,,,"96793,Wailuku,HI",",6,",6,0,2371 W Vineyard St,,Wailuku,HI,United States,96793,20.8868605,-156.5074431,(808) 244-7353,,,,,,,,
,Kapa'a Missionary Church,,publish,1,gd_place,,,"96746,Kapaa,HI",",6,",6,0,4-758 Kuhio Hwy,,Kapaa,HI,United States,96746,22.0600846,-159.3217896,(808) 822-5594,,,,,,,,
,Kauai Independent Food Bank,,publish,1,gd_place,,,"96766,Lihue,HI",",6,",6,0,3285 Waapa Rd # A,,Lihue,HI,United States,96766,21.9573422,-159.3541951,(808) 246-3809,,,,,,,,
,Key Project,,publish,1,gd_place,,,"96744,Kaneohe,HI",",6,",6,0,45-200 Waihe E Rd,,Kaneohe,HI,United States,96744,21.4588794,-157.8421636,(808) 239-5777,,,,,,,,
,Maui Food Bank,,publish,1,gd_place,,,"96793,Wailuku,HI",",6,",6,0,760 Kolu St,,Wailuku,HI,United States,96793,20.9047693,-156.4865338,(808) 243-9500,,,,,,,,
,River Of Life Mission Inc,,publish,1,gd_place,,,"96817,Honolulu,HI",",6,",6,0,101 N Pauahi St,,Honolulu,HI,United States,96817,21.3128822,-157.8623289,(808) 524-7656,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"96757,Kualapuu,HI",",6,",6,0,100 Kalae Hwy # 204,,Kualapuu,HI,United States,96757,21.150525,-157.039004,(808) 567-9474,,,,,,,,
,Salvation Army Community Ctr,,publish,1,gd_place,,,"96744,Kaneohe,HI",",6,",6,0,45-175 Waikalua Rd,,Kaneohe,HI,United States,96744,21.4150238,-157.794925,(808) 235-1408,,,,,,,,
,Soulfull Pantry Inc,,publish,1,gd_place,,,"96732,Kahului,HI",",6,",6,0,60 E Wakea Ave # 111,,Kahului,HI,United States,96732,20.8849026,-156.4630326,,,,,,,,,
,St Elizabeth's Episcopal Chr,,publish,1,gd_place,,,"96817,Honolulu,HI",",6,",6,0,720 N King St,,Honolulu,HI,United States,96817,21.3210958,-157.8662019,(808) 845-2112,,,,,,,,
,Surfing The Nations,,publish,1,gd_place,,,"96786,Wahiawa,HI",",6,",6,0,64 Ohai St,,Wahiawa,HI,United States,96786,21.4947926,-158.030111,,,,,,,,,
