ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,A Weeks Feast,,publish,1,gd_place,,,"83835,Hayden,ID",",6,",6,0,5058 E Lancaster Rd,,Hayden,ID,United States,83835,47.7867095,-116.7194044,(208) 769-9335,,,,,,,,
,Bishops Store House,,publish,1,gd_place,,,"83402,Idaho Falls,ID",",6,",6,0,770 W Anderson St,,Idaho Falls,ID,United States,83402,43.5115807,-112.0423544,(208) 529-1678,,,,,,,,
,Bonner Community Food Bank,,publish,1,gd_place,,,"83864,Sandpoint,ID",",6,",6,0,1707 Culvers Dr,,Sandpoint,ID,United States,83864,48.2902092,-116.5604124,(208) 263-3663,,,,,,,,
,Bonner Community Food Ctr,,publish,1,gd_place,,,"83856,Priest River,ID",",6,",6,0,45 S Mckinley St # 107,,Priest River,ID,United States,83856,48.180069,-116.903039,(208) 448-4989,,,,,,,,
,Cathedral-St John The Evnglst,,publish,1,gd_place,,,"83702,Boise,ID",",6,",6,0,707 N 8th St,,Boise,ID,United States,83702,43.6206071,-116.199157,(208) 342-3511,,,,,,,,
,Cityhope Church,,publish,1,gd_place,,,"83704,Boise,ID",",6,",6,0,8650 W Fairview Ave,,Boise,ID,United States,83704,43.6209388,-116.2898845,(208) 376-7272,,,,,,,,
,Cityhope Food Pantry,,publish,1,gd_place,,,"83704,Boise,ID",",6,",6,0,8402 W Fairview Ave,,Boise,ID,United States,83704,43.6194642,-116.2867541,,,,,,,,,
,Clark Fork Adventist Church,,publish,1,gd_place,,,"83811,Clark Fork,ID",",6,",6,0,700 N Pine St,,Clark Fork,ID,United States,83811,48.1499272,-116.1784208,(208) 266-0321,,,,,,,,
,Comm Ministries Ctr,,publish,1,gd_place,,,"83704,Boise,ID",",6,",6,0,3000 N Esquire Dr,,Boise,ID,United States,83704,43.6323183,-116.2602747,(208) 378-7774,,,,,,,,
,Community Action Partnership,,publish,1,gd_place,,,"83805,Bonners Ferry,ID",",6,",6,0,6665 Main St,,Bonners Ferry,ID,United States,83805,48.6825263,-116.3230396,(208) 267-3663,,,,,,,,
,Community Action Partnership,,publish,1,gd_place,,,"83501,Lewiston,ID",",6,",6,0,124 New 6th St,,Lewiston,ID,United States,83501,46.419629,-117.024099,(208) 746-3351,,,,,,,,
,Community Action Partnership,,publish,1,gd_place,,,"83864,Sandpoint,ID",",6,",6,0,1506 Baldy Mountain Rd,,Sandpoint,ID,United States,83864,48.2877381,-116.569605,(208) 255-2910,,,,,,,,
,Eagle Community Foodbank,,publish,1,gd_place,,,"83616,Eagle,ID",",6,",6,0,149 W State St # 121,,Eagle,ID,United States,83616,43.6948501,-116.3558283,(208) 631-0702,,,,,,,,
,El-Ada Community Action Agency,,publish,1,gd_place,,,"83647,Mountain Home,ID",",6,",6,0,585 N 3rd E,,Mountain Home,ID,United States,83647,43.1357354,-115.6957036,(208) 587-8407,,,,,,,,
,Episcopal Church-The Nativity,,publish,1,gd_place,,,"83501,Lewiston,ID",",6,",6,0,731 8th St,,Lewiston,ID,United States,83501,46.4128777,-117.0211015,(208) 743-9121,,,,,,,,
,Food Banks,,publish,1,gd_place,,,"83313,Bellevue,ID",",6,",6,0,121 Honeysuckle St,,Bellevue,ID,United States,83313,43.4516639,-114.2533697,(208) 788-0121,,,,,,,,
,God's Home Of Compassion,,publish,1,gd_place,,,"83201,Pocatello,ID",",6,",6,0,845 Hyde Ave,,Pocatello,ID,United States,83201,42.8890375,-112.4369932,(208) 236-0075,,,,,,,,
,Helping Hands Christian Otrch,,publish,1,gd_place,,,"83318,Burley,ID",",6,",6,0,1250 Miller Ave,,Burley,ID,United States,83318,42.5371345,-113.7963132,(208) 878-9140,,,,,,,,
,Hilltop Food Pantry Inc,,publish,1,gd_place,,,"83546,Pierce,ID",",6,",6,0,PO Box 215,,Pierce,ID,United States,83546,46.4910207,-115.7990289,,,,,,,,,
,Idaho Falls Cmnty Food Basket,,publish,1,gd_place,,,"83402,Idaho Falls,ID",",6,",6,0,245 N Placer Ave # 2,,Idaho Falls,ID,United States,83402,43.489479,-112.0349935,(208) 524-0994,,,,,,,,
,Idaho Food Bank Warehouse,,publish,1,gd_place,,,"83201,Pocatello,ID",",6,",6,0,555 S 1st Ave,,Pocatello,ID,United States,83201,42.8603241,-112.4438871,(208) 233-4612,,,,,,,,
,Idaho Food Bank-Main Wrhse,,publish,1,gd_place,,,"83642,Meridian,ID",",6,",6,0,3630 E Commercial Ct,,Meridian,ID,United States,83642,43.6103819,-116.3490804,(208) 336-9643,,,,,,,,
,Idaho Foodbank,,publish,1,gd_place,,,"83501,Lewiston,ID",",6,",6,0,3331 10th St,,Lewiston,ID,United States,83501,46.3812781,-116.9798269,(208) 746-2288,,,,,,,,
,Idaho Foodbank Warehouse,,publish,1,gd_place,,,"83501,Lewiston,ID",",6,",6,0,3331 10th St,,Lewiston,ID,United States,83501,46.3812781,-116.9798269,(208) 746-2288,,,,,,,,
,Lifeline Food Bank,,publish,1,gd_place,,,"83544,Orofino,ID",",6,",6,0,295 Shasta Cir,,Orofino,ID,United States,83544,46.4868883,-116.2522926,,,,,,,,,
,Lifeline Food Pantry Inc,,publish,1,gd_place,,,"83544,Orofino,ID",",6,",6,0,PO Box 1647,,Orofino,ID,United States,83544,46.479347,-116.2551395,,,,,,,,,
,Love In The Name Of Christ,,publish,1,gd_place,,,"83672,Weiser,ID",",6,",6,0,722 W Idaho St,,Weiser,ID,United States,83672,44.2481771,-116.9803046,(208) 414-5683,,,,,,,,
,Martha Mary Food Pantry,,publish,1,gd_place,,,"83338,Jerome,ID",",6,",6,0,,,Jerome,ID,United States,83338,42.7240732,-114.5186534,(208) 595-4839,,,,,,,,
,Meridian Food Bank,,publish,1,gd_place,,,"83642,Meridian,ID",",6,",6,0,133 W Broadway Ave,,Meridian,ID,United States,83642,43.6098526,-116.3957516,(208) 888-5102,,,,,,,,
,Nampa Adventist Community Svc,,publish,1,gd_place,,,"83686,Nampa,ID",",6,",6,0,307 W Iowa Ave,,Nampa,ID,United States,83686,43.5540009,-116.5756884,(208) 461-1651,,,,,,,,
,North Bingham County County,,publish,1,gd_place,,,"83274,Shelley,ID",",6,",6,0,180 S Holmes Ave,,Shelley,ID,United States,83274,43.3801162,-112.1214685,(208) 881-5106,,,,,,,,
,Parma Senior Ctr,,publish,1,gd_place,,,"83660,Parma,ID",",6,",6,0,410 N 8th St,,Parma,ID,United States,83660,43.7854488,-116.9367298,(208) 722-5421,,,,,,,,
,Post Falls Food Bank,,publish,1,gd_place,,,"83854,Post Falls,ID",",6,",6,0,415 E 3rd Ave,,Post Falls,ID,United States,83854,47.7085413,-116.9422863,(208) 773-0139,,,,,,,,
,Potlatch Food Pantry Corp,,publish,1,gd_place,,,"83855,Potlatch,ID",",6,",6,0,PO Box 453,,Potlatch,ID,United States,83855,46.9215603,-116.8982195,,,,,,,,,
,Rathdrum Food Bank,,publish,1,gd_place,,,"83858,Rathdrum,ID",",6,",6,0,8015 W Main St # 2,,Rathdrum,ID,United States,83858,47.8116666,-116.8963208,(208) 687-3696,,,,,,,,
,Rock Creek Food Pantry Inc,,publish,1,gd_place,,,"83341,Kimberly,ID",",6,",6,0,325 1/2 Madison St,,Kimberly,ID,United States,83341,42.5344195,-114.3615906,,,,,,,,,
,Salvation Army Nampa Corp,,publish,1,gd_place,,,"83651,Nampa,ID",",6,",6,0,403 12th Ave S,,Nampa,ID,United States,83651,43.5764751,-116.5633963,(208) 467-6586,,,,,,,,
