ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,4 C' S,,publish,1,gd_place,,,"62946,Harrisburg,IL",",6,",6,0,632 N Jackson St,,Harrisburg,IL,United States,62946,37.7437255,-88.5418415,(618) 252-3931,,,,,,,,
,America's Food Bank,,publish,1,gd_place,,,"60603,Chicago,IL",",6,",6,0,8 S Michigan Ave # 802,,Chicago,IL,United States,60603,41.8819021,-87.6248878,(312) 685-9600,,,,,,,,
,Arcola Food Pantry,,publish,1,gd_place,,,"61910,Arcola,IL",",6,",6,0,126 S Locust St,,Arcola,IL,United States,61910,39.6834792,-88.3071681,(217) 268-5122,,,,,,,,
,Avon Community Food Pantry,,publish,1,gd_place,,,"60073,Round Lake,IL",",6,",6,0,25713 W Woodland Dr,,Round Lake,IL,United States,60073,42.3625208,-88.1342157,(224) 338-9950,,,,,,,,
,Batavia Interfaith Food Pantry,,publish,1,gd_place,,,"60510,Batavia,IL",",6,",6,0,100 Flinn St,,Batavia,IL,United States,60510,41.8468838,-88.3092479,(630) 879-3784,,,,,,,,
,Belvidere Boone County Food,,publish,1,gd_place,,,"61012,Capron,IL",",6,",6,0,200 S 5th St,,Capron,IL,United States,61012,42.3981028,-88.7422582,(815) 569-1571,,,,,,,,
,Bluff City Community Church,,publish,1,gd_place,,,"62624,Browning,IL",",6,",6,0,3535 E Douglas St,,Browning,IL,United States,62624,40.1812827,-90.232061,(309) 543-3052,,,,,,,,
,Bridgeview Community Ctr,,publish,1,gd_place,,,"60455,Bridgeview,IL",",6,",6,0,7900 S Oketo Ave,,Bridgeview,IL,United States,60455,41.7473054,-87.8051599,(708) 458-4675,,,,,,,,
,Brimfield Area Food Pantry,,publish,1,gd_place,,,"61517,Brimfield,IL",",6,",6,0,125 W Knoxville St,,Brimfield,IL,United States,61517,40.83922,-89.885547,,,,,,,,,
,Burger King,,publish,1,gd_place,,,"60131,Franklin Park,IL",",6,",6,0,10170 Grand Ave,,Franklin Park,IL,United States,60131,41.9304475,-87.8794699,(847) 455-0203,,,,,,,,
,Carpenter Table,,publish,1,gd_place,,,"61920,Charleston,IL",",6,",6,0,375 N 14th St,,Charleston,IL,United States,61920,39.5011878,-88.1669094,(217) 348-6085,,,,,,,,
,Casa Catalina Food Pantry,,publish,1,gd_place,,,"60609,Chicago,IL",",6,",6,0,4537 S Ashland Ave,,Chicago,IL,United States,60609,41.8111722,-87.6646825,(773) 376-9425,,,,,,,,
,Catholic Charities,,publish,1,gd_place,,,"60016,Des Plaines,IL",",6,",6,0,1717 Rand Rd,,Des Plaines,IL,United States,60016,42.0451693,-87.8815936,(847) 376-2101,,,,,,,,
,Center For Information Elgin,,publish,1,gd_place,,,"60123,Elgin,IL",",6,",6,0,1885 Lin Lor Ln,,Elgin,IL,United States,60123,42.036951,-88.3237411,(847) 695-9050,,,,,,,,
,Center Of Hope,,publish,1,gd_place,,,"60901,Kankakee,IL",",6,",6,0,395 N Schuyler Ave,,Kankakee,IL,United States,60901,41.1240533,-87.8636063,(815) 937-4277,,,,,,,,
,Central United Methodist Chr,,publish,1,gd_place,,,"62449,Oblong,IL",",6,",6,0,112 N Range St,,Oblong,IL,United States,62449,39.0025386,-87.9091539,(618) 592-3217,,,,,,,,
,Charity Southern Baptist Chr,,publish,1,gd_place,,,"62044,Greenfield,IL",",6,",6,0,101 Prairie St,,Greenfield,IL,United States,62044,39.3420451,-90.2135787,(217) 368-2100,,,,,,,,
,Charleston Area Church's Food,,publish,1,gd_place,,,"61920,Charleston,IL",",6,",6,0,990 W State St,,Charleston,IL,United States,61920,39.5011905,-88.1982143,(217) 348-3030,,,,,,,,
,Cherry Street Food Pantry,,publish,1,gd_place,,,"62821,Carmi,IL",",6,",6,0,210 3rd St,,Carmi,IL,United States,62821,38.0888913,-88.1639377,(618) 382-7419,,,,,,,,
,Christ First Church,,publish,1,gd_place,,,"61920,Charleston,IL",",6,",6,0,1706 Community Dr,,Charleston,IL,United States,61920,39.4670637,-88.1635778,(217) 345-4392,,,,,,,,
,Clyde C Jordan Food Bank,,publish,1,gd_place,,,"62203,East Saint Louis,IL",",6,",6,0,6755 State St,,East Saint Louis,IL,United States,62203,38.6012923,-90.0809969,,,,,,,,,
,Collinsville Food Pantry,,publish,1,gd_place,,,"62234,Collinsville,IL",",6,",6,0,2009 Mall St,,Collinsville,IL,United States,62234,38.6738285,-90.0186191,(618) 346-1861,,,,,,,,
,Community Care Ctr,,publish,1,gd_place,,,"62040,Granite City,IL",",6,",6,0,1818 Cleveland Blvd,,Granite City,IL,United States,62040,38.7005048,-90.1530463,(618) 876-8770,,,,,,,,
,Community Harvest,,publish,1,gd_place,,,"61550,Morton,IL",",6,",6,0,1901 S 4th Ave,,Morton,IL,United States,61550,40.5897732,-89.4601896,(309) 266-9510,,,,,,,,
,Concord Presbyterian Chr PCA,,publish,1,gd_place,,,"62298,Waterloo,IL",",6,",6,0,338 Covington Dr,,Waterloo,IL,United States,62298,38.3488772,-90.1442697,(618) 939-7116,,,,,,,,
,Cool Food Pantry,,publish,1,gd_place,,,"60085,Waukegan,IL",",6,",6,0,123 W Water St,,Waukegan,IL,United States,60085,42.3580422,-87.8309315,(847) 662-1230,,,,,,,,
,Cornerstone Community Outreach,,publish,1,gd_place,,,"60640,Chicago,IL",",6,",6,0,4628 N Clifton Ave,,Chicago,IL,United States,60640,41.966404,-87.6590013,(773) 271-8163,,,,,,,,
,Cornerstone Solutions Inc,,publish,1,gd_place,,,"60640,Chicago,IL",",6,",6,0,4628 N Clifton Ave,,Chicago,IL,United States,60640,41.966404,-87.6590013,(773) 271-8163,,,,,,,,
,Countryside Food Pantry,,publish,1,gd_place,,,"60119,Elburn,IL",",6,",6,0,525 N Main St # 1,,Elburn,IL,United States,60119,41.8966803,-88.4718499,(630) 448-1069,,,,,,,,
,Craig's Pantry & Outreach Prgm,,publish,1,gd_place,,,"60091,Wilmette,IL",",6,",6,0,3201 Old Glenview Rd,,Wilmette,IL,United States,60091,42.0656378,-87.7564597,,,,,,,,,
