ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,1st United Mthdst Chr,,publish,1,gd_place,,,"46383,Valparaiso,IN",",6,",6,0,7 Chicago St,,Valparaiso,IN,United States,46383,41.4701721,-87.060196,(219) 465-0207,,,,,,,,
,Adam's Pantry Inc,,publish,1,gd_place,,,"47713,Evansville,IN",",6,",6,0,314 SE Riverside Dr,,Evansville,IN,United States,47713,37.9664843,-87.5727705,(812) 499-8422,,,,,,,,
,Anchor House,,publish,1,gd_place,,,"47274,Seymour,IN",",6,",6,0,250 S Vine St,,Seymour,IN,United States,47274,38.9559925,-85.8836012,(812) 522-9308,,,,,,,,
,Angel Food Ministries,,publish,1,gd_place,,,"47712,Evansville,IN",",6,",6,0,3314 Forest Ave,,Evansville,IN,United States,47712,37.976676,-87.6168214,(812) 401-1556,,,,,,,,
,Argos United Methodist Church,,publish,1,gd_place,,,"46501,Argos,IN",",6,",6,0,570 N Michigan St,,Argos,IN,United States,46501,41.243792,-86.249321,(574) 892-5645,,,,,,,,
,Bertha's Mission,,publish,1,gd_place,,,"47421,Bedford,IN",",6,",6,0,512 Lincoln Ave,,Bedford,IN,United States,47421,38.8738723,-86.4909877,(812) 329-1100,,,,,,,,
,Bethel Baptist Church,,publish,1,gd_place,,,"47265,North Vernon,IN",",6,",6,0,77 Norris Ave,,North Vernon,IN,United States,47265,38.9983446,-85.6312419,(812) 346-2737,,,,,,,,
,Boulevard Place Food Pantry,,publish,1,gd_place,,,"46208,Indianapolis,IN",",6,",6,0,4202 Boulevard Pl,,Indianapolis,IN,United States,46208,39.8323429,-86.1644062,(317) 924-3461,,,,,,,,
,Bristol Community Food Pantry,,publish,1,gd_place,,,"46507,Bristol,IN",",6,",6,0,101 1/2 W Vistula St,,Bristol,IN,United States,46507,41.7212377,-85.8177038,(574) 304-7402,,,,,,,,
,Brother's Keeper,,publish,1,gd_place,,,"46407,Gary,IN",",6,",6,0,2120 Broadway,,Gary,IN,United States,46407,41.5798153,-87.3371851,(219) 882-4459,,,,,,,,
,Bumc Food Pantry,,publish,1,gd_place,,,"46208,Indianapolis,IN",",6,",6,0,900 W 30th St,,Indianapolis,IN,United States,46208,39.8104682,-86.1765335,(317) 280-7155,,,,,,,,
,Bunge North America,,publish,1,gd_place,,,"46173,Rushville,IN",",6,",6,0,480 E Gings Rd,,Rushville,IN,United States,46173,39.673385,-85.436991,(765) 932-2981,,,,,,,,
,Butler's Pantry LLC,,publish,1,gd_place,,,"47803,Terre Haute,IN",",6,",6,0,5001 E Poplar Dr,,Terre Haute,IN,United States,47803,39.4627526,-87.3359629,(812) 567-6565,,,,,,,,
,Catholic Charities Diocese-Gry,,publish,1,gd_place,,,"46312,East Chicago,IN",",6,",6,0,3901 Fir St,,East Chicago,IN,United States,46312,41.6424276,-87.4482824,(219) 397-5803,,,,,,,,
,Center For Lay Ministries Inc,,publish,1,gd_place,,,"47130,Jeffersonville,IN",",6,",6,0,213 E Maple St,,Jeffersonville,IN,United States,47130,38.2743108,-85.7399473,(812) 282-0063,,,,,,,,
,Christian Love Help Ctr,,publish,1,gd_place,,,"47362,New Castle,IN",",6,",6,0,418 S 18th St,,New Castle,IN,United States,47362,39.9274081,-85.3626528,(765) 521-2837,,,,,,,,
,Church Of Jesus Christ Of LDS,,publish,1,gd_place,,,"46268,Indianapolis,IN",",6,",6,0,5151 W 84th St,,Indianapolis,IN,United States,46268,39.9061435,-86.2484171,(317) 872-1752,,,,,,,,
,Clay Church Firehouse Campus,,publish,1,gd_place,,,"46635,South Bend,IN",",6,",6,0,17646 Cleveland Rd,,South Bend,IN,United States,46635,41.7227219,-86.2096641,(574) 272-8068,,,,,,,,
