ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Adams County Neighborhood Svc,,publish,1,gd_place,,,"50841,Corning,IA",",6,",6,0,1609 Quincy St # 3,,Corning,IA,United States,50841,40.9977006,-94.7328266,(641) 322-4096,,,,,,,,
,All Saints Lutheran Church,,publish,1,gd_place,,,"52807,Davenport,IA",",6,",6,0,5002 Jersey Ridge Rd,,Davenport,IA,United States,52807,41.5726378,-90.5425091,(563) 359-9516,,,,,,,,
,Avoca Food Pantry,,publish,1,gd_place,,,"51521,Avoca,IA",",6,",6,0,1512 N Willow St,,Avoca,IA,United States,51521,41.4898564,-95.3345564,,,,,,,,,
,Britt Area Food Bank,,publish,1,gd_place,,,"50423,Britt,IA",",6,",6,0,49 Center St W,,Britt,IA,United States,50423,43.0967367,-93.802415,(641) 843-3064,,,,,,,,
,Caring Hands Food Pantry,,publish,1,gd_place,,,"50009,Altoona,IA",",6,",6,0,201 9th St NE,,Altoona,IA,United States,50009,41.6591111,-93.4631067,(515) 967-4533,,,,,,,,
,Center Inter-Church Ministries,,publish,1,gd_place,,,"50049,Chariton,IA",",6,",6,0,410 S 7th St,,Chariton,IA,United States,50049,41.0108483,-93.3032114,(641) 774-8146,,,,,,,,
,Central City Food Pantry,,publish,1,gd_place,,,"52214,Central City,IA",",6,",6,0,137 4th St N,,Central City,IA,United States,52214,42.2058536,-91.5248531,(319) 438-6691,,,,,,,,
,Child & Adult Care Food Prgm,,publish,1,gd_place,,,"50158,Marshalltown,IA",",6,",6,0,713 S 12th St,,Marshalltown,IA,United States,50158,42.0394668,-92.9332419,(641) 754-1715,,,,,,,,
,Clarinda Community Ctr,,publish,1,gd_place,,,"51632,Clarinda,IA",",6,",6,0,615 E Main St,,Clarinda,IA,United States,51632,40.7379222,-95.0307012,(712) 542-3161,,,,,,,,
,Community Action Of SE Iowa,,publish,1,gd_place,,,"52632,Keokuk,IA",",6,",6,0,220 S 22nd St,,Keokuk,IA,United States,52632,40.4077988,-91.3998497,(319) 524-6383,,,,,,,,
,Community Food Pantry,,publish,1,gd_place,,,"52802,Davenport,IA",",6,",6,0,1008 W 6th St # 1,,Davenport,IA,United States,52802,41.5258153,-90.5878193,(563) 322-8253,,,,,,,,
,Community Food Pantry,,publish,1,gd_place,,,"51601,Shenandoah,IA",",6,",6,0,1209 5th Ave,,Shenandoah,IA,United States,51601,40.7642461,-95.3826266,(712) 246-2093,,,,,,,,
,Community Of Concern,,publish,1,gd_place,,,"51401,Carroll,IA",",6,",6,0,322 W 3rd St,,Carroll,IA,United States,51401,42.063799,-94.8723167,(712) 792-5150,,,,,,,,
,Coralville Ec Pantry,,publish,1,gd_place,,,"52241,Coralville,IA",",6,",6,0,203 1st St,,Coralville,IA,United States,52241,41.6684008,-91.5687924,(319) 337-3663,,,,,,,,
,Des Moines Area Religious CNCL,,publish,1,gd_place,,,"50309,Des Moines,IA",",6,",6,0,1435 Mulberry St,,Des Moines,IA,United States,50309,41.5830255,-93.6349217,(515) 277-6969,,,,,,,,
,DSM First,,publish,1,gd_place,,,"50310,Des Moines,IA",",6,",6,0,2725 Merle Hay Rd,,Des Moines,IA,United States,50310,41.6196043,-93.6967875,(515) 957-2900,,,,,,,,
,Dubuque Food Pantry Inc,,publish,1,gd_place,,,"52001,Dubuque,IA",",6,",6,0,1310 White St,,Dubuque,IA,United States,52001,42.506227,-90.666074,(563) 583-4440,,,,,,,,
,East Union Aspire More,,publish,1,gd_place,,,"50830,Afton,IA",",6,",6,0,100 N Douglas St,,Afton,IA,United States,50830,41.0278393,-94.1978229,(641) 347-8777,,,,,,,,
,Ecumenical Cupboard,,publish,1,gd_place,,,"52577,Oskaloosa,IA",",6,",6,0,205 S D St,,Oskaloosa,IA,United States,52577,41.2940616,-92.6503186,(641) 676-4031,,,,,,,,
,Fayette County Food Shelf,,publish,1,gd_place,,,"52142,Fayette,IA",",6,",6,0,107 E Water St,,Fayette,IA,United States,52142,42.8447754,-91.8012718,(563) 425-3399,,,,,,,,
,Fayette County Shelf,,publish,1,gd_place,,,"52142,Fayette,IA",",6,",6,0,107 E Water St,,Fayette,IA,United States,52142,42.8447754,-91.8012718,(563) 425-3399,,,,,,,,
,Fellowship Cup Corp,,publish,1,gd_place,,,"52641,Mount Pleasant,IA",",6,",6,0,203 N Jefferson St,,Mount Pleasant,IA,United States,52641,40.9682338,-91.5548715,(319) 385-3242,,,,,,,,
,Food Bank,,publish,1,gd_place,,,"52240,Iowa City,IA",",6,",6,0,1121 Gilbert Ct,,Iowa City,IA,United States,52240,41.6479641,-91.5303573,(319) 351-0128,,,,,,,,
,Food Bank,,publish,1,gd_place,,,"52316,North English,IA",",6,",6,0,210 S Main St,,North English,IA,United States,52316,41.5134827,-92.0767467,(319) 664-6166,,,,,,,,
,Food Bank Of Iowa,,publish,1,gd_place,,,"50316,Des Moines,IA",",6,",6,0,2220 E 17th St,,Des Moines,IA,United States,50316,41.6143502,-93.5922482,(515) 564-0330,,,,,,,,
,Food Bank Of Siouxland,,publish,1,gd_place,,,"51105,Sioux City,IA",",6,",6,0,1313 11th St # 1,,Sioux City,IA,United States,51105,42.5025002,-96.3929294,(712) 255-9741,,,,,,,,
,Food Bank Of Southern Iowa Inc,,publish,1,gd_place,,,"52501,Ottumwa,IA",",6,",6,0,705 W Main St,,Ottumwa,IA,United States,52501,41.024121,-92.42067,(641) 682-3403,,,,,,,,
,Gospel Mission,,publish,1,gd_place,,,"51103,Sioux City,IA",",6,",6,0,500 Bluff St,,Sioux City,IA,United States,51103,42.4978865,-96.411937,(712) 255-0845,,,,,,,,
,Grand Avenue Cmnty Outreach,,publish,1,gd_place,,,"51301,Spencer,IA",",6,",6,0,605 Grand Ave,,Spencer,IA,United States,51301,43.1435466,-95.1452837,(712) 580-4732,,,,,,,,
,Harrison County Food Pantry,,publish,1,gd_place,,,"51555,Missouri Valley,IA",",6,",6,0,2102 Liberty Ave,,Missouri Valley,IA,United States,51555,41.5676932,-95.896115,(712) 642-2598,,,,,,,,
,Hawkeye Harvest Food Bank,,publish,1,gd_place,,,"50401,Mason City,IA",",6,",6,0,122 S Adams Ave,,Mason City,IA,United States,50401,43.1501412,-93.2045277,(641) 424-3073,,,,,,,,
,Helping Hand,,publish,1,gd_place,,,"50125,Indianola,IA",",6,",6,0,109 E Clinton Ave,,Indianola,IA,United States,50125,41.3631664,-93.5598796,(515) 961-3864,,,,,,,,
,Helping Hand Ctr,,publish,1,gd_place,,,"52531,Albia,IA",",6,",6,0,710 Washington Ave E,,Albia,IA,United States,52531,41.0259327,-92.7996809,(641) 932-5984,,,,,,,,
,Impact Community Action,,publish,1,gd_place,,,"50311,Des Moines,IA",",6,",6,0,3226 University Ave # A,,Des Moines,IA,United States,50311,41.5999799,-93.6615713,(515) 274-1334,,,,,,,,
,Independence Area Food Pantry,,publish,1,gd_place,,,"50644,Independence,IA",",6,",6,0,201 2nd Ave NE,,Independence,IA,United States,50644,42.4699498,-91.8935546,(319) 334-2451,,,,,,,,
,Lamoni Food Pantry,,publish,1,gd_place,,,"50140,Lamoni,IA",",6,",6,0,416 E Main St,,Lamoni,IA,United States,50140,40.6239018,-93.9285414,(641) 784-4106,,,,,,,,
,Linn Community Food Bank,,publish,1,gd_place,,,"52401,Cedar Rapids,IA",",6,",6,0,310 5th St SE,,Cedar Rapids,IA,United States,52401,41.978842,-91.6629336,(319) 364-3543,,,,,,,,
,Lord's Appanoose Cnty Cupboard,,publish,1,gd_place,,,"52544,Centerville,IA",",6,",6,0,417 N 12th St,,Centerville,IA,United States,52544,40.7354566,-92.8749938,(641) 856-2148,,,,,,,,
,Lynnville Heart Of Worship,,publish,1,gd_place,,,"50153,Lynnville,IA",",6,",6,0,14283 Highway F 62 E,,Lynnville,IA,United States,50153,41.577177,-92.798919,(641) 527-2758,,,,,,,,
,Mapleton Food Bank,,publish,1,gd_place,,,"51034,Mapleton,IA",",6,",6,0,313 Main St,,Mapleton,IA,United States,51034,42.1661264,-95.7936331,(712) 881-1128,,,,,,,,
,Mid-Iowa Community Action,,publish,1,gd_place,,,"50010,Ames,IA",",6,",6,0,230 SE 16th St,,Ames,IA,United States,50010,42.0080124,-93.6076531,(515) 956-3333,,,,,,,,
,Mid-Iowa Community Action,,publish,1,gd_place,,,"50112,Grinnell,IA",",6,",6,0,609 4th Ave,,Grinnell,IA,United States,50112,41.7434973,-92.7283848,(641) 236-3923,,,,,,,,
,Murray Church Of Christ,,publish,1,gd_place,,,"50174,Murray,IA",",6,",6,0,430 3rd St,,Murray,IA,United States,50174,41.0395516,-93.950505,(641) 447-2569,,,,,,,,
,Neighborhood Food Bank,,publish,1,gd_place,,,"50436,Forest City,IA",",6,",6,0,215 S 4th St # 3,,Forest City,IA,United States,50436,43.2621192,-93.6369407,(641) 585-1360,,,,,,,,
,Newell Food Pantry Inc,,publish,1,gd_place,,,"50568,Newell,IA",",6,",6,0,203 W 2nd St,,Newell,IA,United States,50568,42.6054365,-95.0024888,,,,,,,,,
,North Lee County Food Pantry,,publish,1,gd_place,,,"52627,Fort Madison,IA",",6,",6,0,3405 Avenue L,,Fort Madison,IA,United States,52627,40.6270129,-91.3559475,(319) 372-8071,,,,,,,,
,North Liberty Community Pantry,,publish,1,gd_place,,,"52317,North Liberty,IA",",6,",6,0,89 N Jones Blvd,,North Liberty,IA,United States,52317,41.7486113,-91.6183129,(319) 626-2711,,,,,,,,
,North Scott Food Pantry,,publish,1,gd_place,,,"52748,Eldridge,IA",",6,",6,0,500 W Le Claire Rd,,Eldridge,IA,United States,52748,41.6552051,-90.5897467,(563) 285-8444,,,,,,,,
,Northeast IA Community Action,,publish,1,gd_place,,,"50677,Waverly,IA",",6,",6,0,117 W Bremer Ave,,Waverly,IA,United States,50677,42.7255316,-92.4727595,(319) 352-4532,,,,,,,,
,Northeast Iowa Food Bank,,publish,1,gd_place,,,"50703,Waterloo,IA",",6,",6,0,1605 Lafayette St,,Waterloo,IA,United States,50703,42.4934046,-92.3217159,(319) 235-0507,,,,,,,,
,Olivet Neighborhood Mission,,publish,1,gd_place,,,"52405,Cedar Rapids,IA",",6,",6,0,230 10th St NW,,Cedar Rapids,IA,United States,52405,41.9746403,-91.6860067,(319) 364-7946,,,,,,,,
,PCM Food Pantry,,publish,1,gd_place,,,"50170,Monroe,IA",",6,",6,0,115 S Main St,,Monroe,IA,United States,50170,41.5209237,-93.1008509,,,,,,,,,
,Rise Neighborhood Cafe,,publish,1,gd_place,,,"52801,Davenport,IA",",6,",6,0,200 E 3rd St,,Davenport,IA,United States,52801,41.522745,-90.5722581,(563) 484-5888,,,,,,,,
,River Bend Foodbank,,publish,1,gd_place,,,"52802,Davenport,IA",",6,",6,0,4010 Kimmel Dr,,Davenport,IA,United States,52802,41.4996806,-90.6365562,(563) 345-6490,,,,,,,,
,RLDS Thrift Store,,publish,1,gd_place,,,"51503,Council Bluffs,IA",",6,",6,0,17 N 2nd St,,Council Bluffs,IA,United States,51503,41.2628353,-95.8460729,(712) 328-2267,,,,,,,,
,Roman Catholic Diocese-Food,,publish,1,gd_place,,,"50316,Des Moines,IA",",6,",6,0,1815 Hubbell Ave,,Des Moines,IA,United States,50316,41.5959526,-93.5856766,(515) 262-7290,,,,,,,,
,Sacred Heart Catholic Church,,publish,1,gd_place,,,"52352,Walker,IA",",6,",6,0,516 Rowley St,,Walker,IA,United States,52352,42.2869853,-91.7797106,(319) 448-4241,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"50317,Des Moines,IA",",6,",6,0,1216 E 25th Ct,,Des Moines,IA,United States,50317,41.6014961,-93.5698023,(515) 266-3156,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"50314,Des Moines,IA",",6,",6,0,1330 6th Ave,,Des Moines,IA,United States,50314,41.6032297,-93.6261747,(515) 282-8410,,,,,,,,
,Salvation Army Community Ctr,,publish,1,gd_place,,,"50036,Boone,IA",",6,",6,0,509 Benton St,,Boone,IA,United States,50036,42.0610507,-93.875334,(515) 432-5770,,,,,,,,
,Salvation Army-WATERLOO Ia,,publish,1,gd_place,,,"50701,Waterloo,IA",",6,",6,0,603 S Hackett Rd,,Waterloo,IA,United States,50701,42.5060025,-92.3960799,(319) 232-0397,,,,,,,,
,St John's United Chr Of Christ,,publish,1,gd_place,,,"52216,Clarence,IA",",6,",6,0,320 9th Ave,,Clarence,IA,United States,52216,41.8874055,-91.0516607,(563) 452-3022,,,,,,,,
,St Stephans Food Bank,,publish,1,gd_place,,,"52003,Dubuque,IA",",6,",6,0,3145 Cedar Crest Rdg,,Dubuque,IA,United States,52003,42.4765201,-90.7100456,(563) 557-7474,,,,,,,,
,St Stephens Food Bank,,publish,1,gd_place,,,"52003,Dubuque,IA",",6,",6,0,3145 Cedar Crest Rdg,,Dubuque,IA,United States,52003,42.4765201,-90.7100456,(563) 345-6490,,,,,,,,
,St Vincent De Paul Society,,publish,1,gd_place,,,"52601,Burlington,IA",",6,",6,0,700 Division St,,Burlington,IA,United States,52601,40.8076839,-91.1086809,(319) 752-9332,,,,,,,,
,Third Missionary Baptist Chr,,publish,1,gd_place,,,"52803,Davenport,IA",",6,",6,0,222 W 14th St,,Davenport,IA,United States,52803,41.5342836,-90.5764098,(563) 324-2919,,,,,,,,
,Trinity Lutheran Church,,publish,1,gd_place,,,"51521,Avoca,IA",",6,",6,0,301 N Chestnut St,,Avoca,IA,United States,51521,41.4787263,-95.3359456,(712) 343-2518,,,,,,,,
,United Methodist Church,,publish,1,gd_place,,,"50058,Coon Rapids,IA",",6,",6,0,119 4th Ave,,Coon Rapids,IA,United States,50058,41.8711678,-94.6757504,(712) 999-5262,,,,,,,,
,Upper Des Moines Opportunity,,publish,1,gd_place,,,"51334,Estherville,IA",",6,",6,0,1527 Central Ave # B,,Estherville,IA,United States,51334,43.4024175,-94.8239963,(712) 362-2391,,,,,,,,
