ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Andover Community Food Bank,,publish,1,gd_place,,,"67002,Andover,KS",",6,",6,0,PO Box 519,,Andover,KS,United States,67002,37.700398,-97.1144039,,,,,,,,,
,Ballard Community Ctr Inc,,publish,1,gd_place,,,"66044,Lawrence,KS",",6,",6,0,708 Elm St,,Lawrence,KS,United States,66044,38.9766699,-95.2239352,(785) 842-0729,,,,,,,,
,Baxter Springs Thrift Shop,,publish,1,gd_place,,,"66713,Baxter Springs,KS",",6,",6,0,140 W 10th St,,Baxter Springs,KS,United States,66713,37.0260047,-94.7362619,(620) 856-4444,,,,,,,,
,Catholic Charities NE Kansas,,publish,1,gd_place,,,"66106,Kansas City,KS",",6,",6,0,1708 Steele Rd,,Kansas City,KS,United States,66106,39.0626832,-94.6482878,(913) 432-3141,,,,,,,,
,Catholic Charities NE Kansas,,publish,1,gd_place,,,"66048,Leavenworth,KS",",6,",6,0,716 N 5th St,,Leavenworth,KS,United States,66048,39.3247681,-94.9164532,(913) 651-8060,,,,,,,,
,Catholic Charities Our Daily,,publish,1,gd_place,,,"67216,Wichita,KS",",6,",6,0,2825 S Hillside St,,Wichita,KS,United States,67216,37.6411763,-97.2991375,(316) 262-8898,,,,,,,,
,Catholic Community Hospice,,publish,1,gd_place,,,"66219,Lenexa,KS",",6,",6,0,16201 W 95th St # 220,,Lenexa,KS,United States,66219,38.9551625,-94.7763598,(913) 621-5090,,,,,,,,
,Central Avenue Ctr Of Hope,,publish,1,gd_place,,,"66102,Kansas City,KS",",6,",6,0,11 N 15th St,,Kansas City,KS,United States,66102,39.1051682,-94.6455614,(913) 233-2511,,,,,,,,
,Christian Street Witness Inc,,publish,1,gd_place,,,"66612,Topeka,KS",",6,",6,0,107 SW 14th St,,Topeka,KS,United States,66612,39.0404491,-95.6786541,(785) 354-8763,,,,,,,,
,Community Access Ctr,,publish,1,gd_place,,,"67301,Independence,KS",",6,",6,0,307 1/2 W Pecan St,,Independence,KS,United States,67301,37.2334228,-95.7093834,(620) 331-5115,,,,,,,,
,Community Access Ctr Food BSKT,,publish,1,gd_place,,,"67301,Independence,KS",",6,",6,0,307 1/2 W Pecan St,,Independence,KS,United States,67301,37.2334228,-95.7093834,(620) 331-5115,,,,,,,,
,County Of Barton Food Bank,,publish,1,gd_place,,,"67530,Great Bend,KS",",6,",6,0,3007 10th St # B,,Great Bend,KS,United States,67530,38.3612042,-98.7798303,(620) 792-4001,,,,,,,,
,Cure Church,,publish,1,gd_place,,,"66104,Kansas City,KS",",6,",6,0,3650 N 67th St,,Kansas City,KS,United States,66104,39.1542307,-94.7350693,(913) 596-0006,,,,,,,,
,Decourcy Chiropractic,,publish,1,gd_place,,,"66212,Overland Park,KS",",6,",6,0,10425 Marty St # 100,,Overland Park,KS,United States,66212,38.9411332,-94.6690855,(913) 383-3031,,,,,,,,
,Derby Community Family Svc,,publish,1,gd_place,,,"67216,Wichita,KS",",6,",6,0,4900 S Clifton Ave,,Wichita,KS,United States,67216,37.603687,-97.2922959,(316) 519-5867,,,,,,,,
,Eckan Inc,,publish,1,gd_place,,,"66046,Lawrence,KS",",6,",6,0,2518 Ridge Ct # 105,,Lawrence,KS,United States,66046,38.937692,-95.2576029,(785) 841-3357,,,,,,,,
,Emergency Aid Food Bank,,publish,1,gd_place,,,"67401,Salina,KS",",6,",6,0,255 S Chicago St,,Salina,KS,United States,67401,38.8362673,-97.6231562,(785) 827-7111,,,,,,,,
,Emergency Assistance-Advocacy,,publish,1,gd_place,,,"66101,Kansas City,KS",",6,",6,0,722 Reynolds Ave,,Kansas City,KS,United States,66101,39.1047099,-94.627865,(913) 342-8333,,,,,,,,
,Food Pantry Of Winfield,,publish,1,gd_place,,,"67156,Winfield,KS",",6,",6,0,320 College St,,Winfield,KS,United States,67156,37.2469901,-96.9779191,(620) 221-2183,,,,,,,,
,Fresh Start,,publish,1,gd_place,,,"66441,Junction City,KS",",6,",6,0,136 W 3rd St,,Junction City,KS,United States,66441,39.0253393,-96.8309755,(785) 390-0102,,,,,,,,
,Genesis,,publish,1,gd_place,,,"67701,Colby,KS",",6,",6,0,350 S Range Ave # 6,,Colby,KS,United States,67701,39.3920529,-101.0557519,(785) 460-7930,,,,,,,,
,Good Shepherd Family Church,,publish,1,gd_place,,,"66607,Topeka,KS",",6,",6,0,2054 SE California Ave,,Topeka,KS,United States,66607,39.0305773,-95.6507708,(785) 783-7774,,,,,,,,
