ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,A Philip Randolph Institute,,publish,1,gd_place,,,"40203,Louisville,KY",",6,",6,0,1801 Northwestern Pkwy,,Louisville,KY,United States,40203,38.2662467,-85.7764418,(502) 774-4834,,,,,,,,
,American Red Cross,,publish,1,gd_place,,,"40031,La Grange,KY",",6,",6,0,1215 N Highway 393,,La Grange,KY,United States,40031,38.3507438,-85.3965074,(502) 222-0308,,,,,,,,
,Aramark Commissary,,publish,1,gd_place,,,"42101,Bowling Green,KY",",6,",6,0,920 Kentucky St,,Bowling Green,KY,United States,42101,36.9950886,-86.4441126,(270) 843-2141,,,,,,,,
,Awake Ministries,,publish,1,gd_place,,,"40065,Shelbyville,KY",",6,",6,0,98 7th St,,Shelbyville,KY,United States,40065,38.2146077,-85.2189477,(502) 647-5555,,,,,,,,
,Bank Street Food Bank Inc,,publish,1,gd_place,,,"40245,Louisville,KY",",6,",6,0,1309 Isleworth Dr,,Louisville,KY,United States,40245,38.2616861,-85.4892346,,,,,,,,,
,Bardwell Baptist Church,,publish,1,gd_place,,,"42023,Bardwell,KY",",6,",6,0,323 US Highway 51 N,,Bardwell,KY,United States,42023,36.8711115,-89.0091943,(270) 628-3645,,,,,,,,
,Bear Pen Worship Ctr,,publish,1,gd_place,,,"41301,Campton,KY",",6,",6,0,939 Bear Pen Rd,,Campton,KY,United States,41301,37.7253344,-83.5633609,(606) 668-3351,,,,,,,,
,Berea Community Food Bank,,publish,1,gd_place,,,"40403,Berea,KY",",6,",6,0,108 Parkway Ave,,Berea,KY,United States,40403,37.568694,-84.2963223,(859) 985-1903,,,,,,,,
,Christian Food Bank Of Hopkins,,publish,1,gd_place,,,"42431,Madisonville,KY",",6,",6,0,241 W Center St,,Madisonville,KY,United States,42431,37.3288837,-87.5029081,(270) 825-8296,,,,,,,,
,Christian Life Ctr-Harrodsburg,,publish,1,gd_place,,,"40330,Harrodsburg,KY",",6,",6,0,108 S Main St,,Harrodsburg,KY,United States,40330,37.7619752,-84.8436281,(859) 734-5001,,,,,,,,
,Community Action Council,,publish,1,gd_place,,,"40504,Lexington,KY",",6,",6,0,1902 Cambridge Dr,,Lexington,KY,United States,40504,38.0491142,-84.5435348,(859) 246-1192,,,,,,,,
,Dare To Care Food Bank,,publish,1,gd_place,,,"40228,Louisville,KY",",6,",6,0,5803 Fern Valley Rd,,Louisville,KY,United States,40228,38.1564639,-85.6536301,(502) 966-3821,,,,,,,,
,Eagle Child Development Ctr,,publish,1,gd_place,,,"42634,Parkers Lake,KY",",6,",6,0,100 Eagle School Rd,,Parkers Lake,KY,United States,42634,36.8591899,-84.3937212,(606) 376-8212,,,,,,,,
,Elliott County Christian Cmnty,,publish,1,gd_place,,,"41171,Sandy Hook,KY",",6,",6,0,157 Kentucky Ave # 7,,Sandy Hook,KY,United States,41171,38.0918423,-83.1265984,(606) 738-4095,,,,,,,,
,Fairhaven Rescue Mission,,publish,1,gd_place,,,"41016,Bromley,KY",",6,",6,0,260 Pike St,,Bromley,KY,United States,41016,39.0822511,-84.5630982,(859) 491-1027,,,,,,,,
