ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Augusta Food Bank,,publish,1,gd_place,,,"4330,Augusta,ME",",6,",6,0,161 Mount Vernon Ave,,Augusta,ME,United States,4330,44.3295428,-69.7834715,(207) 622-5225,,,,,,,,
,Bridgton Food Pantry,,publish,1,gd_place,,,"4009,Bridgton,ME",",6,",6,0,214 Main St,,Bridgton,ME,United States,4009,44.0545039,-70.7047868,(207) 647-4476,,,,,,,,
,Camden Area Christian Food,,publish,1,gd_place,,,"4843,Camden,ME",",6,",6,0,128 Mount Battie St,,Camden,ME,United States,4843,44.222216,-69.0815152,(207) 236-9790,,,,,,,,
,Christ Episcopal Church,,publish,1,gd_place,,,"4268,Norway,ME",",6,",6,0,35 Paris St,,Norway,ME,United States,4268,44.2117637,-70.5314804,(207) 743-6782,,,,,,,,
,Chrysalis Place/Gardiner Food,,publish,1,gd_place,,,"4345,Gardiner,ME",",6,",6,0,576 Brunswick Ave,,Gardiner,ME,United States,4345,44.20187,-69.796009,(207) 582-5507,,,,,,,,
,Dixfield Common Baptist Chr,,publish,1,gd_place,,,"4224,Dixfield,ME",",6,",6,0,2 Chapel Rd,,Dixfield,ME,United States,4224,44.5411399,-70.3822114,(207) 562-7470,,,,,,,,
,Eastern Maine Aids Network,,publish,1,gd_place,,,"4401,Bangor,ME",",6,",6,0,304 Hancock St # 3b,,Bangor,ME,United States,4401,44.8034522,-68.7594953,(207) 990-3626,,,,,,,,
,First Cong UCC Food Pantry,,publish,1,gd_place,,,"4039,Gray,ME",",6,",6,0,5 Brown St,,Gray,ME,United States,4039,43.8861218,-70.3285964,(207) 657-4279,,,,,,,,
,Food Cupboard,,publish,1,gd_place,,,"4976,Skowhegan,ME",",6,",6,0,16 Cariani St,,Skowhegan,ME,United States,4976,44.7621323,-69.714791,(207) 474-9249,,,,,,,,
,Food Pantry,,publish,1,gd_place,,,"4357,Richmond,ME",",6,",6,0,229 Front St,,Richmond,ME,United States,4357,44.0808407,-69.8014875,(508) 759-3351,,,,,,,,
,Good Shepard Food Bank,,publish,1,gd_place,,,"4444,Hampden,ME",",6,",6,0,11 Penobscot Meadow Dr,,Hampden,ME,United States,4444,44.780557,-68.7944169,(207) 782-3554,,,,,,,,
,Good Shepherd Food Bank Nrthst,,publish,1,gd_place,,,"4102,Portland,ME",",6,",6,0,111 Pine Tree Industrial Pkwy,,Portland,ME,United States,4102,43.6701307,-70.3287425,(207) 772-8268,,,,,,,,
,Good Shepherd Food Bank Of ME,,publish,1,gd_place,,,"4210,Auburn,ME",",6,",6,0,3121 Hotel Rd,,Auburn,ME,United States,4210,44.030915,-70.2887337,(207) 782-3554,,,,,,,,
,Gorham Food Pantry,,publish,1,gd_place,,,"4038,Gorham,ME",",6,",6,0,299 Main St,,Gorham,ME,United States,4038,43.684299,-70.4260835,(207) 222-4351,,,,,,,,
,Grace Interfaith Food Table,,publish,1,gd_place,,,"4769,Presque Isle,ME",",6,",6,0,11 Industrial St,,Presque Isle,ME,United States,4769,46.6813357,-68.0240353,(207) 764-8584,,,,,,,,
,Hammond Street Congregational,,publish,1,gd_place,,,"4401,Bangor,ME",",6,",6,0,28 High St,,Bangor,ME,United States,4401,44.8009361,-68.7741797,(207) 942-4381,,,,,,,,
,Hudson Baptist Church,,publish,1,gd_place,,,"4449,Hudson,ME",",6,",6,0,2328 Hudson Rd,,Hudson,ME,United States,4449,44.9988881,-68.8852768,(207) 327-1433,,,,,,,,
,Loaves-Fishes Hidden Treasures,,publish,1,gd_place,,,"4240,Lewiston,ME",",6,",6,0,850 Lisbon St,,Lewiston,ME,United States,4240,44.0848438,-70.2034757,(207) 333-5100,,,,,,,,
,Old Orchard Beach Cmnty Food,,publish,1,gd_place,,,"4064,Old Orchard Beach,ME",",6,",6,0,155 Saco Ave # 1,,Old Orchard Beach,ME,United States,4064,43.5125954,-70.3909232,(207) 937-8094,,,,,,,,
,Project Feed Inc,,publish,1,gd_place,,,"4103,Portland,ME",",6,",6,0,202 Woodford St,,Portland,ME,United States,4103,43.6707275,-70.2870938,(207) 761-3920,,,,,,,,
,Saco Food Pantry Inc,,publish,1,gd_place,,,"4072,Saco,ME",",6,",6,0,67 Ocean Park Rd,,Saco,ME,United States,4072,43.5075589,-70.4229965,(207) 468-1305,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"4330,Augusta,ME",",6,",6,0,36 Eastern Ave,,Augusta,ME,United States,4330,44.3099533,-69.7679876,(207) 623-3752,,,,,,,,
,Shepherd Good Food Bank,,publish,1,gd_place,,,"4005,Biddeford,ME",",6,",6,0,180 Main St,,Biddeford,ME,United States,4005,43.4935475,-70.455596,(207) 782-3554,,,,,,,,
,South Portland Food Cupboard,,publish,1,gd_place,,,"4106,South Portland,ME",",6,",6,0,130 Thadeus St # A,,South Portland,ME,United States,4106,43.6253415,-70.2870678,(207) 874-0379,,,,,,,,
,Sweden Food Pantry Inc,,publish,1,gd_place,,,"4040,Sweden,ME",",6,",6,0,134 Bridgton Rd,,Sweden,ME,United States,4040,44.1037937,-70.7013048,(207) 647-5735,,,,,,,,
,Talk & Shop,,publish,1,gd_place,,,"4416,Bucksport,ME",",6,",6,0,79 Main St,,Bucksport,ME,United States,4416,44.5721214,-68.7948858,(207) 469-1169,,,,,,,,
,Tree Of Life Food Pantry,,publish,1,gd_place,,,"4614,Blue Hill,ME",",6,",6,0,23 South St,,Blue Hill,ME,United States,4614,44.4061047,-68.5959225,(207) 374-2900,,,,,,,,
,Tri Town Food Cupboard,,publish,1,gd_place,,,"4943,Hartland,ME",",6,",6,0,9 Hubbard Ave,,Hartland,ME,United States,4943,44.8837315,-69.4500703,(207) 938-3283,,,,,,,,
,United Methodist Church,,publish,1,gd_place,,,"4901,Waterville,ME",",6,",6,0,61 Pleasant St,,Waterville,ME,United States,4901,44.5527441,-69.634246,(207) 872-7564,,,,,,,,
,Waterville Food Bank,,publish,1,gd_place,,,"4901,Waterville,ME",",6,",6,0,61 Pleasant St,,Waterville,ME,United States,4901,44.5527441,-69.634246,(207) 616-0363,,,,,,,,
,Wayside Food Programs,,publish,1,gd_place,,,"4103,Portland,ME",",6,",6,0,135 Walton St # A,,Portland,ME,United States,4103,43.6800204,-70.2867414,(207) 775-4939,,,,,,,,
