ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Acme Christian Thrift Store,,publish,1,gd_place,,,"49690,Williamsburg,MI",",6,",6,0,8925 M 72 E,,Williamsburg,MI,United States,49690,44.7714392,-85.3949057,(231) 938-2990,,,,,,,,
,Alger Community Food Pantry,,publish,1,gd_place,,,"49862,Munising,MI",",6,",6,0,312 Lynn St,,Munising,MI,United States,49862,46.4101272,-86.6590742,,,,,,,,,
,America's Second Harvest,,publish,1,gd_place,,,"48503,Flint,MI",",6,",6,0,2312 Lapeer Rd,,Flint,MI,United States,48503,43.008705,-83.6646122,(312) 263-2303,,,,,,,,
,Antrim County Baby Pantry Inc,,publish,1,gd_place,,,"49659,Mancelona,MI",",6,",6,0,209 Jefferson St,,Mancelona,MI,United States,49659,44.90368,-85.065096,(231) 492-7426,,,,,,,,
,Baptist Church Of Pentwater,,publish,1,gd_place,,,"49449,Pentwater,MI",",6,",6,0,101 S Rush St,,Pentwater,MI,United States,49449,43.7805141,-86.4286015,(231) 869-5149,,,,,,,,
,Benzie Food Partners Inc,,publish,1,gd_place,,,"49640,Honor,MI",",6,",6,0,10907 Main St,,Honor,MI,United States,49640,44.6638344,-86.0212651,(231) 325-2936,,,,,,,,
,Blue Water Community Food,,publish,1,gd_place,,,"48060,Port Huron,MI",",6,",6,0,2408 10th St,,Port Huron,MI,United States,48060,42.9581796,-82.4318135,(810) 987-7886,,,,,,,,
,Bottlenecks,,publish,1,gd_place,,,"49505,Grand Rapids,MI",",6,",6,0,2355 Fuller Ave NE,,Grand Rapids,MI,United States,49505,43.0059893,-85.6401751,(616) 726-1717,,,,,,,,
,Bravo Christian Reform Church,,publish,1,gd_place,,,"49408,Fennville,MI",",6,",6,0,5587 113th Ave,,Fennville,MI,United States,49408,42.5141446,-86.0906666,(269) 236-5037,,,,,,,,
,Brightmoor Pantry,,publish,1,gd_place,,,"48219,Detroit,MI",",6,",6,0,16621 Lahser Rd,,Detroit,MI,United States,48219,42.4105618,-83.2579237,(313) 740-7688,,,,,,,,
