ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,360 Communities,,publish,1,gd_place,,,"55068,Rosemount,MN",",6,",6,0,14521 Cimarron Ave W,,Rosemount,MN,United States,55068,44.7388002,-93.1411909,(651) 322-5113,,,,,,,,
,Acbc Emergency Food Shelf,,publish,1,gd_place,,,"55303,Anoka,MN",",6,",6,0,2615 9th Ave,,Anoka,MN,United States,55303,45.2054693,-93.3734986,(763) 422-0046,,,,,,,,
,Akeley/Nevis Cmnty Food Shelf,,publish,1,gd_place,,,"56433,Akeley,MN",",6,",6,0,210 Pleasant Ave SE,,Akeley,MN,United States,56433,47.001778,-94.723977,(218) 652-2388,,,,,,,,
,All Nations Seventh-Day,,publish,1,gd_place,,,"55411,Minneapolis,MN",",6,",6,0,2315 24th Ave N,,Minneapolis,MN,United States,55411,45.0040307,-93.3102313,(612) 588-7766,,,,,,,,
,Angel's Of Hope,,publish,1,gd_place,,,"55063,Pine City,MN",",6,",6,0,56395 Forest Blvd,,Pine City,MN,United States,55063,45.76432,-92.96437,(320) 336-9191,,,,,,,,
,Annandale Food Shelf 390,,publish,1,gd_place,,,"55302,Annandale,MN",",6,",6,0,390 Annandale Blvd,,Annandale,MN,United States,55302,45.2556789,-94.1012686,(320) 274-3663,,,,,,,,
,Bbe Foodshelf,,publish,1,gd_place,,,"56316,Brooten,MN",",6,",6,0,111 Pleasant Ave S,,Brooten,MN,United States,56316,45.500418,-95.1234846,(320) 346-4193,,,,,,,,
,Bbe Foodshelf,,publish,1,gd_place,,,"56316,Brooten,MN",",6,",6,0,412 Eastern Ave S,,Brooten,MN,United States,56316,45.4977444,-95.1213224,(320) 346-4193,,,,,,,,
,Becker County Food Pantry,,publish,1,gd_place,,,"56501,Detroit Lakes,MN",",6,",6,0,1308 Rossman Ave,,Detroit Lakes,MN,United States,56501,46.8086532,-95.8548039,(218) 846-0142,,,,,,,,
,Big Lake Community Food Shelf,,publish,1,gd_place,,,"55309,Big Lake,MN",",6,",6,0,160 Lake St N,,Big Lake,MN,United States,55309,45.3332148,-93.7448508,(763) 263-2432,,,,,,,,
,Bountiful Basket Food Shelf,,publish,1,gd_place,,,"55318,Chaska,MN",",6,",6,0,1600 Bavaria Rd,,Chaska,MN,United States,55318,44.8069201,-93.6125,(952) 556-0244,,,,,,,,
,Braham Event Ctr,,publish,1,gd_place,,,"55006,Braham,MN",",6,",6,0,655 8th St SW,,Braham,MN,United States,55006,45.7160837,-93.1836715,(320) 396-3177,,,,,,,,
,Brian Coyle Community Ctr,,publish,1,gd_place,,,"55454,Minneapolis,MN",",6,",6,0,420 15th Ave S,,Minneapolis,MN,United States,55454,44.9707032,-93.2506039,(612) 338-5282,,,,,,,,
,Buffalo Food Shelf,,publish,1,gd_place,,,"55313,Buffalo,MN",",6,",6,0,301 12th Ave S,,Buffalo,MN,United States,55313,45.1678122,-93.8539583,(763) 684-1699,,,,,,,,
,Caer Food Shelf,,publish,1,gd_place,,,"55330,Elk River,MN",",6,",6,0,12621 Elk Lake Rd NW,,Elk River,MN,United States,55330,45.3208237,-93.5885138,(763) 441-1020,,,,,,,,
,Calvary Church,,publish,1,gd_place,,,"55420,Bloomington,MN",",6,",6,0,8800 Nicollet Ave S,,Bloomington,MN,United States,55420,44.8439982,-93.2788297,(952) 888-0215,,,,,,,,
,Cambridge Food Shelf,,publish,1,gd_place,,,"55008,Cambridge,MN",",6,",6,0,1575 1st Ave E,,Cambridge,MN,United States,55008,45.572151,-93.2050726,(763) 552-3663,,,,,,,,
,Care & Share Pantry,,publish,1,gd_place,,,"56734,Lake Bronson,MN",",6,",6,0,106 E Main St,,Lake Bronson,MN,United States,56734,48.7354172,-96.6634488,(218) 754-3663,,,,,,,,
,Cedar Valley Church,,publish,1,gd_place,,,"55425,Bloomington,MN",",6,",6,0,8600 Bloomington Ave,,Bloomington,MN,United States,55425,44.8459645,-93.2541196,(952) 854-1100,,,,,,,,
,Centennial Community Food SHLF,,publish,1,gd_place,,,"55014,Circle Pines,MN",",6,",6,0,PO Box 8,,Circle Pines,MN,United States,55014,45.1485771,-93.1516124,(763) 784-2013,,,,,,,,
,Channel One Food Shelf,,publish,1,gd_place,,,"55904,Rochester,MN",",6,",6,0,131 35th St SE,,Rochester,MN,United States,55904,43.9726222,-92.459577,(507) 287-2350,,,,,,,,
,Community Cafe Inc,,publish,1,gd_place,,,"55744,Grand Rapids,MN",",6,",6,0,3130 SE 2nd Ave,,Grand Rapids,MN,United States,55744,47.2005194,-93.523817,(218) 999-0089,,,,,,,,
,Concordia University St Paul,,publish,1,gd_place,,,"55104,Saint Paul,MN",",6,",6,0,275 Syndicate St N,,Saint Paul,MN,United States,55104,44.9497056,-93.1547009,(651) 641-8261,,,,,,,,
,Cottonwood County Sharing Ctr,,publish,1,gd_place,,,"56101,Windom,MN",",6,",6,0,1156 4th Ave,,Windom,MN,United States,56101,43.8685846,-95.1181437,(507) 832-8267,,,,,,,,
,Department Of Indian Work,,publish,1,gd_place,,,"55105,Saint Paul,MN",",6,",6,0,1671 Summit Ave,,Saint Paul,MN,United States,55105,44.9420831,-93.1711946,(651) 644-2768,,,,,,,,
,Dorothy Day Food Pantry,,publish,1,gd_place,,,"56560,Moorhead,MN",",6,",6,0,1308 Main Ave,,Moorhead,MN,United States,56560,46.8741088,-96.7590119,(218) 284-8895,,,,,,,,
,East Grand Forks Food Shelf,,publish,1,gd_place,,,"56721,East Grand Forks,MN",",6,",6,0,1715 3rd Ave NW,,East Grand Forks,MN,United States,56721,47.9424926,-97.0234681,(218) 773-8083,,,,,,,,
,Eastside Food Co-Op,,publish,1,gd_place,,,"55418,Minneapolis,MN",",6,",6,0,2551 Central Ave NE,,Minneapolis,MN,United States,55418,45.0148163,-93.2468128,(612) 788-0950,,,,,,,,
,Echo Food Shelf For All Other,,publish,1,gd_place,,,"56001,Mankato,MN",",6,",6,0,1014 S Front St,,Mankato,MN,United States,56001,44.1605296,-94.0131616,(507) 345-7477,,,,,,,,
,Eden Valley Food Shelf,,publish,1,gd_place,,,"55329,Eden Valley,MN",",6,",6,0,556 Brooks St N,,Eden Valley,MN,United States,55329,45.3277007,-94.5449333,(320) 453-3700,,,,,,,,
,Family Pathways,,publish,1,gd_place,,,"55008,Cambridge,MN",",6,",6,0,102 Main St N,,Cambridge,MN,United States,55008,45.5729092,-93.2238575,(763) 689-3532,,,,,,,,
,Family Pathways,,publish,1,gd_place,,,"55056,North Branch,MN",",6,",6,0,6413 Oak St,,North Branch,MN,United States,55056,45.508999,-92.9783097,(651) 674-8040,,,,,,,,
,Family Pathways Food Shelf,,publish,1,gd_place,,,"55056,North Branch,MN",",6,",6,0,6381 Main St,,North Branch,MN,United States,55056,45.5111923,-92.9790165,(651) 674-8313,,,,,,,,
,Faribault County Area Food,,publish,1,gd_place,,,"56013,Blue Earth,MN",",6,",6,0,415 S Grove St,,Blue Earth,MN,United States,56013,43.6350698,-94.0897515,(507) 526-7222,,,,,,,,
,First Baptist Chr-St Francis,,publish,1,gd_place,,,"55070,Saint Francis,MN",",6,",6,0,22940 Saint Francis Blvd NW,,Saint Francis,MN,United States,55070,45.386344,-93.3694368,(763) 753-1230,,,,,,,,
,Food Distribution Ctr-Cloquet,,publish,1,gd_place,,,"55720,Cloquet,MN",",6,",6,0,316 Carlton Ave,,Cloquet,MN,United States,55720,46.7175295,-92.4594388,(218) 879-1693,,,,,,,,
,Food Distribution Program,,publish,1,gd_place,,,"56670,Redby,MN",",6,",6,0,15860 Ogema Ave,,Redby,MN,United States,56670,47.8785681,-94.9130452,(218) 679-3730,,,,,,,,
,Food Group,,publish,1,gd_place,,,"55428,Minneapolis,MN",",6,",6,0,8501 54th Ave N,,Minneapolis,MN,United States,55428,45.049507,-93.3882632,(763) 450-3863,,,,,,,,
,Food Shelf,,publish,1,gd_place,,,"56601,Bemidji,MN",",6,",6,0,1260 Exchange Ave SE,,Bemidji,MN,United States,56601,47.471573,-94.8826861,(218) 444-6580,,,,,,,,
,Food Shelf,,publish,1,gd_place,,,"56537,Fergus Falls,MN",",6,",6,0,1512 N 1st Ave,,Fergus Falls,MN,United States,56537,46.3010935,-96.0880374,(218) 739-2971,,,,,,,,
,Food Shelf,,publish,1,gd_place,,,"55768,Mountain Iron,MN",",6,",6,0,8367 Enterprise Dr NE,,Mountain Iron,MN,United States,55768,47.5200076,-92.5647272,(218) 749-1371,,,,,,,,
,Food Shelf,,publish,1,gd_place,,,"55063,Pine City,MN",",6,",6,0,220 7th St SW,,Pine City,MN,United States,55063,45.8272983,-92.9715057,(320) 629-0128,,,,,,,,
,Food Shelf,,publish,1,gd_place,,,"56378,Sauk Centre,MN",",6,",6,0,523 Sinclair Lewis Ave,,Sauk Centre,MN,United States,56378,45.7369151,-94.9532031,(320) 351-2287,,,,,,,,
,Food Shelf,,publish,1,gd_place,,,"56085,Sleepy Eye,MN",",6,",6,0,130 2nd Ave NW,,Sleepy Eye,MN,United States,56085,44.2978949,-94.7246001,(507) 794-5969,,,,,,,,
,Food Shelf & Clothing Ctr,,publish,1,gd_place,,,"55362,Monticello,MN",",6,",6,0,224 W 3rd St,,Monticello,MN,United States,55362,45.3054734,-93.7974249,(763) 295-4031,,,,,,,,
,Food Shelf Rush City,,publish,1,gd_place,,,"55069,Rush City,MN",",6,",6,0,720 W 14th St,,Rush City,MN,United States,55069,45.67457,-92.974369,(320) 358-4428,,,,,,,,
,Foodshelf,,publish,1,gd_place,,,"56345,Little Falls,MN",",6,",6,0,912 1st Ave SW,,Little Falls,MN,United States,56345,45.9762264,-94.3831634,(320) 632-8304,,,,,,,,
,Friends In Need Food Shelf,,publish,1,gd_place,,,"55071,Saint Paul Park,MN",",6,",6,0,535 4th St,,Saint Paul Park,MN,United States,55071,44.8486672,-92.9973249,(651) 458-0730,,,,,,,,
,Grace Community Food Shelf,,publish,1,gd_place,,,"56535,Erskine,MN",",6,",6,0,322 Vance Ave S,,Erskine,MN,United States,56535,47.6650226,-96.0115059,(218) 687-2250,,,,,,,,
,Grand Portage Reservation Food,,publish,1,gd_place,,,"55605,Grand Portage,MN",",6,",6,0,PO Box 233,,Grand Portage,MN,United States,55605,47.980899,-89.7300434,(218) 475-2480,,,,,,,,
,Grant County Food Shelf,,publish,1,gd_place,,,"56531,Elbow Lake,MN",",6,",6,0,1311 Highway 79 E,,Elbow Lake,MN,United States,56531,45.9916847,-95.959474,(218) 685-4176,,,,,,,,
,Groveland Food Shelf,,publish,1,gd_place,,,"55403,Minneapolis,MN",",6,",6,0,1900 Nicollet Ave,,Minneapolis,MN,United States,55403,44.9634764,-93.2784653,(612) 871-0277,,,,,,,,
,Hearts-Hands Food Shelf-Pope,,publish,1,gd_place,,,"56334,Glenwood,MN",",6,",6,0,206 6th Ave NW,,Glenwood,MN,United States,56334,45.6552888,-95.3920591,(320) 634-3408,,,,,,,,
,Heavens Table Food Shelf,,publish,1,gd_place,,,"56031,Fairmont,MN",",6,",6,0,909 Winnebago Ave,,Fairmont,MN,United States,56031,43.666921,-94.4505715,(507) 238-5424,,,,,,,,
,Helping Hands Emergency Food,,publish,1,gd_place,,,"56557,Mahnomen,MN",",6,",6,0,119 SW Main St Manhomen MN,,Mahnomen,MN,United States,56557,47.3145097,-95.9689691,(218) 935-2822,,,,,,,,
,Hibbing Food Shelf,,publish,1,gd_place,,,"55746,Hibbing,MN",",6,",6,0,1800 3rd Ave E # 2,,Hibbing,MN,United States,55746,47.4300518,-92.9392753,(218) 262-1729,,,,,,,,
,Home-Away Ministries Ruby's,,publish,1,gd_place,,,"55056,North Branch,MN",",6,",6,0,39404 Grand Ave,,North Branch,MN,United States,55056,45.5194016,-92.9723729,(651) 674-2537,,,,,,,,
,Home-Away Ministries Ruby's,,publish,1,gd_place,,,"55063,Pine City,MN",",6,",6,0,1300 Northridge Ct NW # 105,,Pine City,MN,United States,55063,45.8471513,-92.9715356,(320) 629-7400,,,,,,,,
,Hopebridge Center,,publish,1,gd_place,,,"55428,New Hope,MN",",6,",6,0,4217 Boone Ave N,,New Hope,MN,United States,55428,45.034469,-93.391011,(763) 533-5887,,,,,,,,
,Hubbard County Food Shelf,,publish,1,gd_place,,,"56470,Park Rapids,MN",",6,",6,0,308 Pleasant Ave S,,Park Rapids,MN,United States,56470,46.9195622,-95.0610675,(218) 732-1282,,,,,,,,
,ICA Food Shelf,,publish,1,gd_place,,,"55305,Hopkins,MN",",6,",6,0,12990 Saint Davids Rd,,Hopkins,MN,United States,55305,44.9409641,-93.444037,(952) 938-0729,,,,,,,,
,Incarnation Catholic Church,,publish,1,gd_place,,,"55409,Minneapolis,MN",",6,",6,0,3817 Pleasant Ave,,Minneapolis,MN,United States,55409,44.9335349,-93.2826883,(612) 822-2101,,,,,,,,
,Jericho Road Ministries,,publish,1,gd_place,,,"55407,Minneapolis,MN",",6,",6,0,1628 E 33rd St,,Minneapolis,MN,United States,55407,44.9431569,-93.2506929,(612) 455-1193,,,,,,,,
