ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Andrews Mission Ctr,,publish,1,gd_place,,,"39648,Mccomb,MS",",6,",6,0,104 S Front St,,Mccomb,MS,United States,39648,31.2435583,-90.45219,(601) 600-4180,,,,,,,,
,Bread Of Life Pantry Inc,,publish,1,gd_place,,,"39654,Monticello,MS",",6,",6,0,26 Taylor Ln,,Monticello,MS,United States,39654,31.7090168,-90.1829929,,,,,,,,,
,Brothers Keeper Ministries,,publish,1,gd_place,,,"39470,Poplarville,MS",",6,",6,0,208 N Main St,,Poplarville,MS,United States,39470,30.8456104,-89.5352776,(601) 795-3173,,,,,,,,
,Catholic Social & Cmnty Svc,,publish,1,gd_place,,,"39507,Gulfport,MS",",6,",6,0,333 Cowan Rd,,Gulfport,MS,United States,39507,30.3879715,-89.0282849,(228) 701-0555,,,,,,,,
,City-Port Gibson Emergency,,publish,1,gd_place,,,"39150,Port Gibson,MS",",6,",6,0,1511 Bridewell Ln,,Port Gibson,MS,United States,39150,31.9607734,-90.9817325,(601) 437-8899,,,,,,,,
,Feed My Sheep,,publish,1,gd_place,,,"39501,Gulfport,MS",",6,",6,0,2615 19th St,,Gulfport,MS,United States,39501,30.3730804,-89.0946764,(228) 864-2701,,,,,,,,
,First Baptist Church,,publish,1,gd_place,,,"39455,Lumberton,MS",",6,",6,0,103 E Hinton Ave,,Lumberton,MS,United States,39455,30.9996954,-89.4523904,(601) 796-8188,,,,,,,,
,Hancock County Food Pantry,,publish,1,gd_place,,,"39520,Bay Saint Louis,MS",",6,",6,0,9972 Highway 603,,Bay Saint Louis,MS,United States,39520,30.3134518,-89.3915215,(228) 467-2790,,,,,,,,
,Heartland Hands,,publish,1,gd_place,,,"38671,Southaven,MS",",6,",6,0,385 Stateline Rd W,,Southaven,MS,United States,38671,34.9897585,-89.9954843,(662) 280-5365,,,,,,,,
,Marion County Food Pantry,,publish,1,gd_place,,,"39429,Columbia,MS",",6,",6,0,424 Bullis St,,Columbia,MS,United States,39429,31.2474371,-89.831718,(601) 736-1044,,,,,,,,
,Mica,,publish,1,gd_place,,,"39648,Mccomb,MS",",6,",6,0,126 N 5th St,,Mccomb,MS,United States,39648,31.245514,-90.455507,(601) 684-1969,,,,,,,,
,Mid-South Food Bank,,publish,1,gd_place,,,"38606,Batesville,MS",",6,",6,0,875 Highway 51 S,,Batesville,MS,United States,38606,34.2908479,-89.9436969,,,,,,,,,
,Mississippi Food NTWRK To Ordr,,publish,1,gd_place,,,"39201,Jackson,MS",",6,",6,0,440 Beatty St,,Jackson,MS,United States,39201,32.2856948,-90.1940115,(601) 353-7286,,,,,,,,
,Oakdale Baptist Church,,publish,1,gd_place,,,"39047,Brandon,MS",",6,",6,0,1872 Highway 471,,Brandon,MS,United States,39047,32.3533468,-89.9698989,(601) 829-1360,,,,,,,,
,Sacred Heart Southern Missions,,publish,1,gd_place,,,"38635,Holly Springs,MS",",6,",6,0,295 Francisco Ave,,Holly Springs,MS,United States,38635,34.7664373,-89.4427162,(662) 252-1336,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"39581,Pascagoula,MS",",6,",6,0,3217 Nathan Hale Ave,,Pascagoula,MS,United States,39581,30.3750386,-88.5294154,(228) 762-7227,,,,,,,,
,Salvation Army Columbus,,publish,1,gd_place,,,"39701,Columbus,MS",",6,",6,0,2219 Main St,,Columbus,MS,United States,39701,33.4989459,-88.4061757,(662) 327-5137,,,,,,,,
,Salvation Army Greenwood,,publish,1,gd_place,,,"38930,Greenwood,MS",",6,",6,0,214 Highway 7 S,,Greenwood,MS,United States,38930,33.5188685,-90.1518697,(662) 455-9679,,,,,,,,
,Salvation Army Meridian,,publish,1,gd_place,,,"39301,Meridian,MS",",6,",6,0,120 6th Ave S,,Meridian,MS,United States,39301,32.3685427,-88.6843861,(601) 483-6156,,,,,,,,
,Salvation Army Vicksburg,,publish,1,gd_place,,,"39183,Vicksburg,MS",",6,",6,0,530 Mission 66,,Vicksburg,MS,United States,39183,32.3573228,-90.8639295,(601) 456-4444,,,,,,,,
,St Luke Food Pantry,,publish,1,gd_place,,,"38804,Tupelo,MS",",6,",6,0,2653 S Eason Blvd,,Tupelo,MS,United States,38804,34.2352578,-88.6853308,(662) 205-4249,,,,,,,,
,Teams Inc,,publish,1,gd_place,,,"39150,Port Gibson,MS",",6,",6,0,1511 Bridewell Ln,,Port Gibson,MS,United States,39150,31.9607734,-90.9817325,(601) 448-5221,,,,,,,,
,Webster County Baptist Assoc,,publish,1,gd_place,,,"39744,Eupora,MS",",6,",6,0,2313 Veterans Memorial Blvd,,Eupora,MS,United States,39744,33.5482943,-89.2692121,(662) 258-4251,,,,,,,,
