ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Affton Christian Food Pantry,,publish,1,gd_place,,,"63123,Saint Louis,MO",",6,",6,0,4960 Heege Rd,,Saint Louis,MO,United States,63123,38.5578965,-90.3017697,(314) 449-1422,,,,,,,,
,Agape House Of Franklin County,,publish,1,gd_place,,,"63077,Saint Clair,MO",",6,",6,0,1095 N Service Rd W,,Saint Clair,MO,United States,63077,38.3369749,-91.0177248,(636) 629-9899,,,,,,,,
,Arnold Food Pantry,,publish,1,gd_place,,,"63010,Arnold,MO",",6,",6,0,2024 Key West Dr,,Arnold,MO,United States,63010,38.4406926,-90.3856876,(636) 287-3663,,,,,,,,
,Benton County Food Bank,,publish,1,gd_place,,,"65355,Warsaw,MO",",6,",6,0,121 Tower Dr,,Warsaw,MO,United States,65355,38.2539154,-93.3686715,(660) 428-3500,,,,,,,,
,Blue Hills Chr Of The Nazarene,,publish,1,gd_place,,,"64134,Kansas City,MO",",6,",6,0,10306 Blue Ridge Blvd,,Kansas City,MO,United States,64134,38.9372458,-94.5090315,(816) 523-2833,,,,,,,,
,Bread For Life,,publish,1,gd_place,,,"63379,Troy,MO",",6,",6,0,820 Cap Au Gris St,,Troy,MO,United States,63379,38.9783999,-90.9702312,(636) 528-3646,,,,,,,,
,Cam Food Pantry,,publish,1,gd_place,,,"65653,Forsyth,MO",",6,",6,0,10726 State Highway 76 # E,,Forsyth,MO,United States,65653,36.6984816,-93.0521034,(417) 251-0260,,,,,,,,
,Cape First Aog Chr-Marble Hl,,publish,1,gd_place,,,"63764,Marble Hill,MO",",6,",6,0,107 Church St,,Marble Hill,MO,United States,63764,37.2931496,-89.9794857,(573) 238-3337,,,,,,,,
,Center City Christian Outreach,,publish,1,gd_place,,,"65806,Springfield,MO",",6,",6,0,418 S Kimbrough Ave,,Springfield,MO,United States,65806,37.2061537,-93.2865209,(417) 869-2865,,,,,,,,
,Christ The King Catholic Chr,,publish,1,gd_place,,,"64114,Kansas City,MO",",6,",6,0,8510 Wornall Rd,,Kansas City,MO,United States,64114,38.9739103,-94.5955774,(816) 363-4888,,,,,,,,
,Christos Center,,publish,1,gd_place,,,"65270,Moberly,MO",",6,",6,0,111 N 5th St,,Moberly,MO,United States,65270,39.4191546,-92.4417125,(660) 263-0278,,,,,,,,
,Church Of Jesus Christ Of LDS,,publish,1,gd_place,,,"64161,Kansas City,MO",",6,",6,0,4051 N Kimball Dr,,Kansas City,MO,United States,64161,39.166941,-94.4383478,(816) 453-4269,,,,,,,,
,City Seniors Inc,,publish,1,gd_place,,,"63116,Saint Louis,MO",",6,",6,0,4705 Ridgewood Ave,,Saint Louis,MO,United States,63116,38.5844094,-90.2735405,(314) 352-0141,,,,,,,,
,Community Food Pantry,,publish,1,gd_place,,,"65340,Marshall,MO",",6,",6,0,165 W Morgan St,,Marshall,MO,United States,65340,39.1196534,-93.1979546,(660) 831-0971,,,,,,,,
,Community Food Pantry-Grundy,,publish,1,gd_place,,,"64683,Trenton,MO",",6,",6,0,1703 Harris Ave,,Trenton,MO,United States,64683,40.0821703,-93.6096069,(660) 339-7099,,,,,,,,
,Community Outreach,,publish,1,gd_place,,,"64772,Nevada,MO",",6,",6,0,229 N Cedar St,,Nevada,MO,United States,64772,37.8401198,-94.3567839,(417) 667-4339,,,,,,,,
,Community Outreach Ministries,,publish,1,gd_place,,,"65613,Bolivar,MO",",6,",6,0,314 S Market Ave,,Bolivar,MO,United States,65613,37.6126942,-93.4088638,(417) 777-8589,,,,,,,,
,Crosslines,,publish,1,gd_place,,,"65708,Monett,MO",",6,",6,0,510 E Cleveland Ave,,Monett,MO,United States,65708,36.9290117,-93.9234063,(417) 235-6666,,,,,,,,
,Crosslines Of Mcdonald County,,publish,1,gd_place,,,"64831,Anderson,MO",",6,",6,0,921 N Bus 71,,Anderson,MO,United States,64831,36.6514958,-94.4550071,(417) 845-1800,,,,,,,,
,Crosslines Of Mcdonald County,,publish,1,gd_place,,,"64831,Anderson,MO",",6,",6,0,925 N 71 Business Hwy,,Anderson,MO,United States,64831,36.6686511,-94.4425292,(417) 845-1800,,,,,,,,
,Dixon Caring Ctr,,publish,1,gd_place,,,"65459,Dixon,MO",",6,",6,0,206 S Elm St,,Dixon,MO,United States,65459,37.9945895,-92.0967617,(573) 759-3023,,,,,,,,
,Evangelical Church,,publish,1,gd_place,,,"64131,Kansas City,MO",",6,",6,0,1414 E 103rd St,,Kansas City,MO,United States,64131,38.9411247,-94.5727002,(816) 942-1414,,,,,,,,
,First Baptist Chr Food Pantry,,publish,1,gd_place,,,"65775,West Plains,MO",",6,",6,0,Walnut St,,West Plains,MO,United States,65775,36.7241472,-91.8515437,(417) 256-0308,,,,,,,,
