ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Apostles House,,publish,1,gd_place,,,"7104,Newark,NJ",",6,",6,0,24 Grant St,,Newark,NJ,United States,7104,40.7482715,-74.1694769,(973) 482-0625,,,,,,,,
,Beof Community Action PRTNS,,publish,1,gd_place,,,"7002,Bayonne,NJ",",6,",6,0,555 Kennedy Blvd,,Bayonne,NJ,United States,7002,40.665421,-74.1241046,(201) 437-7222,,,,,,,,
,Blessed Teresa Of Calcutta,,publish,1,gd_place,,,"8108,Collingswood,NJ",",6,",6,0,809 Park Ave,,Collingswood,NJ,United States,8108,39.913135,-75.0664305,(856) 858-0298,,,,,,,,
,Bradley Food Pantry,,publish,1,gd_place,,,"7720,Bradley Beach,NJ",",6,",6,0,605 4th Ave,,Bradley Beach,NJ,United States,7720,40.2004191,-74.0168233,(732) 775-0161,,,,,,,,
,Buddhist Compassion Relief Tzu,,publish,1,gd_place,,,"7009,Cedar Grove,NJ",",6,",6,0,150 Commerce Rd,,Cedar Grove,NJ,United States,7009,40.86562,-74.2314108,(973) 857-8666,,,,,,,,
,Buddies Of NJ Inc,,publish,1,gd_place,,,"7601,Hackensack,NJ",",6,",6,0,149 Hudson St # 1,,Hackensack,NJ,United States,7601,40.8741216,-74.0426612,(201) 489-2900,,,,,,,,
,C-U-M-A-C-E-C-H-O,,publish,1,gd_place,,,"7505,Paterson,NJ",",6,",6,0,223 Ellison St,,Paterson,NJ,United States,7505,40.9173108,-74.1678041,(973) 742-5518,,,,,,,,
,Center For Food Action,,publish,1,gd_place,,,"7601,Hackensack,NJ",",6,",6,0,316 1st St,,Hackensack,NJ,United States,7601,40.8908146,-74.0482095,(201) 883-9375,,,,,,,,
,Cherry Hill Food-OUTREACH Cncl,,publish,1,gd_place,,,"8002,Cherry Hill,NJ",",6,",6,0,910 Beechwood Ave,,Cherry Hill,NJ,United States,8002,39.9315271,-75.0475619,(856) 910-9090,,,,,,,,
,Christ Community Church,,publish,1,gd_place,,,"7422,Highland Lakes,NJ",",6,",6,0,72 Breakneck Rd,,Highland Lakes,NJ,United States,7422,41.1809492,-74.4729179,(973) 764-6877,,,,,,,,
