ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Abundant Life Ministries,,publish,1,gd_place,,,"11741,Holbrook,NY",",6,",6,0,440 Furrows Rd,,Holbrook,NY,United States,11741,40.8066005,-73.0689354,(631) 588-7704,,,,,,,,
,All Faiths Food Pantry Inc,,publish,1,gd_place,,,"13208,Syracuse,NY",",6,",6,0,406 Court St,,Syracuse,NY,United States,13208,43.0689618,-76.1573204,,,,,,,,,
,All Saints Pantry,,publish,1,gd_place,,,"14094,Lockport,NY",",6,",6,0,30 Heritage Ct,,Lockport,NY,United States,14094,43.1690515,-78.6929714,(716) 433-0593,,,,,,,,
,Almond Union Of Churches,,publish,1,gd_place,,,"14804,Almond,NY",",6,",6,0,4 Karrdale Ave,,Almond,NY,United States,14804,42.324677,-77.736052,(607) 276-6151,,,,,,,,
,American Friends Of Meir Panim,,publish,1,gd_place,,,"11219,Brooklyn,NY",",6,",6,0,5316 New Utrecht Ave,,Brooklyn,NY,United States,11219,40.6328741,-73.9955139,(718) 437-9100,,,,,,,,
,Ashville United Methodist Chr,,publish,1,gd_place,,,"14710,Ashville,NY",",6,",6,0,2180 N Maple Ave,,Ashville,NY,United States,14710,42.0948182,-79.3746701,(716) 763-9747,,,,,,,,
,Assumption Food Pantry,,publish,1,gd_place,,,"13208,Syracuse,NY",",6,",6,0,808 N Salina St,,Syracuse,NY,United States,13208,43.062312,-76.153871,(315) 473-9101,,,,,,,,
,Athens Community Food Pantry,,publish,1,gd_place,,,"12015,Athens,NY",",6,",6,0,PO Box 66,,Athens,NY,United States,12015,42.468161,-73.591616,,,,,,,,,
,Bay Shore Emergency Food Pntry,,publish,1,gd_place,,,"11706,Bay Shore,NY",",6,",6,0,28 Brentwood Rd,,Bay Shore,NY,United States,11706,40.7284556,-73.2356426,(631) 219-4289,,,,,,,,
,Bethlehem Lutheran Church,,publish,1,gd_place,,,"14733,Falconer,NY",",6,",6,0,20 N Phetteplace St,,Falconer,NY,United States,14733,42.1169376,-79.2013611,(716) 665-2102,,,,,,,,
,Blessed Virgin Mary Help,,publish,1,gd_place,,,"11377,Woodside,NY",",6,",6,0,7031 48th Ave,,Woodside,NY,United States,11377,40.738688,-73.8931652,(718) 672-4849,,,,,,,,
,Branches Long Island,,publish,1,gd_place,,,"11953,Middle Island,NY",",6,",6,0,588 Middle Country Rd,,Middle Island,NY,United States,11953,40.8808945,-72.9521515,(631) 448-7832,,,,,,,,
,Bread-Life Outreach Ctr Chrtbl,,publish,1,gd_place,,,"14033,Colden,NY",",6,",6,0,8745 Supervisor Ave,,Colden,NY,United States,14033,42.6451838,-78.6830249,(716) 941-3550,,,,,,,,
,Breakabeen-N Blenheim,,publish,1,gd_place,,,"12122,Middleburgh,NY",",6,",6,0,129 Clauverwie Rd,,Middleburgh,NY,United States,12122,42.5247505,-74.4088219,(518) 827-4499,,,,,,,,
,Brockport Ecumenical Food Shlf,,publish,1,gd_place,,,"14420,Brockport,NY",",6,",6,0,14 State St,,Brockport,NY,United States,14420,43.2142099,-77.9383707,(585) 637-8169,,,,,,,,
,Brocton Food Pantry,,publish,1,gd_place,,,"14787,Westfield,NY",",6,",6,0,7081 E Route 20,,Westfield,NY,United States,14787,42.352553,-79.5193743,(716) 326-2492,,,,,,,,
,Brunswick Presbyterian Church,,publish,1,gd_place,,,"12180,Troy,NY",",6,",6,0,42 White Church Ln,,Troy,NY,United States,12180,42.7347589,-73.5612992,(518) 279-3792,,,,,,,,
,Cabrini Immigrant Svc,,publish,1,gd_place,,,"10040,New York,NY",",6,",6,0,701 Fort Washington Ave # 1,,New York,NY,United States,10040,40.8584802,-73.9353851,(212) 791-4590,,,,,,,,
,CAMBA Emergency Food-Shelter,,publish,1,gd_place,,,"11226,Brooklyn,NY",",6,",6,0,885 Flatbush Ave,,Brooklyn,NY,United States,11226,40.650225,-73.958274,(718) 287-0010,,,,,,,,
,Camden Area Food Pantry,,publish,1,gd_place,,,"13316,Camden,NY",",6,",6,0,84 Main St,,Camden,NY,United States,13316,43.33526,-75.748345,(315) 245-5788,,,,,,,,
,Camp Friendship Brooklyn,,publish,1,gd_place,,,"11215,Brooklyn,NY",",6,",6,0,339 8th St,,Brooklyn,NY,United States,11215,40.6690425,-73.9837835,(718) 965-3695,,,,,,,,
,Cape Vincent Cmnty Food Pantry,,publish,1,gd_place,,,"13618,Cape Vincent,NY",",6,",6,0,159 S Esselstyne,,Cape Vincent,NY,United States,13618,44.1278299,-76.3330006,(315) 654-2438,,,,,,,,
,Capuchin Franciscans Fathers,,publish,1,gd_place,,,"10001,New York,NY",",6,",6,0,213 W 30th St,,New York,NY,United States,10001,40.7489572,-73.9930981,(212) 564-9070,,,,,,,,
,Cathedral Community,,publish,1,gd_place,,,"14615,Rochester,NY",",6,",6,0,296 Flower City Park,,Rochester,NY,United States,14615,43.1931453,-77.6327857,(585) 254-3221,,,,,,,,
,Cathedral Immaculate Cncptn,,publish,1,gd_place,,,"12202,Albany,NY",",6,",6,0,125 Eagle St,,Albany,NY,United States,12202,42.6469723,-73.7594383,(518) 463-4447,,,,,,,,
,Catholic Charities,,publish,1,gd_place,,,"13905,Binghamton,NY",",6,",6,0,100 Main St # 1,,Binghamton,NY,United States,13905,42.1009581,-75.9256836,(607) 231-2046,,,,,,,,
,Catholic Family Ctr-Cmnty Rsrc,,publish,1,gd_place,,,"14605,Rochester,NY",",6,",6,0,539 Joseph Ave,,Rochester,NY,United States,14605,43.1741544,-77.6077125,(585) 232-2050,,,,,,,,
