ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Anson Crisis Ministry,,publish,1,gd_place,,,"28170,Wadesboro,NC",",6,",6,0,117 N Rutherford St,,Wadesboro,NC,United States,28170,34.9670432,-80.0780822,(704) 694-2445,,,,,,,,
,Ashe County Sharing Ctr,,publish,1,gd_place,,,"28640,Jefferson,NC",",6,",6,0,115 Colvard St,,Jefferson,NC,United States,28640,36.4195767,-81.4778706,(336) 846-7019,,,,,,,,
,Atom A EBC Total,,publish,1,gd_place,,,"27803,Rocky Mount,NC",",6,",6,0,702 W Raleigh Blvd,,Rocky Mount,NC,United States,27803,35.9346991,-77.8095273,(252) 446-2378,,,,,,,,
,Averys Chapel Food Pantry,,publish,1,gd_place,,,"28376,Raeford,NC",",6,",6,0,1110 Loop Rd,,Raeford,NC,United States,28376,35.0387594,-79.3913631,(910) 281-4706,,,,,,,,
,Beach Food Pantry,,publish,1,gd_place,,,"27949,Kitty Hawk,NC",",6,",6,0,4007 N Croatan Hwy,,Kitty Hawk,NC,United States,27949,36.070882,-75.6952364,(252) 261-2756,,,,,,,,
,Beacon Of Hope Svc,,publish,1,gd_place,,,"28753,Marshall,NC",",6,",6,0,120 Cavalry Dr,,Marshall,NC,United States,28753,35.8108188,-82.673364,(828) 649-3470,,,,,,,,
,Betty & Jim Holmes Food Bank,,publish,1,gd_place,,,"27106,Winston Salem,NC",",6,",6,0,3965 Rosebriar Ln,,Winston Salem,NC,United States,27106,36.143989,-80.3310372,,,,,,,,,
,Blessed Table,,publish,1,gd_place,,,"27405,Greensboro,NC",",6,",6,0,3433 Summit Ave,,Greensboro,NC,United States,27405,36.1249821,-79.7629888,(336) 965-7502,,,,,,,,
,Blessed Table Food Pantry,,publish,1,gd_place,,,"27405,Greensboro,NC",",6,",6,0,3210 Summit Ave,,Greensboro,NC,United States,27405,36.1180378,-79.762674,(336) 333-2266,,,,,,,,
,Boones Neck Pantry LLC,,publish,1,gd_place,,,"28462,Supply,NC",",6,",6,0,2355 Kirby Rd SW,,Supply,NC,United States,28462,33.9313471,-78.3105331,(910) 842-8100,,,,,,,,
,Bountiful Blessings Food Pntry,,publish,1,gd_place,,,"28052,Gastonia,NC",",6,",6,0,2311 Crescent Ln,,Gastonia,NC,United States,28052,35.2671372,-81.2235788,,,,,,,,,
,Bread For Life Senior Pantry,,publish,1,gd_place,,,"28405,Wilmington,NC",",6,",6,0,108 N Kerr Ave # K1,,Wilmington,NC,United States,28405,34.2445329,-77.887961,,,,,,,,,
,Bread Of Life Food Pantry,,publish,1,gd_place,,,"27284,Kernersville,NC",",6,",6,0,317 Jefferson St,,Kernersville,NC,United States,27284,36.120376,-80.0659995,,,,,,,,,
,Calvary Churchyard,,publish,1,gd_place,,,"28732,Fletcher,NC",",6,",6,0,2840 Hendersonville Rd,,Fletcher,NC,United States,28732,35.4430526,-82.5039957,(828) 684-6266,,,,,,,,
,Care To Share,,publish,1,gd_place,,,"28215,Charlotte,NC",",6,",6,0,5232 The Plaza,,Charlotte,NC,United States,28215,35.2485549,-80.7646982,(980) 430-5913,,,,,,,,
,Carthage Food Pantry,,publish,1,gd_place,,,"28327,Carthage,NC",",6,",6,0,108 Bruce St,,Carthage,NC,United States,28327,35.3395419,-79.4070417,,,,,,,,,
,Caswell Parish Inc,,publish,1,gd_place,,,"27379,Yanceyville,NC",",6,",6,0,1038 Main St,,Yanceyville,NC,United States,27379,36.4128069,-79.3478098,(336) 694-6428,,,,,,,,
,Catholic Charities,,publish,1,gd_place,,,"28425,Burgaw,NC",",6,",6,0,1303 US Highway 117 S,,Burgaw,NC,United States,28425,34.5422137,-77.9101029,(910) 259-5153,,,,,,,,
,Catholic Charities,,publish,1,gd_place,,,"28301,Fayetteville,NC",",6,",6,0,726 Ramsey St # 10,,Fayetteville,NC,United States,28301,35.0649046,-78.8771343,(910) 424-2020,,,,,,,,
,Catholic Charities-The Diocese,,publish,1,gd_place,,,"27613,Raleigh,NC",",6,",6,0,7200 Stonehenge Dr,,Raleigh,NC,United States,27613,35.8871675,-78.6802039,(984) 900-3426,,,,,,,,
,Christ Rescue Temple Apostolic,,publish,1,gd_place,,,"27105,Winston Salem,NC",",6,",6,0,1500 N Dunleith Ave,,Winston Salem,NC,United States,27105,36.1134,-80.2272978,(336) 722-9841,,,,,,,,
,Christian Community Caring Ctr,,publish,1,gd_place,,,"28443,Hampstead,NC",",6,",6,0,15200 US Highway 17,,Hampstead,NC,United States,28443,34.3719614,-77.7039591,(910) 270-0930,,,,,,,,
,Christian Ministry-Lincoln,,publish,1,gd_place,,,"28092,Lincolnton,NC",",6,",6,0,207 S Poplar St,,Lincolnton,NC,United States,28092,35.471377,-81.2529763,(704) 732-0383,,,,,,,,
,Church Of Jesus Christ Of LDS,,publish,1,gd_place,,,"27409,Greensboro,NC",",6,",6,0,129 Landmark Dr,,Greensboro,NC,United States,27409,36.0931793,-79.9768142,(336) 668-2994,,,,,,,,
,Clay County Food Pantry,,publish,1,gd_place,,,"28904,Hayesville,NC",",6,",6,0,2278 Hinton Center Rd,,Hayesville,NC,United States,28904,35.030797,-83.772451,(828) 389-1657,,,,,,,,
,Cliffdale Christian Ctr,,publish,1,gd_place,,,"28314,Fayetteville,NC",",6,",6,0,6427 Cliffdale Rd,,Fayetteville,NC,United States,28314,35.0566931,-78.9935197,(910) 864-4911,,,,,,,,
,College-Univ Food Bank Allnc,,publish,1,gd_place,,,"27610,Raleigh,NC",",6,",6,0,1709 Riverknoll Dr # 103,,Raleigh,NC,United States,27610,35.75652,-78.5482286,,,,,,,,,
,Cooperative Community Ministry,,publish,1,gd_place,,,"27360,Thomasville,NC",",6,",6,0,10 W Guilford St,,Thomasville,NC,United States,27360,35.8847228,-80.0838296,(336) 476-1842,,,,,,,,
,Crisis Control Ministry Inc,,publish,1,gd_place,,,"27284,Kernersville,NC",",6,",6,0,431 W Bodenhamer St,,Kernersville,NC,United States,27284,36.1292307,-80.0792033,(336) 996-5401,,,,,,,,
,David Bibey Ministries Inc,,publish,1,gd_place,,,"28327,Carthage,NC",",6,",6,0,780 Bibey Rd,,Carthage,NC,United States,28327,35.2793725,-79.3613839,(910) 949-3971,,,,,,,,
,Dunn United Ministerial Assn,,publish,1,gd_place,,,"28334,Dunn,NC",",6,",6,0,319 E Broad St,,Dunn,NC,United States,28334,35.3070135,-78.6073811,(910) 891-1633,,,,,,,,
,Fairview Presbyterian Church,,publish,1,gd_place,,,"28645,Lenoir,NC",",6,",6,0,2058 Harper Ave NW,,Lenoir,NC,United States,28645,35.9006008,-81.564765,(828) 572-4441,,,,,,,,
,Faymont Baptist Church,,publish,1,gd_place,,,"28306,Fayetteville,NC",",6,",6,0,3663 Cumberland Rd,,Fayetteville,NC,United States,28306,35.0131833,-78.9368981,(910) 425-7108,,,,,,,,
,First Born Cmnty Devmnt Ctr,,publish,1,gd_place,,,"27837,Grimesland,NC",",6,",6,0,912 Black Jack Grimesland Rd,,Grimesland,NC,United States,27837,35.5537437,-77.2046316,(252) 758-6147,,,,,,,,
,Food 4 Thought,,publish,1,gd_place,,,"27609,Raleigh,NC",",6,",6,0,1729 Quail Ridge Rd,,Raleigh,NC,United States,27609,35.8560318,-78.6092005,,,,,,,,,
,Food Bank Of Albermarle,,publish,1,gd_place,,,"27909,Elizabeth City,NC",",6,",6,0,109 Tidewater Way,,Elizabeth City,NC,United States,27909,36.2686425,-76.2087107,(252) 335-4035,,,,,,,,
,Food Bank OF North Carolina,,publish,1,gd_place,,,"27834,Greenville,NC",",6,",6,0,497 W 9th St,,Greenville,NC,United States,27834,35.6077636,-77.3781669,(252) 752-4996,,,,,,,,
,Food Bank Of The Albermarle,,publish,1,gd_place,,,"27909,Elizabeth City,NC",",6,",6,0,524 S Road St,,Elizabeth City,NC,United States,27909,36.295038,-76.2229711,(252) 338-0353,,,,,,,,
,Food Bank-CENTRAL-Eastern Nc,,publish,1,gd_place,,,"27703,Durham,NC",",6,",6,0,2700 Angier Ave,,Durham,NC,United States,27703,35.9774816,-78.871615,(919) 956-2513,,,,,,,,
,Food Bank-CENTRAL-Eastern Nc,,publish,1,gd_place,,,"27834,Greenville,NC",",6,",6,0,1712 Union St,,Greenville,NC,United States,27834,35.5708249,-77.4410187,(252) 752-4996,,,,,,,,
,Food Bank-CENTRAL-Eastern Nc,,publish,1,gd_place,,,"27604,Raleigh,NC",",6,",6,0,1924 Capital Blvd,,Raleigh,NC,United States,27604,35.8043788,-78.6152381,(919) 875-0707,,,,,,,,
,Food Bank-CENTRAL-Eastern Nc,,publish,1,gd_place,,,"28387,Southern Pines,NC",",6,",6,0,195 Sandy Ave,,Southern Pines,NC,United States,28387,35.1583285,-79.4152636,(910) 692-5959,,,,,,,,
,Food Bank-CENTRAL-Eastern Nc,,publish,1,gd_place,,,"28401,Wilmington,NC",",6,",6,0,1314 Marstellar St,,Wilmington,NC,United States,28401,34.220755,-77.9301357,(910) 251-1465,,,,,,,,
,Food Connection Inc,,publish,1,gd_place,,,"28804,Asheville,NC",",6,",6,0,175 Skyview Cir,,Asheville,NC,United States,28804,35.6376516,-82.5350027,,,,,,,,,
,Food For Fairview,,publish,1,gd_place,,,"28730,Fairview,NC",",6,",6,0,1357 Charlotte Hwy,,Fairview,NC,United States,28730,35.5234622,-82.4101358,(828) 628-4322,,,,,,,,
,Four Oaks Food Pantry,,publish,1,gd_place,,,"27524,Four Oaks,NC",",6,",6,0,1677 Keen Rd,,Four Oaks,NC,United States,27524,35.4313028,-78.4039297,,,,,,,,,
,Friendship Trays,,publish,1,gd_place,,,"28217,Charlotte,NC",",6,",6,0,648 Griffith Rd # B,,Charlotte,NC,United States,28217,35.15818,-80.88262,(704) 523-4333,,,,,,,,
,Fuquay-Varine Food Pantry,,publish,1,gd_place,,,"27526,Fuquay Varina,NC",",6,",6,0,216 W Academy St,,Fuquay Varina,NC,United States,27526,35.5844962,-78.8013509,(919) 552-7720,,,,,,,,
,Garner Area Ministries,,publish,1,gd_place,,,"27529,Garner,NC",",6,",6,0,558 Village Ct,,Garner,NC,United States,27529,35.7082377,-78.6193479,(919) 772-9100,,,,,,,,
,Gates Emergency Ministries,,publish,1,gd_place,,,"27937,Gates,NC",",6,",6,0,252 NC Highway 37 N,,Gates,NC,United States,27937,36.4564531,-76.7612838,(252) 357-6599,,,,,,,,
,Good Food Sandhills Inc,,publish,1,gd_place,,,"28374,Pinehurst,NC",",6,",6,0,3395 Airport Rd,,Pinehurst,NC,United States,28374,35.2210696,-79.4078772,,,,,,,,,
,Good Shepherd Ctr,,publish,1,gd_place,,,"28401,Wilmington,NC",",6,",6,0,811 Martin St,,Wilmington,NC,United States,28401,34.2188648,-77.9365177,(910) 763-4424,,,,,,,,
,Harvest Center,,publish,1,gd_place,,,"28208,Charlotte,NC",",6,",6,0,5415 Airport Dr,,Charlotte,NC,United States,28208,35.2088596,-80.9284661,(704) 335-1616,,,,,,,,
,Havelock Cherry Point Mnstrl,,publish,1,gd_place,,,"28532,Havelock,NC",",6,",6,0,925 E Main St # 20,,Havelock,NC,United States,28532,34.8652988,-76.8969679,(252) 447-5190,,,,,,,,
,Heavenly Hands Food Pantry,,publish,1,gd_place,,,"27278,Hillsborough,NC",",6,",6,0,234 Orange Grove St,,Hillsborough,NC,United States,27278,36.0652443,-79.0990699,,,,,,,,,
,Hickory Grove Baptist Pantry,,publish,1,gd_place,,,"28227,Charlotte,NC",",6,",6,0,7424 E W T Harris Blvd,,Charlotte,NC,United States,28227,35.2186403,-80.7231308,(704) 531-4060,,,,,,,,
,His Outreach Worldwide,,publish,1,gd_place,,,"28303,Fayetteville,NC",",6,",6,0,2770 Breezewood Ave,,Fayetteville,NC,United States,28303,35.0448082,-78.9222644,(910) 745-0894,,,,,,,,
,Holly Springs Food Cupboard,,publish,1,gd_place,,,"27540,Holly Springs,NC",",6,",6,0,621 Holly Springs Rd,,Holly Springs,NC,United States,27540,35.6548097,-78.8253846,(919) 577-2210,,,,,,,,
,ICT Food Bank,,publish,1,gd_place,,,"27409,Greensboro,NC",",6,",6,0,4930 Mary St,,Greensboro,NC,United States,27409,36.0620897,-79.8826641,,,,,,,,,
,Ingrid's Food Pantry Inc,,publish,1,gd_place,,,"28715,Candler,NC",",6,",6,0,6 Blue Bell Dr,,Candler,NC,United States,28715,35.5698564,-82.7167114,,,,,,,,,
,Inter-Faith Council-Social Svc,,publish,1,gd_place,,,"27510,Carrboro,NC",",6,",6,0,110 W Main St # 1a,,Carrboro,NC,United States,27510,35.9104977,-79.0736413,(919) 929-6380,,,,,,,,
,Inter-Faith Food Shuttle,,publish,1,gd_place,,,"27603,Raleigh,NC",",6,",6,0,1001 Blair Dr # 120,,Raleigh,NC,United States,27603,35.7692416,-78.6660189,(919) 250-0043,,,,,,,,
,Iredell Christian Ministries,,publish,1,gd_place,,,"28677,Statesville,NC",",6,",6,0,752 Old Salisbury Rd,,Statesville,NC,United States,28677,35.7761529,-80.8731052,(704) 924-6700,,,,,,,,
,Jamesville Community Food,,publish,1,gd_place,,,"27846,Jamesville,NC",",6,",6,0,2050 Main St,,Jamesville,NC,United States,27846,35.810845,-76.8973417,(252) 792-0300,,,,,,,,
,Liberty Church,,publish,1,gd_place,,,"28411,Wilmington,NC",",6,",6,0,7957 Market St,,Wilmington,NC,United States,28411,34.2906685,-77.8019922,(910) 686-0176,,,,,,,,
,Liberty Missionary,,publish,1,gd_place,,,"28771,Robbinsville,NC",",6,",6,0,213 Five Point Rd # 2,,Robbinsville,NC,United States,28771,35.3218914,-83.7992679,(828) 479-6777,,,,,,,,
,Lifeline Outreach Obx,,publish,1,gd_place,,,"27972,Salvo,NC",",6,",6,0,25661 Highway 12,,Salvo,NC,United States,27972,35.5662704,-75.4681114,(252) 489-0306,,,,,,,,
,Loaves & Fishes Inc,,publish,1,gd_place,,,"28217,Charlotte,NC",",6,",6,0,648 Griffith Rd # B,,Charlotte,NC,United States,28217,35.15818,-80.88262,(704) 523-4333,,,,,,,,
,Loaves & Fishes Inc,,publish,1,gd_place,,,"28217,Charlotte,NC",",6,",6,0,648 Griffith Rd # B,,Charlotte,NC,United States,28217,35.15818,-80.88262,(704) 523-4333,,,,,,,,
