ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Agape House,,publish,1,gd_place,,,"97838,Hermiston,OR",",6,",6,0,500 W Harper Rd,,Hermiston,OR,United States,97838,45.8535724,-119.2980012,(541) 567-8774,,,,,,,,
,Allen Temple Food Pantry,,publish,1,gd_place,,,"97211,Portland,OR",",6,",6,0,4214 NE 8th Ave,,Portland,OR,United States,97211,45.5541239,-122.6573566,(503) 284-1010,,,,,,,,
,Alsea Food Bank,,publish,1,gd_place,,,"97324,Alsea,OR",",6,",6,0,18595 Alsea Hwy,,Alsea,OR,United States,97324,44.3835741,-123.6158807,(541) 487-3663,,,,,,,,
,Ashland Emergency Food Bank,,publish,1,gd_place,,,"97520,Ashland,OR",",6,",6,0,560 Clover Ln,,Ashland,OR,United States,97520,42.1835705,-122.662976,(541) 488-9544,,,,,,,,
,Aware Food Bank,,publish,1,gd_place,,,"97301,Salem,OR",",6,",6,0,1660 Salem Industrial Dr NE,,Salem,OR,United States,97301,44.9724573,-123.0098607,,,,,,,,,
,Aware Food Bank,,publish,1,gd_place,,,"97071,Woodburn,OR",",6,",6,0,152 Arthur St,,Woodburn,OR,United States,97071,45.1419749,-122.8583074,(503) 981-5828,,,,,,,,
,Bishop Store House,,publish,1,gd_place,,,"97756,Redmond,OR",",6,",6,0,1950 SW Badger Ave # 109,,Redmond,OR,United States,97756,44.238202,-121.1897942,(541) 548-6868,,,,,,,,
,Bishops Store House,,publish,1,gd_place,,,"97503,White City,OR",",6,",6,0,7575 Pacific Ave,,White City,OR,United States,97503,42.4281004,-122.8840683,(541) 826-4220,,,,,,,,
,Brookings Harbor Food Bank,,publish,1,gd_place,,,"97415,Brookings,OR",",6,",6,0,539 Hemlock St,,Brookings,OR,United States,97415,42.0514644,-124.2794469,(541) 469-6988,,,,,,,,
,Caveman Pantry LLC,,publish,1,gd_place,,,"97222,Portland,OR",",6,",6,0,5203 SE Johnson Creek Blvd,,Portland,OR,United States,97222,45.4613821,-122.6091302,(503) 764-9145,,,,,,,,
,Coastal Range Food Bank Inc,,publish,1,gd_place,,,"97326,Blodgett,OR",",6,",6,0,11663 Nashville Rd,,Blodgett,OR,United States,97326,44.6536587,-123.6088346,(541) 456-2141,,,,,,,,
,Columbia Pacific Food Bank,,publish,1,gd_place,,,"97051,Saint Helens,OR",",6,",6,0,474 Milton Way # B,,Saint Helens,OR,United States,97051,45.8555647,-122.8232103,(503) 397-9708,,,,,,,,
,Community Connection-Wallowa,,publish,1,gd_place,,,"97885,Wallowa,OR",",6,",6,0,204 E 2nd St,,Wallowa,OR,United States,97885,45.5707993,-117.5276148,(541) 886-8971,,,,,,,,
,Community Outreach Inc,,publish,1,gd_place,,,"97330,Corvallis,OR",",6,",6,0,865 NW Reiman St,,Corvallis,OR,United States,97330,44.5727477,-123.2606598,(541) 758-3000,,,,,,,,
,Confederated Tribes Of Siletz,,publish,1,gd_place,,,"97305,Salem,OR",",6,",6,0,3160 Blossom Dr NE # 105,,Salem,OR,United States,97305,44.9930514,-122.992868,(503) 391-5760,,,,,,,,
,Crossroads Food Bank,,publish,1,gd_place,,,"97220,Portland,OR",",6,",6,0,2407 NE 102nd Ave,,Portland,OR,United States,97220,45.5395314,-122.5591431,(503) 257-9345,,,,,,,,
,Dallas Food Bank,,publish,1,gd_place,,,"97338,Dallas,OR",",6,",6,0,322 Main St # 180,,Dallas,OR,United States,97338,44.9271681,-123.3136196,(503) 623-3578,,,,,,,,
,Dashen International Groceries,,publish,1,gd_place,,,"97232,Portland,OR",",6,",6,0,3022 NE Glisan St,,Portland,OR,United States,97232,45.5262852,-122.633882,(503) 234-7785,,,,,,,,
,District 1 Office,,publish,1,gd_place,,,"97103,Astoria,OR",",6,",6,0,450 Marine Dr,,Astoria,OR,United States,97103,46.191026,-123.8381305,(503) 325-7335,,,,,,,,
,Ecumenical Ministries Of OR,,publish,1,gd_place,,,"97239,Portland,OR",",6,",6,0,245 S Bancroft St # B,,Portland,OR,United States,97239,45.492627,-122.6750611,(503) 221-1054,,,,,,,,
,Fish Food Bank-Hood River,,publish,1,gd_place,,,"97031,Hood River,OR",",6,",6,0,1130 Tucker Rd,,Hood River,OR,United States,97031,45.686297,-121.5251488,(541) 386-3474,,,,,,,,
,Food Bank,,publish,1,gd_place,,,"97381,Silverton,OR",",6,",6,0,421 S Water St,,Silverton,OR,United States,97381,45.0029789,-122.7807674,(503) 873-3446,,,,,,,,
,Food Roots NW,,publish,1,gd_place,,,"97141,Tillamook,OR",",6,",6,0,1906 3rd St,,Tillamook,OR,United States,97141,45.4565448,-123.8444951,(503) 815-2800,,,,,,,,
,Food Share Josephine County,,publish,1,gd_place,,,"97526,Grants Pass,OR",",6,",6,0,317 NW B St,,Grants Pass,OR,United States,97526,42.4437096,-123.3282071,(541) 474-5440,,,,,,,,
,Food Share Of Lincoln County,,publish,1,gd_place,,,"97365,Newport,OR",",6,",6,0,535 NE 1st St,,Newport,OR,United States,97365,44.6372628,-124.0458924,(541) 265-8578,,,,,,,,
,Friends-Josephine County Food,,publish,1,gd_place,,,"97526,Grants Pass,OR",",6,",6,0,3658 Upper River Rd,,Grants Pass,OR,United States,97526,42.4470364,-123.3844927,(541) 479-5556,,,,,,,,
,Gleaners Resource Ctr,,publish,1,gd_place,,,"97045,Oregon City,OR",",6,",6,0,13833 Fir St,,Oregon City,OR,United States,97045,45.3290567,-122.5829991,(503) 518-0943,,,,,,,,
,Grande Ronde Cmnty Resource,,publish,1,gd_place,,,"97347,Grand Ronde,OR",",6,",6,0,9600 Hebo Rd,,Grand Ronde,OR,United States,97347,45.074507,-123.5758663,(503) 879-5731,,,,,,,,
,Grant County Food Bank,,publish,1,gd_place,,,"97845,John Day,OR",",6,",6,0,530 E Main St # 9,,John Day,OR,United States,97845,44.41566,-118.9431667,,,,,,,,,
