ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Well At Petersburg,,publish,1,gd_place,,,"79250,Petersburg,TX",",6,",6,0,1706 Ave G,,Petersburg,TX,United States,79250,33.8707548,-101.5950262,(806) 667-0742,,,,,,,,
,Wesley Community Ctr,,publish,1,gd_place,,,"78380,Robstown,TX",",6,",6,0,414 N Matiana Ortiz Blvd,,Robstown,TX,United States,78380,27.7943473,-97.6719792,(361) 387-1451,,,,,,,,
,Wesley Mission Ctr,,publish,1,gd_place,,,"76063,Mansfield,TX",",6,",6,0,901 W Broad St,,Mansfield,TX,United States,76063,32.5586481,-97.1574363,(817) 473-6650,,,,,,,,
,West Aid,,publish,1,gd_place,,,"76116,Fort Worth,TX",",6,",6,0,7940 Camp Bowie West Blvd,,Fort Worth,TX,United States,76116,32.7241528,-97.4522415,(817) 737-9338,,,,,,,,
,West Houston Assistance Mnstrs,,publish,1,gd_place,,,"77042,Houston,TX",",6,",6,0,10501 Meadowglen Ln,,Houston,TX,United States,77042,29.7308525,-95.5604632,(713) 780-2727,,,,,,,,
,West Texas Food Bank,,publish,1,gd_place,,,"79830,Alpine,TX",",6,",6,0,2101 Fm 1703,,Alpine,TX,United States,79830,30.3556161,-103.6882104,(432) 837-1770,,,,,,,,
,West Texas Food Bank,,publish,1,gd_place,,,"79703,Midland,TX",",6,",6,0,1601 Westcliff Dr,,Midland,TX,United States,79703,31.9977681,-102.1467923,(432) 697-4000,,,,,,,,
,West Texas Food Bank,,publish,1,gd_place,,,"79761,Odessa,TX",",6,",6,0,411 S Pagewood Ave,,Odessa,TX,United States,79761,31.8610907,-102.3230343,(432) 580-6333,,,,,,,,
,Wichita Falls Area Food Bank,,publish,1,gd_place,,,"76302,Wichita Falls,TX",",6,",6,0,1230 Midwestern Pkwy,,Wichita Falls,TX,United States,76302,33.8773861,-98.4872628,(940) 766-2322,,,,,,,,
,Winning Souls 4 Christ Mnstrs,,publish,1,gd_place,,,"76036,Crowley,TX",",6,",6,0,PO Box 1263,,Crowley,TX,United States,76036,32.5790251,-97.3625172,(682) 774-3486,,,,,,,,
,Wylie Community Christian Care,,publish,1,gd_place,,,"75098,Wylie,TX",",6,",6,0,1310 W Brown St,,Wylie,TX,United States,75098,33.0181591,-96.5579002,(972) 442-4341,,,,,,,,
,Your Neighbors House,,publish,1,gd_place,,,"76273,Whitesboro,TX",",6,",6,0,201 S Union St,,Whitesboro,TX,United States,76273,33.6543148,-96.9074767,(903) 564-4400,,,,,,,,
,Zion Chapel Baptist Church,,publish,1,gd_place,,,"76574,Taylor,TX",",6,",6,0,512 E M L King Jr Blvd,,Taylor,TX,United States,76574,30.5647883,-97.4044493,(512) 365-5618,,,,,,,,
