ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,5 Loaves Food Pantry,,publish,1,gd_place,,,"38554,Crawford,TN",",6,",6,0,602 Vine Ridge Rd,,Crawford,TN,United States,38554,36.2562851,-85.1210709,(931) 445-7117,,,,,,,,
,Ark Community Resource Ctr,,publish,1,gd_place,,,"37143,Pegram,TN",",6,",6,0,710 Highway 70,,Pegram,TN,United States,37143,36.1081432,-87.0686117,(615) 457-1931,,,,,,,,
,Arm Inc,,publish,1,gd_place,,,"37643,Elizabethton,TN",",6,",6,0,714 W C St,,Elizabethton,TN,United States,37643,36.3475008,-82.2371485,(423) 542-0919,,,,,,,,
,Assistance-Resource Ministries,,publish,1,gd_place,,,"37643,Elizabethton,TN",",6,",6,0,714 W C St,,Elizabethton,TN,United States,37643,36.3475008,-82.2371485,(423) 542-0919,,,,,,,,
,Berea Free Will Baptist,,publish,1,gd_place,,,"37604,Johnson City,TN",",6,",6,0,2309 Sinking Creek Rd,,Johnson City,TN,United States,37604,36.2841609,-82.3641104,(423) 928-3663,,,,,,,,
,Branch Of Nashville Inc,,publish,1,gd_place,,,"37013,Antioch,TN",",6,",6,0,2620 Una Antioch Pike,,Antioch,TN,United States,37013,36.0590831,-86.6693478,(615) 752-5933,,,,,,,,
,Brownsville Baptist Church,,publish,1,gd_place,,,"38012,Brownsville,TN",",6,",6,0,5 N Wilson Ave,,Brownsville,TN,United States,38012,35.5942373,-89.2643162,(731) 772-9753,,,,,,,,
,Chattanooga Area Food Bank,,publish,1,gd_place,,,"37406,Chattanooga,TN",",6,",6,0,2009 Curtain Pole Rd,,Chattanooga,TN,United States,37406,35.0624595,-85.2753104,(423) 622-3663,,,,,,,,
,Christian Cooperative Mnstrs,,publish,1,gd_place,,,"37115,Madison,TN",",6,",6,0,201 Madison St,,Madison,TN,United States,37115,36.2584432,-86.7150452,(615) 868-6865,,,,,,,,
,Churchhill Food Pantry,,publish,1,gd_place,,,"37642,Church Hill,TN",",6,",6,0,PO Box 2139,,Church Hill,TN,United States,37642,36.5223207,-82.7134921,(423) 357-7228,,,,,,,,
,Clarksville Montgomery County,,publish,1,gd_place,,,"37042,Clarksville,TN",",6,",6,0,150 Lafayette Rd,,Clarksville,TN,United States,37042,36.5564911,-87.3985674,(931) 896-1800,,,,,,,,
,Crisis 211 Ctr,,publish,1,gd_place,,,"37040,Clarksville,TN",",6,",6,0,1300 Madison St,,Clarksville,TN,United States,37040,36.5220399,-87.339381,(931) 648-1000,,,,,,,,
,Crockett Care Food Bank,,publish,1,gd_place,,,"38001,Alamo,TN",",6,",6,0,142 Conley Rd,,Alamo,TN,United States,38001,35.775194,-89.1208429,(731) 696-4067,,,,,,,,
,Dandridge Ministerial Assn,,publish,1,gd_place,,,"37725,Dandridge,TN",",6,",6,0,977 Industrial Park Rd,,Dandridge,TN,United States,37725,36.0299644,-83.4238718,(865) 322-5552,,,,,,,,
,Dos Rancheros,,publish,1,gd_place,,,"37128,Murfreesboro,TN",",6,",6,0,2458 Old Fort Pkwy,,Murfreesboro,TN,United States,37128,35.8469741,-86.4429466,(615) 494-0477,,,,,,,,
