ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,5 Loaves Food Pantry,,publish,1,gd_place,,,"75048,Sachse,TX",",6,",6,0,4401 Williford Rd,,Sachse,TX,United States,75048,32.9819983,-96.5818658,,,,,,,,,
,6 Stones,,publish,1,gd_place,,,"76021,Bedford,TX",",6,",6,0,209 N Industrial Blvd # 241,,Bedford,TX,United States,76021,32.839849,-97.101528,(817) 868-7400,,,,,,,,
,Agape Food Pantry Of Taylor,,publish,1,gd_place,,,"76574,Taylor,TX",",6,",6,0,120 2nd Ave,,Taylor,TX,United States,76574,30.5662368,-97.3939319,,,,,,,,,
,Agape House Ministry,,publish,1,gd_place,,,"75755,Big Sandy,TX",",6,",6,0,112 W Broadway St,,Big Sandy,TX,United States,75755,32.5839104,-95.1105976,(903) 636-4471,,,,,,,,
,Aids Coalition Of Coastal TX,,publish,1,gd_place,,,"77550,Galveston,TX",",6,",6,0,707 23rd St,,Galveston,TX,United States,77550,29.3023987,-94.7930575,(409) 763-2437,,,,,,,,
,Alvin Community Food Pantry,,publish,1,gd_place,,,"77511,Alvin,TX",",6,",6,0,1212 S Durant St,,Alvin,TX,United States,77511,29.4129215,-95.2537026,(281) 824-8871,,,,,,,,
,Amazing Grace Food Pantry,,publish,1,gd_place,,,"75098,Wylie,TX",",6,",6,0,1711 Parker Rd,,Wylie,TX,United States,75098,33.0404883,-96.5511514,(972) 292-7241,,,,,,,,
,Anderson Baptist Church,,publish,1,gd_place,,,"77830,Anderson,TX",",6,",6,0,366 Fanthorp St,,Anderson,TX,United States,77830,30.4854507,-95.9847242,(936) 873-5005,,,,,,,,
,Anderson Food Pantry,,publish,1,gd_place,,,"77020,Houston,TX",",6,",6,0,1508 Gregg St,,Houston,TX,United States,77020,29.7746335,-95.3355849,(713) 222-0373,,,,,,,,
,Andrews Food Pantry,,publish,1,gd_place,,,"79714,Andrews,TX",",6,",6,0,711 NE 5th St,,Andrews,TX,United States,79714,32.3273643,-102.5426862,(432) 524-7051,,,,,,,,
