ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Adventure Church,,publish,1,gd_place,,,"84020,Draper,UT",",6,",6,0,352 W 12300 S # 100,,Draper,UT,United States,84020,40.526364,-111.8879248,(801) 816-9135,,,,,,,,
,Ashley Valley Food Pantry,,publish,1,gd_place,,,"84078,Vernal,UT",",6,",6,0,426 E 200 S,,Vernal,UT,United States,84078,40.4526408,-109.5204788,(435) 789-1014,,,,,,,,
,Bishop's Storehouse,,publish,1,gd_place,,,"84634,Gunnison,UT",",6,",6,0,637 S Main St,,Gunnison,UT,United States,84634,39.1401448,-111.8185946,(435) 528-3793,,,,,,,,
,Bishops Storehouse,,publish,1,gd_place,,,"84721,Cedar City,UT",",6,",6,0,219 E 275 N,,Cedar City,UT,United States,84721,37.6827535,-113.0580684,(435) 586-8682,,,,,,,,
,Bountiful Community Food Pntry,,publish,1,gd_place,,,"84010,Bountiful,UT",",6,",6,0,480 E 150 N,,Bountiful,UT,United States,84010,40.8906659,-111.8698149,(801) 299-8464,,,,,,,,
,Box Elder Community Pantry,,publish,1,gd_place,,,"84302,Brigham City,UT",",6,",6,0,272 N 200 W,,Brigham City,UT,United States,84302,41.5166946,-112.0182478,(435) 723-1449,,,,,,,,
,Cache Community Food Bank,,publish,1,gd_place,,,"84321,Logan,UT",",6,",6,0,359 S Main St,,Logan,UT,United States,84321,41.7246693,-111.8356702,(435) 753-7140,,,,,,,,
,Carbon County Food Bank,,publish,1,gd_place,,,"84501,Price,UT",",6,",6,0,75 E 400 S,,Price,UT,United States,84501,39.5939795,-110.8096107,(435) 637-9232,,,,,,,,
,Care & Share,,publish,1,gd_place,,,"84721,Cedar City,UT",",6,",6,0,222 W 900 N,,Cedar City,UT,United States,84721,37.6930213,-113.0653745,(435) 586-4962,,,,,,,,
,Church Of Jesus Christ Of LDS,,publish,1,gd_place,,,"84101,Salt Lake City,UT",",6,",6,0,57 W 700 S,,Salt Lake City,UT,United States,84101,40.7540398,-111.8927365,(801) 240-7320,,,,,,,,
,Community Action Svc-Food Bank,,publish,1,gd_place,,,"84601,Provo,UT",",6,",6,0,815 S Freedom Blvd # 100,,Provo,UT,United States,84601,40.2233508,-111.6616941,,,,,,,,,
,Community Food Bank Inc,,publish,1,gd_place,,,"85713,Tucson,UT",",6,",6,0,3003 S Country Club Rd # 221,,Tucson,UT,United States,85713,32.1884726,-110.9247711,(520) 622-0525,,,,,,,,
,Crossroads Urban Ctr,,publish,1,gd_place,,,"84104,Salt Lake City,UT",",6,",6,0,1358 W Indiana Ave,,Salt Lake City,UT,United States,84104,40.7515344,-111.9298657,(801) 935-4079,,,,,,,,
,Duchesne County Food Pantry,,publish,1,gd_place,,,"84066,Roosevelt,UT",",6,",6,0,330 E 100 S,,Roosevelt,UT,United States,84066,40.2977299,-109.9863914,(435) 722-5232,,,,,,,,
,Elevation Reps LLC,,publish,1,gd_place,,,"84111,Salt Lake City,UT",",6,",6,0,449 E 900 S,,Salt Lake City,UT,United States,84111,40.7500707,-111.8779448,(303) 750-3727,,,,,,,,
,Flaming Gorge Food Pantry,,publish,1,gd_place,,,"84046,Manila,UT",",6,",6,0,75 N 1st E,,Manila,UT,United States,84046,40.9896314,-109.7256486,(435) 784-3993,,,,,,,,
,Friends-The Green River,,publish,1,gd_place,,,"84525,Green River,UT",",6,",6,0,125 S Long St,,Green River,UT,United States,84525,38.9939664,-110.1617811,(435) 564-8221,,,,,,,,
,Grand County Food Bank,,publish,1,gd_place,,,"84532,Moab,UT",",6,",6,0,56 N 200 E,,Moab,UT,United States,84532,38.5742196,-109.5465688,(435) 259-6456,,,,,,,,
,Heber Valley Ctr Stage,,publish,1,gd_place,,,"84032,Heber City,UT",",6,",6,0,55 E Center St # 180,,Heber City,UT,United States,84032,40.5088017,-111.4121662,(435) 657-9493,,,,,,,,
