ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,American Youth Foundation One,,publish,1,gd_place,,,"24112,Martinsville,VA",",6,",6,0,3234 Franklin St,,Martinsville,VA,United States,24112,36.6965688,-79.8728011,(276) 790-3814,,,,,,,,
,Bainbridge Community Ministry,,publish,1,gd_place,,,"23235,North Chesterfield,VA",",6,",6,0,7206 Hull Street Rd # 103,,North Chesterfield,VA,United States,23235,37.5003021,-77.5969889,(804) 232-3091,,,,,,,,
,Bible Baptist Church,,publish,1,gd_place,,,"24333,Galax,VA",",6,",6,0,1120 Greenville Rd,,Galax,VA,United States,24333,36.6551598,-80.9594358,(276) 236-1902,,,,,,,,
,Bland Ministry Ctr,,publish,1,gd_place,,,"24315,Bland,VA",",6,",6,0,65 Seddon St,,Bland,VA,United States,24315,37.1016092,-81.1232921,(276) 688-4701,,,,,,,,
,Blue Ridge Area Food,,publish,1,gd_place,,,"22903,Charlottesville,VA",",6,",6,0,1207 Harris St,,Charlottesville,VA,United States,22903,38.0397381,-78.480907,(434) 296-3663,,,,,,,,
,Blue Ridge Area Food,,publish,1,gd_place,,,"22601,Winchester,VA",",6,",6,0,1802 Roberts St,,Winchester,VA,United States,22601,39.1683387,-78.1768798,(540) 665-0770,,,,,,,,
,Blue Ridge Area Food Bank,,publish,1,gd_place,,,"24482,Verona,VA",",6,",6,0,96 Laurel Hill Rd,,Verona,VA,United States,24482,38.1997038,-79.0052923,(540) 248-3663,,,,,,,,
,Blue Ridge Food Banks,,publish,1,gd_place,,,"24504,Lynchburg,VA",",6,",6,0,501 12th St,,Lynchburg,VA,United States,24504,37.411052,-79.143585,(434) 455-4099,,,,,,,,
,Bristol Emergency Food Pantry,,publish,1,gd_place,,,"24201,Bristol,VA",",6,",6,0,331 Euclid Ave,,Bristol,VA,United States,24201,36.608232,-82.178763,(276) 669-3157,,,,,,,,
,C-Cap,,publish,1,gd_place,,,"22630,Front Royal,VA",",6,",6,0,400 Kendrick Ln # B,,Front Royal,VA,United States,22630,38.9320886,-78.2073362,(540) 636-2448,,,,,,,,
,C-Cap,,publish,1,gd_place,,,"22601,Winchester,VA",",6,",6,0,112 S Kent St,,Winchester,VA,United States,22601,39.1819046,-78.162898,(540) 662-4318,,,,,,,,
,Capital Area Cmnty Food Bank,,publish,1,gd_place,,,"22079,Lorton,VA",",6,",6,0,6833 Hill Park Dr,,Lorton,VA,United States,22079,38.7412607,-77.1796998,(703) 541-3063,,,,,,,,
,Capital Area Partnership,,publish,1,gd_place,,,"23219,Richmond,VA",",6,",6,0,1021 Oliver Hill Way,,Richmond,VA,United States,23219,37.5425868,-77.4238191,(804) 788-0050,,,,,,,,
,Carson Community Food Pantry,,publish,1,gd_place,,,"23805,North Dinwiddie,VA",",6,",6,0,12715 Acorn Dr,,North Dinwiddie,VA,United States,23805,37.0963601,-77.4202173,,,,,,,,,
,Central Territory Salvation,,publish,1,gd_place,,,"23188,Williamsburg,VA",",6,",6,0,216 Ironbound Rd,,Williamsburg,VA,United States,23188,37.2889225,-76.7282862,(757) 229-6651,,,,,,,,
,Chesterfield Food Bank,,publish,1,gd_place,,,"23831,Chester,VA",",6,",6,0,12211 Iron Bridge Rd,,Chester,VA,United States,23831,37.3525806,-77.4783084,(804) 414-8885,,,,,,,,
,Child Shall Lead Them Food,,publish,1,gd_place,,,"24651,Tazewell,VA",",6,",6,0,623 Tazewell Ave,,Tazewell,VA,United States,24651,37.1244619,-81.5222485,(276) 979-9541,,,,,,,,
