ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Brooke Hancock Family Resource,,publish,1,gd_place,,,"26062,Weirton,WV",",6,",6,0,1300 Potomac Ave # C,,Weirton,WV,United States,26062,40.4036776,-80.5539676,(304) 748-7850,,,,,,,,
,Catholic Charities,,publish,1,gd_place,,,"26537,Kingwood,WV",",6,",6,0,119 S Price St,,Kingwood,WV,United States,26537,39.4715327,-79.6870878,(304) 329-3644,,,,,,,,
,Catholic Charities WV,,publish,1,gd_place,,,"26288,Webster Springs,WV",",6,",6,0,113 N Main St # 101,,Webster Springs,WV,United States,26288,38.4771507,-80.4119271,(304) 847-7416,,,,,,,,
,Eccho,,publish,1,gd_place,,,"25541,Milton,WV",",6,",6,0,1038 Smith St,,Milton,WV,United States,25541,38.4354126,-82.1328354,(304) 743-9238,,,,,,,,
,Facing Hunger Foodbank,,publish,1,gd_place,,,"25701,Huntington,WV",",6,",6,0,1327 7th Ave,,Huntington,WV,United States,25701,38.4176896,-82.4348952,(304) 523-6029,,,,,,,,
,Faith In Action Inc,,publish,1,gd_place,,,"26726,Keyser,WV",",6,",6,0,71 James St,,Keyser,WV,United States,26726,39.4405824,-78.9810302,(304) 788-5331,,,,,,,,
,First Baptist Church,,publish,1,gd_place,,,"26354,Grafton,WV",",6,",6,0,2034 Webster Pike,,Grafton,WV,United States,26354,39.3171887,-80.0477694,(304) 265-3482,,,,,,,,
,Goodnews Outreach Inc,,publish,1,gd_place,,,"25976,Meadow Bridge,WV",",6,",6,0,273 Sewell Creek Road Route 20,,Meadow Bridge,WV,United States,25976,37.8615248,-80.8520116,(304) 484-7952,,,,,,,,
,Grafton First Baptist Church,,publish,1,gd_place,,,"26354,Grafton,WV",",6,",6,0,RR 119,,Grafton,WV,United States,26354,39.3409249,-80.0189659,(304) 265-3482,,,,,,,,
,Heart & Hand,,publish,1,gd_place,,,"26416,Philippi,WV",",6,",6,0,45 Mason St,,Philippi,WV,United States,26416,39.1519206,-80.0375883,(304) 457-0886,,,,,,,,
,Independence United Mthdst Chr,,publish,1,gd_place,,,"25275,Sandyville,WV",",6,",6,0,814 Independence Rd,,Sandyville,WV,United States,25275,38.906284,-81.676785,(304) 273-0122,,,,,,,,
,Jacob's Well Mission,,publish,1,gd_place,,,"25661,Williamson,WV",",6,",6,0,155 E 3rd Ave,,Williamson,WV,United States,25661,37.6719528,-82.2769363,(304) 236-5955,,,,,,,,
,Morgan County Interfaith,,publish,1,gd_place,,,"25411,Berkeley Springs,WV",",6,",6,0,44 Bath St,,Berkeley Springs,WV,United States,25411,39.625969,-78.22731,(304) 258-2487,,,,,,,,
,Mountaineer Food Bank,,publish,1,gd_place,,,"26624,Gassaway,WV",",6,",6,0,484 Enterprise Dr,,Gassaway,WV,United States,26624,38.661463,-80.7393706,(304) 364-7022,,,,,,,,
,No Hunger Food Pantry,,publish,1,gd_place,,,"26164,Ravenswood,WV",",6,",6,0,231 Walnut St,,Ravenswood,WV,United States,26164,38.9484046,-81.7605217,(304) 512-7309,,,,,,,,
,Pantry Plus More,,publish,1,gd_place,,,"26501,Morgantown,WV",",6,",6,0,9 Rousch Dr,,Morgantown,WV,United States,26501,39.6298565,-79.9843192,(304) 241-4751,,,,,,,,
,Pocahontas Cooperative Parish,,publish,1,gd_place,,,"24954,Marlinton,WV",",6,",6,0,925 10th Ave,,Marlinton,WV,United States,24954,38.2175146,-80.0889693,(304) 799-4271,,,,,,,,
,Rainelle First Baptist Church,,publish,1,gd_place,,,"25962,Rainelle,WV",",6,",6,0,345 Main St,,Rainelle,WV,United States,25962,37.970994,-80.763825,(304) 438-6311,,,,,,,,
,Sacred Heart Catholic Church,,publish,1,gd_place,,,"24701,Bluefield,WV",",6,",6,0,1003 Wyoming Strreet,,Bluefield,WV,United States,24701,37.2708437,-81.2172423,(304) 327-5623,,,,,,,,
,St Marks Episcopal Church,,publish,1,gd_place,,,"25177,Saint Albans,WV",",6,",6,0,405 B St,,Saint Albans,WV,United States,25177,38.3885653,-81.8388036,(304) 722-4284,,,,,,,,
,St Vincent De Paul Church,,publish,1,gd_place,,,"26155,New Martinsville,WV",",6,",6,0,21 Rosary Rd,,New Martinsville,WV,United States,26155,39.6722949,-80.8584924,(304) 455-4615,,,,,,,,
,Store House,,publish,1,gd_place,,,"25621,Gilbert,WV",",6,",6,0,214 Gilbert,,Gilbert,WV,United States,25621,37.6142758,-81.8665068,(304) 664-3303,,,,,,,,
,Tender Mercies Ministries,,publish,1,gd_place,,,"24740,Princeton,WV",",6,",6,0,4001 W Main St,,Princeton,WV,United States,24740,37.3689129,-81.1146989,(304) 425-2557,,,,,,,,
,Union Mission Ministries Inc,,publish,1,gd_place,,,"25304,Charleston,WV",",6,",6,0,700 South Park Rd # 1st,,Charleston,WV,United States,25304,38.3200988,-81.6042209,(304) 925-0366,,,,,,,,
