ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,68 Church,,publish,1,gd_place,,,"98665,Vancouver,WA",",6,",6,0,8802 NW 9th Ave,,Vancouver,WA,United States,98665,45.6860072,-122.6805056,(360) 576-0210,,,,,,,,
,Alger Food Bank,,publish,1,gd_place,,,"98233,Burlington,WA",",6,",6,0,18716 Parkview Ln,,Burlington,WA,United States,98233,48.6162463,-122.3418185,(360) 724-5131,,,,,,,,
,Arlington Community Food Bank,,publish,1,gd_place,,,"98223,Arlington,WA",",6,",6,0,19118 63rd Ave NE,,Arlington,WA,United States,98223,48.1683911,-122.1465306,(360) 435-1631,,,,,,,,
,Asian Counseling & Referral,,publish,1,gd_place,,,"98104,Seattle,WA",",6,",6,0,919 S King St,,Seattle,WA,United States,98104,47.5982171,-122.3202159,(206) 695-7600,,,,,,,,
,Asotin County Food Bank Assoc,,publish,1,gd_place,,,"99403,Clarkston,WA",",6,",6,0,1546 Maple St,,Clarkston,WA,United States,99403,46.4165433,-117.0713737,(509) 758-7085,,,,,,,,
,Auburn Food Bank,,publish,1,gd_place,,,"98002,Auburn,WA",",6,",6,0,930 18th Pl NE,,Auburn,WA,United States,98002,47.3236222,-122.2182517,(253) 833-8925,,,,,,,,
,Auburn Food Bank,,publish,1,gd_place,,,"98071,Auburn,WA",",6,",6,0,PO Box 464,,Auburn,WA,United States,98071,47.31,-122.23,(253) 833-8925,,,,,,,,
,Audubon Park Methodist Church,,publish,1,gd_place,,,"99205,Spokane,WA",",6,",6,0,3908 N Driscoll Blvd,,Spokane,WA,United States,99205,47.6939369,-117.4528081,(509) 325-4541,,,,,,,,
,Ballard Food Bank,,publish,1,gd_place,,,"98107,Seattle,WA",",6,",6,0,1400 NW Leary Way,,Seattle,WA,United States,98107,47.664164,-122.374101,(206) 789-7800,,,,,,,,
,Bash Foodbank,,publish,1,gd_place,,,"98444,Tacoma,WA",",6,",6,0,103 140th St S,,Tacoma,WA,United States,98444,47.130524,-122.4322836,(253) 536-6480,,,,,,,,
,Bellingham Food Bank,,publish,1,gd_place,,,"98225,Bellingham,WA",",6,",6,0,1824 Ellis St,,Bellingham,WA,United States,98225,48.7547533,-122.4717458,(360) 676-0392,,,,,,,,
,Better Living Ctr,,publish,1,gd_place,,,"99207,Spokane,WA",",6,",6,0,25 E North Foothills Dr,,Spokane,WA,United States,99207,47.6828957,-117.4109259,(509) 325-1258,,,,,,,,
,Blaine Food Bank,,publish,1,gd_place,,,"98230,Blaine,WA",",6,",6,0,500 C St,,Blaine,WA,United States,98230,48.999551,-122.7458921,(360) 332-6350,,,,,,,,
,Blessing Foods Ministry Inc,,publish,1,gd_place,,,"99201,Spokane,WA",",6,",6,0,2109 W Mission Ave,,Spokane,WA,United States,99201,47.6714188,-117.4434994,(509) 312-9330,,,,,,,,
,Bmac Food Bank,,publish,1,gd_place,,,"99362,Walla Walla,WA",",6,",6,0,921 W Cherry St,,Walla Walla,WA,United States,99362,46.0670748,-118.3542292,(509) 529-4980,,,,,,,,
,Bread-Life Bonney Lake Food,,publish,1,gd_place,,,"98391,Bonney Lake,WA",",6,",6,0,18409 Veterans Memorial Dr E,,Bonney Lake,WA,United States,98391,47.1779602,-122.1834325,(253) 863-4043,,,,,,,,
,Bremerton Food Line,,publish,1,gd_place,,,"98337,Bremerton,WA",",6,",6,0,1600 12th St,,Bremerton,WA,United States,98337,47.5722603,-122.6402632,(360) 479-6188,,,,,,,,
,Central Kitsap Food Bank,,publish,1,gd_place,,,"98383,Silverdale,WA",",6,",6,0,3537 NW Anderson Hill Rd,,Silverdale,WA,United States,98383,47.6491586,-122.6990822,(360) 692-9818,,,,,,,,
,Central Kitsap Food Bank,,publish,1,gd_place,,,"98383,Silverdale,WA",",6,",6,0,3735 NW Anderson Hill Rd,,Silverdale,WA,United States,98383,47.6513824,-122.7009581,(360) 692-3525,,,,,,,,
,Cheney Food Bank,,publish,1,gd_place,,,"99004,Cheney,WA",",6,",6,0,624 3rd St,,Cheney,WA,United States,99004,47.4897694,-117.5754937,(509) 235-2325,,,,,,,,
,Clark County Foodbank Inc,,publish,1,gd_place,,,"98661,Vancouver,WA",",6,",6,0,6502 NE 47th Ave,,Vancouver,WA,United States,98661,45.6696042,-122.6230517,(360) 693-0939,,,,,,,,
,Cleone's Closet Food Pantry,,publish,1,gd_place,,,"99001,Airway Heights,WA",",6,",6,0,13114 W Sunset Hwy,,Airway Heights,WA,United States,99001,47.6432747,-117.5923575,(509) 321-7071,,,,,,,,
,Coastal Harvest,,publish,1,gd_place,,,"98550,Hoquiam,WA",",6,",6,0,520 Tyler St,,Hoquiam,WA,United States,98550,46.98483,-123.8790041,(360) 532-6315,,,,,,,,
,Community Cupboard Mend,,publish,1,gd_place,,,"98826,Leavenworth,WA",",6,",6,0,347 Division St,,Leavenworth,WA,United States,98826,47.5952711,-120.6566117,(509) 548-6727,,,,,,,,
,Community Services-Moses Lake,,publish,1,gd_place,,,"98837,Moses Lake,WA",",6,",6,0,1075 W Marina Dr,,Moses Lake,WA,United States,98837,47.1234295,-119.2932869,(509) 765-8101,,,,,,,,
,Concern For Neighbors Food Bnk,,publish,1,gd_place,,,"98043,Mountlake Terrace,WA",",6,",6,0,4700 228th St SW,,Mountlake Terrace,WA,United States,98043,47.7913688,-122.2966941,(425) 778-7227,,,,,,,,
,County Of King,,publish,1,gd_place,,,"98070,Vashon,WA",",6,",6,0,10030 SW 210th St,,Vashon,WA,United States,98070,47.4171587,-122.4633714,(206) 463-6332,,,,,,,,
,Cove,,publish,1,gd_place,,,"98856,Twisp,WA",",6,",6,0,206 Glover St,,Twisp,WA,United States,98856,48.3642258,-120.1210435,(509) 997-0227,,,,,,,,
,Crossroads Community Covenant,,publish,1,gd_place,,,"98597,Yelm,WA",",6,",6,0,11520 Bald Hill Rd SE,,Yelm,WA,United States,98597,46.9218864,-122.5699604,(360) 400-7877,,,,,,,,
,Des Moines Food Bank,,publish,1,gd_place,,,"98198,Des Moines,WA",",6,",6,0,22225 9th Ave S,,Des Moines,WA,United States,98198,47.4022446,-122.3224454,(206) 878-2660,,,,,,,,
,East Valley Reformed Church,,publish,1,gd_place,,,"98901,Yakima,WA",",6,",6,0,7203 Mieras Rd,,Yakima,WA,United States,98901,46.5775267,-120.4043466,(509) 452-6138,,,,,,,,
,Edmonds Food Bank,,publish,1,gd_place,,,"98020,Edmonds,WA",",6,",6,0,828 Caspers St,,Edmonds,WA,United States,98020,47.8169654,-122.3690334,,,,,,,,,
,Entiat Valley Cmnty Svc Fdbnk,,publish,1,gd_place,,,"98822,Entiat,WA",",6,",6,0,2084 Entiat Way,,Entiat,WA,United States,98822,47.6755128,-120.2099363,(509) 784-7117,,,,,,,,
