ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Amani Community Ctr Food Pntry,,publish,1,gd_place,,,"53206,Milwaukee,WI",",6,",6,0,2480 W Locust St,,Milwaukee,WI,United States,53206,43.0718648,-87.9445593,,,,,,,,,
,Amery Area Food Pantry,,publish,1,gd_place,,,"54001,Amery,WI",",6,",6,0,230 Deronda St,,Amery,WI,United States,54001,45.3026732,-92.3664126,(715) 268-5999,,,,,,,,
,Antigo Area Cmnty Food Pantry,,publish,1,gd_place,,,"54409,Antigo,WI",",6,",6,0,2120 Progress Blvd,,Antigo,WI,United States,54409,45.1606768,-89.1518857,(715) 623-1103,,,,,,,,
,Artisan Cheese Exchange,,publish,1,gd_place,,,"53081,Sheboygan,WI",",6,",6,0,703 N 8th St # 300,,Sheboygan,WI,United States,53081,43.7522191,-87.7127556,(920) 803-8100,,,,,,,,
,Badger Prairie Needs Network,,publish,1,gd_place,,,"53593,Verona,WI",",6,",6,0,1200 E Verona Ave,,Verona,WI,United States,53593,42.9952532,-89.5147255,(608) 848-2499,,,,,,,,
,Bethel Baptist Church,,publish,1,gd_place,,,"53546,Janesville,WI",",6,",6,0,3300 Mount Zion Ave,,Janesville,WI,United States,53546,42.6996355,-88.9787407,(608) 754-8711,,,,,,,,
,Bethel Butikk,,publish,1,gd_place,,,"54667,Westby,WI",",6,",6,0,341 Black River Ave,,Westby,WI,United States,54667,43.662216,-90.848979,(608) 634-3473,,,,,,,,
,Birchwood Area Food Pantry,,publish,1,gd_place,,,"54817,Birchwood,WI",",6,",6,0,PO Box 201,,Birchwood,WI,United States,54817,45.6580438,-91.5558996,,,,,,,,,
,Blessed Teresa Of Calcutta,,publish,1,gd_place,,,"53064,North Lake,WI",",6,",6,0,W314n7462 Highway 83,,North Lake,WI,United States,53064,43.1545975,-88.3702937,(262) 966-2191,,,,,,,,
,Buffalo County Food Pantry Inc,,publish,1,gd_place,,,"54610,Alma,WI",",6,",6,0,PO Box 128,,Alma,WI,United States,54610,44.3199654,-91.9148839,,,,,,,,,
,Caritas Community Resource Ctr,,publish,1,gd_place,,,"53511,Beloit,WI",",6,",6,0,2840 S Prairie Ave,,Beloit,WI,United States,53511,42.5587619,-89.0121743,(608) 362-4403,,,,,,,,
,Chetek Food Shelf,,publish,1,gd_place,,,"54728,Chetek,WI",",6,",6,0,121 2nd St,,Chetek,WI,United States,54728,45.3099584,-91.6519833,(715) 925-3500,,,,,,,,
,City Of Stoughton Food Pantry,,publish,1,gd_place,,,"53589,Stoughton,WI",",6,",6,0,520 S 4th St,,Stoughton,WI,United States,53589,42.9143333,-89.2182159,(608) 873-8103,,,,,,,,
,City Of Waupon Food Pantry,,publish,1,gd_place,,,"53963,Waupun,WI",",6,",6,0,12 S Mill St,,Waupun,WI,United States,53963,43.633006,-88.7310884,(920) 324-4000,,,,,,,,
,Clark County Food Pantry,,publish,1,gd_place,,,"54456,Neillsville,WI",",6,",6,0,1031 E Division St # 4,,Neillsville,WI,United States,54456,44.5533813,-90.5830905,(715) 743-2754,,,,,,,,
,Community Food Pantry-Merrill,,publish,1,gd_place,,,"54452,Merrill,WI",",6,",6,0,503 S Center Ave # 3,,Merrill,WI,United States,54452,45.176424,-89.6809057,(715) 536-4505,,,,,,,,
,Community Sharing Pantry,,publish,1,gd_place,,,"53948,Mauston,WI",",6,",6,0,1 Kennedy St # 7,,Mauston,WI,United States,53948,43.798414,-90.0626705,(608) 847-5454,,,,,,,,
,Connection Store,,publish,1,gd_place,,,"54848,Ladysmith,WI",",6,",6,0,500 W 9th St N,,Ladysmith,WI,United States,54848,45.4683879,-91.1132494,(715) 532-7542,,,,,,,,
,Deforest/Windsor Food Pantry,,publish,1,gd_place,,,"53598,Windsor,WI",",6,",6,0,4434 2nd St,,Windsor,WI,United States,53598,43.2185824,-89.3390768,,,,,,,,,
,Dodge County Food Pantry,,publish,1,gd_place,,,"53916,Beaver Dam,WI",",6,",6,0,125 Dodge Dr # 100,,Beaver Dam,WI,United States,53916,43.4729639,-88.827365,(920) 885-3392,,,,,,,,
,DPCO Food Pantry,,publish,1,gd_place,,,"54115,De Pere,WI",",6,",6,0,1827 Chicago St,,De Pere,WI,United States,54115,44.439797,-88.0365017,(920) 338-9718,,,,,,,,
,Elcho Area Cmnty Food Pantry,,publish,1,gd_place,,,"54428,Elcho,WI",",6,",6,0,PO Box 404,,Elcho,WI,United States,54428,45.4184035,-89.1486398,,,,,,,,,
,Emmanuel Community UMC,,publish,1,gd_place,,,"53051,Menomonee Falls,WI",",6,",6,0,N84w16707 Menomonee Ave,,Menomonee Falls,WI,United States,53051,43.1698024,-88.1171542,(262) 251-3830,,,,,,,,
,Family Pathway,,publish,1,gd_place,,,"54837,Frederic,WI",",6,",6,0,1100 Wisconsin Ave S,,Frederic,WI,United States,54837,45.6672304,-92.465556,(715) 327-4425,,,,,,,,
,Family Sharing Of Ozaukee-Food,,publish,1,gd_place,,,"53024,Grafton,WI",",6,",6,0,1002 Overland Ct,,Grafton,WI,United States,53024,43.3352756,-87.9533304,(262) 377-0634,,,,,,,,
,Feed My People Foodbank,,publish,1,gd_place,,,"54703,Eau Claire,WI",",6,",6,0,2610 Alpine Rd,,Eau Claire,WI,United States,54703,44.8417321,-91.548007,(715) 835-9415,,,,,,,,
,Feeding America Eastern WI,,publish,1,gd_place,,,"53205,Milwaukee,WI",",6,",6,0,1700 W Fond Du Lac Ave,,Milwaukee,WI,United States,53205,43.0574893,-87.9333271,(414) 931-7400,,,,,,,,
,Feeding Wisconsin Inc,,publish,1,gd_place,,,"53718,Madison,WI",",6,",6,0,2802 Dairy Dr,,Madison,WI,United States,53718,43.0582467,-89.2957976,(608) 478-2882,,,,,,,,
,First English Lutheran Church,,publish,1,gd_place,,,"54401,Wausau,WI",",6,",6,0,402 N 3rd Ave,,Wausau,WI,United States,54401,44.9677348,-89.6395338,(715) 842-5727,,,,,,,,
,Five Loaves Food Shelf,,publish,1,gd_place,,,"54017,New Richmond,WI",",6,",6,0,144 W 3rd St,,New Richmond,WI,United States,54017,45.119932,-92.5386659,(715) 246-5255,,,,,,,,
,Fondy Food Pantry Inc,,publish,1,gd_place,,,"54937,Fond Du Lac,WI",",6,",6,0,573 W Rolling Meadows Dr,,Fond Du Lac,WI,United States,54937,43.7550556,-88.4754208,(920) 933-3297,,,,,,,,
,Fondy Foods Inc,,publish,1,gd_place,,,"54936,Fond Du Lac,WI",",6,",6,0,573 W Rolling Meadows Dr,,Fond Du Lac,WI,United States,54936,43.7550556,-88.4754208,(920) 322-0369,,,,,,,,
,Food Pantry,,publish,1,gd_place,,,"54495,Wisconsin Rapids,WI",",6,",6,0,2321 W Grand Ave,,Wisconsin Rapids,WI,United States,54495,44.3960958,-89.8535729,(715) 422-2050,,,,,,,,
,Food Pantry Inc,,publish,1,gd_place,,,"53074,Port Washington,WI",",6,",6,0,1800 N Wisconsin St,,Port Washington,WI,United States,53074,43.4089466,-87.8691455,(262) 284-1148,,,,,,,,
,Food Pantry Of Lake Geneva,,publish,1,gd_place,,,"53147,Lake Geneva,WI",",6,",6,0,715 Wisconsin St,,Lake Geneva,WI,United States,53147,42.5944757,-88.4344374,(262) 248-2337,,,,,,,,
,Food Pantry-Clintonville Area,,publish,1,gd_place,,,"54929,Clintonville,WI",",6,",6,0,26b 10th St,,Clintonville,WI,United States,54929,44.6227633,-88.7621951,(715) 823-5461,,,,,,,,
,Food Shelf,,publish,1,gd_place,,,"54020,Osceola,WI",",6,",6,0,406 2nd Ave,,Osceola,WI,United States,54020,45.3200296,-92.7029502,(715) 294-6245,,,,,,,,
,Fort Atkinson Food Pantry,,publish,1,gd_place,,,"53538,Fort Atkinson,WI",",6,",6,0,715 Jones Ave,,Fort Atkinson,WI,United States,53538,42.9195594,-88.8464751,(920) 563-6992,,,,,,,,
,Full Shelf Food Pantry Inc,,publish,1,gd_place,,,"53095,West Bend,WI",",6,",6,0,231 Municipal Dr,,West Bend,WI,United States,53095,43.4239329,-88.1495247,(262) 335-0685,,,,,,,,
,G-E-T Cmnty Food Pantry Inc,,publish,1,gd_place,,,"54630,Galesville,WI",",6,",6,0,20237 W Ridge Ave,,Galesville,WI,United States,54630,44.0835123,-91.3564562,,,,,,,,,
,Good Samaritan Thrift Store,,publish,1,gd_place,,,"54634,Hillsboro,WI",",6,",6,0,128 Mill St,,Hillsboro,WI,United States,54634,43.65151,-90.340223,(608) 489-3627,,,,,,,,
,Gordon Area Food Shelf Inc,,publish,1,gd_place,,,"54838,Gordon,WI",",6,",6,0,PO Box 123,,Gordon,WI,United States,54838,46.2468856,-91.7985218,,,,,,,,,
,Green County Food Pantry Inc,,publish,1,gd_place,,,"53566,Monroe,WI",",6,",6,0,1129 17th Ave,,Monroe,WI,United States,53566,42.6003539,-89.6388818,(608) 329-7511,,,,,,,,
,Hartford Food Pantry,,publish,1,gd_place,,,"53027,Hartford,WI",",6,",6,0,24 N Johnson St,,Hartford,WI,United States,53027,43.318119,-88.3794103,(262) 673-5747,,,,,,,,
,Hayward Community Food Shelf,,publish,1,gd_place,,,"54843,Hayward,WI",",6,",6,0,16216 W US Highway 63,,Hayward,WI,United States,54843,46.0003479,-91.504732,(715) 634-4237,,,,,,,,
,Heights Unlimited Cmnty Rsrc,,publish,1,gd_place,,,"53515,Black Earth,WI",",6,",6,0,1529 State St # B,,Black Earth,WI,United States,53515,43.1436792,-89.7535066,(608) 767-3663,,,,,,,,
,Hortonville Community Food,,publish,1,gd_place,,,"54931,Dale,WI",",6,",6,0,PO Box 236,,Dale,WI,United States,54931,44.2730379,-88.6784423,(920) 779-6705,,,,,,,,
,Hot Pantry,,publish,1,gd_place,,,"53233,Milwaukee,WI",",6,",6,0,701 W Wisconsin Ave,,Milwaukee,WI,United States,53233,43.0386917,-87.9205728,(414) 220-9466,,,,,,,,
,Hunger Task Force Of Milwaukee,,publish,1,gd_place,,,"53204,Milwaukee,WI",",6,",6,0,723 W Historic Mitchell St,,Milwaukee,WI,United States,53204,43.0121852,-87.920666,(414) 897-8101,,,,,,,,
,Jewish Community Ctr-SN Frncsc,,publish,1,gd_place,,,"53217,Whitefish Bay,WI",",6,",6,0,6255 N Santa Monica Blvd,,Whitefish Bay,WI,United States,53217,43.1307585,-87.9074942,(414) 964-4444,,,,,,,,
