ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Ambitious Diversities Thrift,,publish,1,gd_place,,,"82007,Cheyenne,WY",",6,",6,0,3908 W 5th St,,Cheyenne,WY,United States,82007,41.1172481,-104.8454163,(307) 514-3850,,,,,,,,
,Chat Center Inc,,publish,1,gd_place,,,"82007,Cheyenne,WY",",6,",6,0,3908 W 5th St,,Cheyenne,WY,United States,82007,41.1172481,-104.8454163,(307) 514-3850,,,,,,,,
,Family Resource Ctr,,publish,1,gd_place,,,"82401,Worland,WY",",6,",6,0,620 Big Horn Ave,,Worland,WY,United States,82401,44.0166879,-107.960658,(307) 347-6123,,,,,,,,
,Food Bank Of Sweetwater County,,publish,1,gd_place,,,"82901,Rock Springs,WY",",6,",6,0,90 N Center St,,Rock Springs,WY,United States,82901,41.5877212,-109.2256006,,,,,,,,,
,Food Bank Of Sweetwater County,,publish,1,gd_place,,,"82901,Rock Springs,WY",",6,",6,0,90 N Center St,,Rock Springs,WY,United States,82901,41.5877212,-109.2256006,(307) 875-9600,,,,,,,,
,Joshua's Storehouse,,publish,1,gd_place,,,"82601,Casper,WY",",6,",6,0,334 S Wolcott St,,Casper,WY,United States,82601,42.8467153,-106.3240754,(307) 265-0242,,,,,,,,
,People Assistance,,publish,1,gd_place,,,"82801,Sheridan,WY",",6,",6,0,2560 N Main St,,Sheridan,WY,United States,82801,44.8266194,-106.9593254,(307) 674-1509,,,,,,,,
,Poverty Resistance,,publish,1,gd_place,,,"82601,Casper,WY",",6,",6,0,450 S Wolcott St,,Casper,WY,United States,82601,42.8457689,-106.3239147,(307) 215-4732,,,,,,,,
,St Joseph Catholic Chr-Main,,publish,1,gd_place,,,"82007,Cheyenne,WY",",6,",6,0,314 E 6th St,,Cheyenne,WY,United States,82007,41.1256054,-104.8056242,(307) 634-4625,,,,,,,,
,Wy Food Bank,,publish,1,gd_place,,,"82636,Evansville,WY",",6,",6,0,5150 Reserve Dr # 200,,Evansville,WY,United States,82636,42.8511974,-106.2487112,(307) 265-2172,,,,,,,,
,Wyoming Food Bank-The Rcks,,publish,1,gd_place,,,"82604,Mills,WY",",6,",6,0,4976 Paige St,,Mills,WY,United States,82604,42.8587359,-106.3893608,(307) 265-2172,,,,,,,,
,Wyoming Food For Thought Prjct,,publish,1,gd_place,,,"82601,Casper,WY",",6,",6,0,900 Saint John St,,Casper,WY,United States,82601,42.8593267,-106.3204196,(307) 337-1703,,,,,,,,
