ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Abcd Brighton,,publish,1,gd_place,,,"2135,Brighton,MA",",6,",6,0,640 Washington St # 203,,Brighton,MA,United States,2135,42.3507622,-71.1690225,(617) 903-3640,,,,,,,,
,Arlington EATS,,publish,1,gd_place,,,"2474,Arlington,MA",",6,",6,0,58 Medford St,,Arlington,MA,United States,2474,42.4166161,-71.1486344,(339) 707-6757,,,,,,,,
,Barre Food Pantry,,publish,1,gd_place,,,"1005,Barre,MA",",6,",6,0,167 Grogan Rd,,Barre,MA,United States,1005,42.402748,-72.12181,,,,,,,,,
,Beverly Bootstraps Food Pantry,,publish,1,gd_place,,,"1915,Beverly,MA",",6,",6,0,35 Park St,,Beverly,MA,United States,1915,42.548087,-70.8844323,(978) 927-1561,,,,,,,,
,Billerica Community Pantry Inc,,publish,1,gd_place,,,"1821,Billerica,MA",",6,",6,0,70 Concord Rd,,Billerica,MA,United States,1821,42.5533835,-71.2708098,,,,,,,,,
,Bourne Friends Food Pantry,,publish,1,gd_place,,,"2559,Pocasset,MA",",6,",6,0,20 Commerce Park Rd,,Pocasset,MA,United States,2559,41.6993233,-70.5866839,(508) 759-3351,,,,,,,,
,Braintree Holidays Friends Inc,,publish,1,gd_place,,,"2184,Braintree,MA",",6,",6,0,46 Lincoln St,,Braintree,MA,United States,2184,42.216792,-70.975674,(781) 848-2124,,,,,,,,
,Cathedral Of St Paul,,publish,1,gd_place,,,"1609,Worcester,MA",",6,",6,0,38 High St,,Worcester,MA,United States,1609,42.261797,-71.8046731,(508) 799-4193,,,,,,,,
,Center For Self Reliance,,publish,1,gd_place,,,"1301,Greenfield,MA",",6,",6,0,393 Main St # 1,,Greenfield,MA,United States,1301,42.5874846,-72.5986696,(413) 773-5029,,,,,,,,
,Centre Street Food Pantry,,publish,1,gd_place,,,"2459,Newton,MA",",6,",6,0,11 Homer St,,Newton,MA,United States,2459,42.3349884,-71.194005,(617) 340-9554,,,,,,,,
,Charity Guild Food Pantry,,publish,1,gd_place,,,"2301,Brockton,MA",",6,",6,0,501 Main St,,Brockton,MA,United States,2301,42.0752388,-71.0198183,(508) 583-5280,,,,,,,,
,Charlestown Food Pantry Inc,,publish,1,gd_place,,,"2150,Chelsea,MA",",6,",6,0,200 Captains Row,,Chelsea,MA,United States,2150,42.3908245,-71.0470448,,,,,,,,,
,Common Ground Cafe,,publish,1,gd_place,,,"1830,Haverhill,MA",",6,",6,0,194 Winter St,,Haverhill,MA,United States,1830,42.7775686,-71.0845702,(978) 372-3336,,,,,,,,
,Cupboard-Kindness Food Pantry,,publish,1,gd_place,,,"2766,Norton,MA",",6,",6,0,PO Box 874,,Norton,MA,United States,2766,41.9629235,-71.1804988,(508) 369-3240,,,,,,,,
,East End House,,publish,1,gd_place,,,"2141,Cambridge,MA",",6,",6,0,105 Spring St,,Cambridge,MA,United States,2141,42.3694458,-71.0830689,(617) 876-4444,,,,,,,,
,Easthampton Community Ctr,,publish,1,gd_place,,,"1027,Easthampton,MA",",6,",6,0,12 Clark St # 1,,Easthampton,MA,United States,1027,42.2638636,-72.6619483,(413) 527-5240,,,,,,,,
,Fall River Food Pantry,,publish,1,gd_place,,,"2720,Fall River,MA",",6,",6,0,228 N Main St,,Fall River,MA,United States,2720,41.705071,-71.1553927,(774) 365-4292,,,,,,,,
,Falmouth Service Ctr,,publish,1,gd_place,,,"2540,Falmouth,MA",",6,",6,0,611 Gifford St,,Falmouth,MA,United States,2540,41.5766547,-70.603601,(508) 548-2794,,,,,,,,
,First Baptist Church,,publish,1,gd_place,,,"2176,Melrose,MA",",6,",6,0,561 Main St,,Melrose,MA,United States,2176,42.4566921,-71.0637516,(781) 665-4470,,,,,,,,
,First Congregational Church,,publish,1,gd_place,,,"1583,West Boylston,MA",",6,",6,0,26 Central St,,West Boylston,MA,United States,1583,42.364386,-71.7820296,(508) 835-4462,,,,,,,,
,Food Bank Of Western Maryland,,publish,1,gd_place,,,"1038,Hatfield,MA",",6,",6,0,97 N Hatfield Rd,,Hatfield,MA,United States,1038,42.3978704,-72.6148397,(413) 247-9738,,,,,,,,
,Food For Fines,,publish,1,gd_place,,,"1803,Burlington,MA",",6,",6,0,10 Saint Marks Rd,,Burlington,MA,United States,1803,42.5031711,-71.2074648,(781) 270-6625,,,,,,,,
,Food For The World Inc,,publish,1,gd_place,,,"1840,Lawrence,MA",",6,",6,0,516 Essex St,,Lawrence,MA,United States,1840,42.7056049,-71.1660507,(978) 683-9949,,,,,,,,
,Food Link,,publish,1,gd_place,,,"2474,Arlington,MA",",6,",6,0,108 Summer St # 1,,Arlington,MA,United States,2474,42.4192928,-71.1589391,(781) 316-8614,,,,,,,,
,Food Pantry,,publish,1,gd_place,,,"1077,Southwick,MA",",6,",6,0,220 College Hwy,,Southwick,MA,United States,1077,42.0267686,-72.7853745,(413) 569-9876,,,,,,,,
