ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Carson Valley Community Food,,publish,1,gd_place,,,"89410,Gardnerville,NV",",6,",6,0,1255 Waterloo Ln # B,,Gardnerville,NV,United States,89410,38.9318848,-119.74654,(775) 782-3711,,,,,,,,
,Christ Church Episcopal,,publish,1,gd_place,,,"89104,Las Vegas,NV",",6,",6,0,2100 S Maryland Pkwy # 6,,Las Vegas,NV,United States,89104,36.1467917,-115.13729,(702) 735-0871,,,,,,,,
,Colorado River Food Bank,,publish,1,gd_place,,,"89029,Laughlin,NV",",6,",6,0,240 E Laughlin Civic Dr,,Laughlin,NV,United States,89029,35.1687438,-114.5737751,(702) 298-9220,,,,,,,,
,Community Chest Inc,,publish,1,gd_place,,,"89440,Virginia City,NV",",6,",6,0,175 E Carson St,,Virginia City,NV,United States,89440,39.314296,-119.6462717,(775) 847-9311,,,,,,,,
,Eastern Nevada Food Bank,,publish,1,gd_place,,,"89301,Ely,NV",",6,",6,0,380 E 224th St S,,Ely,NV,United States,89301,39.199135,-114.847725,(775) 293-5567,,,,,,,,
,Fallon Community Pantry,,publish,1,gd_place,,,"89406,Fallon,NV",",6,",6,0,660 Harrigan Rd,,Fallon,NV,United States,89406,39.4685356,-118.7631391,,,,,,,,,
,FBC Indian Springs,,publish,1,gd_place,,,"89018,Indian Springs,NV",",6,",6,0,660 Macfarland Ave,,Indian Springs,NV,United States,89018,36.5718469,-115.6698479,(702) 879-3203,,,,,,,,
,FIS H-Rancho Family Svc Ctr,,publish,1,gd_place,,,"89460,Gardnerville,NV",",6,",6,0,921 Mitch Dr,,Gardnerville,NV,United States,89460,38.9045525,-119.7298902,(775) 265-3474,,,,,,,,
,Food Bank Of Northern Nevada,,publish,1,gd_place,,,"89437,Sparks,NV",",6,",6,0,550 Italy Dr,,Sparks,NV,United States,89437,39.5336989,-119.4754195,(775) 331-3663,,,,,,,,
,Food For Thought Inc,,publish,1,gd_place,,,"89706,Carson City,NV",",6,",6,0,3246 N Carson St # 118,,Carson City,NV,United States,89706,39.1872314,-119.774007,(775) 885-7770,,,,,,,,
,Great Basin Cmnty Food Co-Op,,publish,1,gd_place,,,"89501,Reno,NV",",6,",6,0,240 Court St,,Reno,NV,United States,89501,39.5226919,-119.8154936,(775) 324-6133,,,,,,,,
,Healthy Communities RNF,,publish,1,gd_place,,,"89706,Carson City,NV",",6,",6,0,284 E Winnie Ln,,Carson City,NV,United States,89706,39.1801572,-119.7642509,(775) 246-7834,,,,,,,,
,Joy Divine Community Church,,publish,1,gd_place,,,"89048,Pahrump,NV",",6,",6,0,1161 S Loop Rd # A1,,Pahrump,NV,United States,89048,36.202875,-115.972813,(775) 419-5266,,,,,,,,
,Rsvp-Nv Rural Counties Rsvp,,publish,1,gd_place,,,"89008,Caliente,NV",",6,",6,0,100 Depot # 15,,Caliente,NV,United States,89008,37.6125804,-114.5143796,(775) 726-3126,,,,,,,,
,Salvation Army Community Ctr,,publish,1,gd_place,,,"89048,Pahrump,NV",",6,",6,0,721 Buol Rd,,Pahrump,NV,United States,89048,36.2091769,-116.0087392,(775) 751-6171,,,,,,,,
,Second Baptist Church,,publish,1,gd_place,,,"89106,Las Vegas,NV",",6,",6,0,500 Madison Ave,,Las Vegas,NV,United States,89106,36.1841736,-115.1488592,(702) 648-6155,,,,,,,,
,Silver Stage Pantry,,publish,1,gd_place,,,"89429,Silver Springs,NV",",6,",6,0,1775 US Highway 50,,Silver Springs,NV,United States,89429,39.4175308,-119.2195921,(775) 577-9161,,,,,,,,
,St Francis-Assisi Food Pantry,,publish,1,gd_place,,,"89502,Reno,NV",",6,",6,0,160 Hubbard Way # F,,Reno,NV,United States,89502,39.4984321,-119.797348,(775) 507-4555,,,,,,,,
,St Vincent De Paul Society,,publish,1,gd_place,,,"89015,Henderson,NV",",6,",6,0,204 S Boulder Hwy,,Henderson,NV,United States,89015,36.0386818,-114.9799131,(702) 877-9500,,,,,,,,
,Three Square,,publish,1,gd_place,,,"89115,Las Vegas,NV",",6,",6,0,4190 N Pecos Rd,,Las Vegas,NV,United States,89115,36.2360535,-115.0964542,(702) 644-3663,,,,,,,,
,Thrift Depot,,publish,1,gd_place,,,"89512,Reno,NV",",6,",6,0,2115 Timber Way,,Reno,NV,United States,89512,39.5493819,-119.8009549,(775) 323-7999,,,,,,,,
,Trinity United Methodist Chr,,publish,1,gd_place,,,"89146,Las Vegas,NV",",6,",6,0,6151 W Charleston Blvd,,Las Vegas,NV,United States,89146,36.1581354,-115.2252726,(702) 870-4747,,,,,,,,
,United Labor Agency Of NV Inc,,publish,1,gd_place,,,"89108,Las Vegas,NV",",6,",6,0,1201 N Decatur Blvd # 106,,Las Vegas,NV,United States,89108,36.1841087,-115.2065811,(702) 648-3500,,,,,,,,
,Virgin Valley Cmnty Food Bank,,publish,1,gd_place,,,"89027,Mesquite,NV",",6,",6,0,115 S 1st St,,Mesquite,NV,United States,89027,36.8055838,-114.0659036,(702) 346-0900,,,,,,,,
,Virgin Valley Comminity Food,,publish,1,gd_place,,,"89027,Mesquite,NV",",6,",6,0,230 N Sandhill Blvd # I,,Mesquite,NV,United States,89027,36.8070514,-114.0642719,(702) 346-0900,,,,,,,,
,Winnemucca Food Bank,,publish,1,gd_place,,,"89445,Winnemucca,NV",",6,",6,0,150 S Bridge St,,Winnemucca,NV,United States,89445,40.9744095,-117.7364659,(775) 625-2223,,,,,,,,
,Yerington Vineyard Fellowship,,publish,1,gd_place,,,"89447,Yerington,NV",",6,",6,0,307 Broadway Ave,,Yerington,NV,United States,89447,38.9865971,-119.1580078,(775) 463-3715,,,,,,,,
