ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Ark Church,,publish,1,gd_place,,,"3101,Manchester,NH",",6,",6,0,811 Canal St,,Manchester,NH,United States,3101,42.9984848,-71.4662854,(603) 668-6226,,,,,,,,
,Caregivers Inc,,publish,1,gd_place,,,"3109,Manchester,NH",",6,",6,0,700 East Industrial Park Dr,,Manchester,NH,United States,3109,42.9797212,-71.4097203,(603) 622-4948,,,,,,,,
,Community Kitchen,,publish,1,gd_place,,,"3431,Keene,NH",",6,",6,0,37 Mechanic St,,Keene,NH,United States,3431,42.9367254,-72.2788005,(603) 352-3200,,,,,,,,
,Epsom Food Pantry,,publish,1,gd_place,,,"3234,Epsom,NH",",6,",6,0,1598 Dover Rd,,Epsom,NH,United States,3234,43.22391,-71.3336795,(603) 736-4024,,,,,,,,
,Feeding Tiny Tummies,,publish,1,gd_place,,,"3431,Keene,NH",",6,",6,0,305 Park Ave,,Keene,NH,United States,3431,42.9427537,-72.3114011,(603) 499-8002,,,,,,,,
,First Church Of Christ UCC,,publish,1,gd_place,,,"3860,North Conway,NH",",6,",6,0,2521 White Mountain Hwy,,North Conway,NH,United States,3860,44.0486993,-71.124303,(603) 356-2324,,,,,,,,
,Gather NH,,publish,1,gd_place,,,"3801,Portsmouth,NH",",6,",6,0,210 West Rd # 3,,Portsmouth,NH,United States,3801,43.042233,-70.7786974,(603) 436-0641,,,,,,,,
,Gerrys Emergency Food Pantry,,publish,1,gd_place,,,"3867,Rochester,NH",",6,",6,0,150 Wakefield St # 5,,Rochester,NH,United States,3867,43.3160182,-70.9797532,(603) 330-3468,,,,,,,,
,Goffstown Networks Food Pantry,,publish,1,gd_place,,,"3045,Goffstown,NH",",6,",6,0,7 N Mast St,,Goffstown,NH,United States,3045,43.0206078,-71.6010195,(603) 497-3433,,,,,,,,
,Greenland Church Parish House,,publish,1,gd_place,,,"3840,Greenland,NH",",6,",6,0,44 Post Rd,,Greenland,NH,United States,3840,43.0350642,-70.8328528,(603) 436-8336,,,,,,,,
,Henniker Food Pantry,,publish,1,gd_place,,,"3242,Henniker,NH",",6,",6,0,21 Western Ave,,Henniker,NH,United States,3242,43.1794042,-71.8231761,(603) 428-7474,,,,,,,,
,Hillsboro District Food Pantry,,publish,1,gd_place,,,"3244,Hillsborough,NH",",6,",6,0,107 Windsor Rd,,Hillsborough,NH,United States,3244,43.126421,-71.982265,(603) 464-4080,,,,,,,,
,Hopkinton Food Pantry,,publish,1,gd_place,,,"3229,Contoocook,NH",",6,",6,0,,,Contoocook,NH,United States,3229,43.2220234,-71.7139655,(603) 746-6448,,,,,,,,
,Liberty House,,publish,1,gd_place,,,"3104,Manchester,NH",",6,",6,0,221 Orange St,,Manchester,NH,United States,3104,42.9972331,-71.4535444,(603) 669-0761,,,,,,,,
,Life Ministries Food Pantry,,publish,1,gd_place,,,"3894,Wolfeboro,NH",",6,",6,0,264 S Main St,,Wolfeboro,NH,United States,3894,43.5801341,-71.1995755,(603) 569-0202,,,,,,,,
,Loudon Food Pantry,,publish,1,gd_place,,,"3307,Loudon,NH",",6,",6,0,30 Chichester Rd # D,,Loudon,NH,United States,3307,43.2746018,-71.4588931,(603) 724-9731,,,,,,,,
,Nashua Soup Kitchen & Shelter,,publish,1,gd_place,,,"3060,Nashua,NH",",6,",6,0,2 Quincy St,,Nashua,NH,United States,3060,42.7607042,-71.4616246,(603) 889-7770,,,,,,,,
,NH Catholic Charities,,publish,1,gd_place,,,"3246,Laconia,NH",",6,",6,0,17 Gilford Ave,,Laconia,NH,United States,3246,43.5327171,-71.4621852,(603) 528-3035,,,,,,,,
,North Conway Day Care Ctr,,publish,1,gd_place,,,"3860,North Conway,NH",",6,",6,0,2503 White Mountain Hwy,,North Conway,NH,United States,3860,44.0486907,-71.1242687,(603) 356-5213,,,,,,,,
,Salvation Army Community Ctr,,publish,1,gd_place,,,"3431,Keene,NH",",6,",6,0,15 Roxbury Plz,,Keene,NH,United States,3431,42.9329056,-72.275655,(603) 352-0607,,,,,,,,
,Salvation Army Community Ctr,,publish,1,gd_place,,,"3101,Manchester,NH",",6,",6,0,121 Cedar St,,Manchester,NH,United States,3101,42.9855389,-71.4599119,(603) 627-7013,,,,,,,,
,Salvation Army Food Dstrbtn,,publish,1,gd_place,,,"3060,Nashua,NH",",6,",6,0,1 Montgomery Ave,,Nashua,NH,United States,3060,42.7440176,-71.4586744,(603) 889-5151,,,,,,,,
,Shiloh Food Pantry,,publish,1,gd_place,,,"3102,Manchester,NH",",6,",6,0,461 Straw Rd,,Manchester,NH,United States,3102,43.0171279,-71.5012509,(603) 782-5015,,,,,,,,
,Southern New Hampshire Svc Inc,,publish,1,gd_place,,,"3055,Milford,NH",",6,",6,0,1 Columbus Ave,,Milford,NH,United States,3055,42.8346711,-71.6573697,(603) 924-2243,,,,,,,,
,St Anne Parish,,publish,1,gd_place,,,"3841,Hampstead,NH",",6,",6,0,26 Emerson Ave,,Hampstead,NH,United States,3841,42.8762225,-71.1791528,(603) 329-5886,,,,,,,,
,St John The Baptist SVDP,,publish,1,gd_place,,,"3102,Manchester,NH",",6,",6,0,107 Alsace St,,Manchester,NH,United States,3102,42.996107,-71.4836258,(603) 628-6859,,,,,,,,
,St Paul's Episcopal Church,,publish,1,gd_place,,,"3301,Concord,NH",",6,",6,0,21 Centre St,,Concord,NH,United States,3301,43.2078091,-71.5379916,(603) 224-2523,,,,,,,,
,Trinity Baptist Church,,publish,1,gd_place,,,"3060,Nashua,NH",",6,",6,0,3 Lund Rd,,Nashua,NH,United States,3060,42.7458459,-71.4887936,(603) 883-5764,,,,,,,,
