ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Aceq,,publish,1,gd_place,,,"87514,Arroyo Seco,NM",",6,",6,0,480 State Road 150,,Arroyo Seco,NM,United States,87514,36.5159997,-105.5708636,(575) 776-0900,,,,,,,,
,Alamosa Health & Social Svc,,publish,1,gd_place,,,"87121,Albuquerque,NM",",6,",6,0,6900 Gonzales Rd SW # D,,Albuquerque,NM,United States,87121,35.0712788,-106.7108442,(505) 836-8800,,,,,,,,
,Belen Seventh-Day Adventist,,publish,1,gd_place,,,"87002,Belen,NM",",6,",6,0,115 E Ross Ave,,Belen,NM,United States,87002,34.664231,-106.7649549,(505) 319-3426,,,,,,,,
,Bienvenidos Outreach Program,,publish,1,gd_place,,,"87505,Santa Fe,NM",",6,",6,0,1511 5th St,,Santa Fe,NM,United States,87505,35.6640203,-105.9712271,(505) 986-0583,,,,,,,,
,Carlsbad Outreach Ctr,,publish,1,gd_place,,,"88220,Carlsbad,NM",",6,",6,0,1318 W Mermod St,,Carlsbad,NM,United States,88220,32.4206801,-104.2431142,(575) 887-9217,,,,,,,,
,Child & Adult Care Food Prgm,,publish,1,gd_place,,,"87401,Farmington,NM",",6,",6,0,608 Reilly Ave,,Farmington,NM,United States,87401,36.7368858,-108.2159426,(505) 326-2373,,,,,,,,
,CSFP,,publish,1,gd_place,,,"87401,Farmington,NM",",6,",6,0,401 S Commercial Ave,,Farmington,NM,United States,87401,36.7256915,-108.2047736,(505) 326-3770,,,,,,,,
,Dickersons Catering,,publish,1,gd_place,,,"88011,Las Cruces,NM",",6,",6,0,4100 Dripping Springs Rd,,Las Cruces,NM,United States,88011,32.2970348,-106.7188683,(575) 522-3335,,,,,,,,
,Echo Food Bank,,publish,1,gd_place,,,"87401,Farmington,NM",",6,",6,0,401 S Commercial Ave,,Farmington,NM,United States,87401,36.7256915,-108.2047736,(505) 326-3770,,,,,,,,
,Families-Youth Inc Child-Adult,,publish,1,gd_place,,,"88021,Anthony,NM",",6,",6,0,414 Saint Anthonys St,,Anthony,NM,United States,88021,32.0015956,-106.6038496,(575) 882-0293,,,,,,,,
,Felican Sisters,,publish,1,gd_place,,,"87124,Rio Rancho,NM",",6,",6,0,4106 Pico Norte Ln NE,,Rio Rancho,NM,United States,87124,35.2697194,-106.6588355,(505) 847-7292,,,,,,,,
,Food Depot,,publish,1,gd_place,,,"87507,Santa Fe,NM",",6,",6,0,1222a Siler Rd,,Santa Fe,NM,United States,87507,35.6588151,-105.9952509,(505) 471-1633,,,,,,,,
,Grants Community Pantry,,publish,1,gd_place,,,"87020,Grants,NM",",6,",6,0,222 E Stephens Ave,,Grants,NM,United States,87020,35.1514892,-107.8461303,(505) 287-5090,,,,,,,,
,High Desert United Mthdst Chr,,publish,1,gd_place,,,"87124,Rio Rancho,NM",",6,",6,0,1201 Golf Course Rd SE,,Rio Rancho,NM,United States,87124,35.2366721,-106.6778121,(505) 891-4206,,,,,,,,
,LA Montanita,,publish,1,gd_place,,,"87501,Santa Fe,NM",",6,",6,0,913 W Alameda St,,Santa Fe,NM,United States,87501,35.6893935,-105.9583488,(505) 984-2852,,,,,,,,
,LDS Bishops Storehouse,,publish,1,gd_place,,,"87109,Albuquerque,NM",",6,",6,0,4400 Presidential Dr NE,,Albuquerque,NM,United States,87109,35.1537077,-106.591832,(505) 343-1904,,,,,,,,
,Lincoln C Food Bank,,publish,1,gd_place,,,"88345,Ruidoso,NM",",6,",6,0,138 Service Rd,,Ruidoso,NM,United States,88345,33.3231976,-105.6360706,(575) 257-0682,,,,,,,,
,New Beginnings Church Of God,,publish,1,gd_place,,,"87109,Albuquerque,NM",",6,",6,0,4770 Mntgmy Blvd NE # B110,,Albuquerque,NM,United States,87109,35.1293341,-106.5892536,(505) 883-9569,,,,,,,,
,New Mexico Assn Fd Bnk,,publish,1,gd_place,,,"87109,Albuquerque,NM",",6,",6,0,5840 Office Blvd NE,,Albuquerque,NM,United States,87109,35.1465387,-106.5994879,(505) 217-1066,,,,,,,,
,Pinon Hills Seventh-Day Church,,publish,1,gd_place,,,"87402,Farmington,NM",",6,",6,0,5001 Foothills Dr,,Farmington,NM,United States,87402,36.7742839,-108.1392694,(505) 325-0613,,,,,,,,
,Roadrunner Food Bank,,publish,1,gd_place,,,"87109,Albuquerque,NM",",6,",6,0,5840 Office Blvd NE,,Albuquerque,NM,United States,87109,35.1465387,-106.5994879,(505) 247-2052,,,,,,,,
,Roadrunner Food Bank,,publish,1,gd_place,,,"88001,Las Cruces,NM",",6,",6,0,505 S Main St # 149a,,Las Cruces,NM,United States,88001,32.3037888,-106.7756226,(575) 523-4390,,,,,,,,
,Roadrunner Food Bank Inc,,publish,1,gd_place,,,"87106,Albuquerque,NM",",6,",6,0,2645 Baylor Dr SE,,Albuquerque,NM,United States,87106,35.057891,-106.618183,(505) 242-6471,,,,,,,,
,Salvation Army Community Ctr,,publish,1,gd_place,,,"88201,Roswell,NM",",6,",6,0,612 W College Blvd,,Roswell,NM,United States,88201,33.4084033,-104.5314362,(575) 622-8700,,,,,,,,
,Salvation Army Family Store,,publish,1,gd_place,,,"88203,Roswell,NM",",6,",6,0,207 E Chisum St,,Roswell,NM,United States,88203,33.3769119,-104.5200591,(575) 622-7126,,,,,,,,
,Sol Food Natural Market,,publish,1,gd_place,,,"87514,Arroyo Seco,NM",",6,",6,0,591 Arroyo Hondo Arroyo Sco Rd,,Arroyo Seco,NM,United States,87514,36.5361394,-105.6698971,(575) 776-5765,,,,,,,,
,St John's United Methodist CHR,,publish,1,gd_place,,,"87505,Santa Fe,NM",",6,",6,0,1200 Old Pecos Trl,,Santa Fe,NM,United States,87505,35.671445,-105.9363287,(505) 982-5397,,,,,,,,
,St Vincent De Paul Food Bank,,publish,1,gd_place,,,"88210,Artesia,NM",",6,",6,0,603 S Roselawn Ave,,Artesia,NM,United States,88210,32.8364077,-104.399674,(575) 748-8824,,,,,,,,
,Storehouse,,publish,1,gd_place,,,"87102,Albuquerque,NM",",6,",6,0,106 Broadway Blvd SE,,Albuquerque,NM,United States,87102,35.0831972,-106.6442818,(505) 842-6491,,,,,,,,
