ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Amen Food Pantry,,publish,1,gd_place,,,"58601,Dickinson,ND",",6,",6,0,1100 3rd Ave W,,Dickinson,ND,United States,58601,46.8924036,-102.7888554,(701) 483-4344,,,,,,,,
,Belfield/Medora Food Pantry,,publish,1,gd_place,,,"58622,Belfield,ND",",6,",6,0,508 2nd Ave NE,,Belfield,ND,United States,58622,46.8856535,-103.1923234,(701) 559-5850,,,,,,,,
,Bismarck Emergency Food Pantry,,publish,1,gd_place,,,"58504,Bismarck,ND",",6,",6,0,1012 S 12th St # B,,Bismarck,ND,United States,58504,46.7941115,-100.7744871,(701) 258-9188,,,,,,,,
,Emergency Food Pantry,,publish,1,gd_place,,,"58102,Fargo,ND",",6,",6,0,1101 4th Ave N,,Fargo,ND,United States,58102,46.8808854,-96.7960713,(701) 237-9337,,,,,,,,
,Food Pantry-Our Lady Of Grace,,publish,1,gd_place,,,"58701,Minot,ND",",6,",6,0,707 16th Ave SW,,Minot,ND,United States,58701,48.2172825,-101.3042287,(701) 839-5520,,,,,,,,
,Great Plains Food Bank,,publish,1,gd_place,,,"58504,Bismarck,ND",",6,",6,0,1315 S 20th St,,Bismarck,ND,United States,58504,46.7898975,-100.7601231,(701) 751-6188,,,,,,,,
,Great Plains Food Bank,,publish,1,gd_place,,,"58102,Fargo,ND",",6,",6,0,1720 3rd Ave N,,Fargo,ND,United States,58102,46.8788721,-96.8096937,(701) 232-6219,,,,,,,,
,Harvey Food Pantry,,publish,1,gd_place,,,"58341,Harvey,ND",",6,",6,0,708 Alder Ave,,Harvey,ND,United States,58341,47.7716437,-99.9361091,(701) 324-4645,,,,,,,,
,Hope Center,,publish,1,gd_place,,,"58301,Devils Lake,ND",",6,",6,0,313 3rd St NE,,Devils Lake,ND,United States,58301,48.1111291,-98.8610208,(701) 665-4673,,,,,,,,
,Lords Cupboard,,publish,1,gd_place,,,"58701,Minot,ND",",6,",6,0,1725 Burdick Expy W,,Minot,ND,United States,58701,48.2242905,-101.3171909,(701) 839-1990,,,,,,,,
,Richland Wilkin Food Pantry,,publish,1,gd_place,,,"58075,Wahpeton,ND",",6,",6,0,699 8th Ave S,,Wahpeton,ND,United States,58075,46.256637,-96.6103299,(701) 642-1921,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"58401,Jamestown,ND",",6,",6,0,320 1st Ave N,,Jamestown,ND,United States,58401,46.9114623,-98.7081837,(701) 252-0290,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"58701,Minot,ND",",6,",6,0,315 Western Ave,,Minot,ND,United States,58701,48.2337915,-101.2980813,(701) 838-8925,,,,,,,,
,Squash Hunger,,publish,1,gd_place,,,"58072,Valley City,ND",",6,",6,0,402 11 1/2 St NW,,Valley City,ND,United States,58072,46.9347925,-98.0076251,,,,,,,,,
,Trenton Commodities Food Prgm,,publish,1,gd_place,,,"58853,Trenton,ND",",6,",6,0,PO Box 210,,Trenton,ND,United States,58853,48.0705556,-103.8369443,(701) 572-1130,,,,,,,,
