ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,AFL-Cio Labor Food Pantry,,publish,1,gd_place,,,"45414,Dayton,OH",",6,",6,0,6550 Poe Ave,,Dayton,OH,United States,45414,39.8446905,-84.1871944,(937) 454-6901,,,,,,,,
,Community Care,,publish,1,gd_place,,,"44039,North Ridgeville,OH",",6,",6,0,34015 Center Ridge Rd,,North Ridgeville,OH,United States,44039,41.3979451,-81.993831,(440) 353-9716,,,,,,,,
,Community Care Ctr,,publish,1,gd_place,,,"45144,Manchester,OH",",6,",6,0,212 W 2nd St,,Manchester,OH,United States,45144,38.6864958,-83.6107202,(937) 549-8700,,,,,,,,
,Community Care Ctr,,publish,1,gd_place,,,"45144,Manchester,OH",",6,",6,0,Pike & US 52,,Manchester,OH,United States,45144,38.687204,-83.6088728,(937) 549-8700,,,,,,,,
,Community Kitchen,,publish,1,gd_place,,,"44110,Cleveland,OH",",6,",6,0,15500 S Waterloo Rd,,Cleveland,OH,United States,44110,41.5670782,-81.572496,(216) 738-2045,,,,,,,,
,Community UCC,,publish,1,gd_place,,,"44122,Shaker Heights,OH",",6,",6,0,20120 Lomond Blvd,,Shaker Heights,OH,United States,44122,41.4629872,-81.5379498,(216) 561-8358,,,,,,,,
,Compass Christian Church,,publish,1,gd_place,,,"45040,Mason,OH",",6,",6,0,6771 Tylersville Rd,,Mason,OH,United States,45040,39.3511952,-84.3386726,(513) 754-0777,,,,,,,,
,Cridersville UMC Calavary Cmps,,publish,1,gd_place,,,"45806,Cridersville,OH",",6,",6,0,510 E Sugar St,,Cridersville,OH,United States,45806,40.6554867,-84.1353997,(419) 645-4878,,,,,,,,
,Daily Bread Ctr,,publish,1,gd_place,,,"43935,Martins Ferry,OH",",6,",6,0,418 Walnut St,,Martins Ferry,OH,United States,43935,40.0960141,-80.7251649,(740) 609-3063,,,,,,,,
,Dayton Right To Life,,publish,1,gd_place,,,"45404,Dayton,OH",",6,",6,0,425 N Findlay St,,Dayton,OH,United States,45404,39.7718833,-84.1597534,(937) 461-3625,,,,,,,,
,Doylestown Food Cupboard,,publish,1,gd_place,,,"44230,Doylestown,OH",",6,",6,0,153 Church St,,Doylestown,OH,United States,44230,40.9695324,-81.6933373,(330) 658-7744,,,,,,,,
,Emergency Assistance Ctr Inc,,publish,1,gd_place,,,"44067,Northfield,OH",",6,",6,0,9199 Olde 8 Rd # C,,Northfield,OH,United States,44067,41.3111398,-81.5355299,(330) 467-7945,,,,,,,,
,Enon Emergency Relief,,publish,1,gd_place,,,"45323,Enon,OH",",6,",6,0,135 S Harrison St,,Enon,OH,United States,45323,39.8767484,-83.933756,(937) 864-1578,,,,,,,,
,Euclid Hunger Task Force,,publish,1,gd_place,,,"44123,Cleveland,OH",",6,",6,0,291 E 222nd St,,Cleveland,OH,United States,44123,41.6066619,-81.5262955,(216) 731-3329,,,,,,,,
,Faith Lutheran Chr Food Pantry,,publish,1,gd_place,,,"44004,Ashtabula,OH",",6,",6,0,504 Lake Ave,,Ashtabula,OH,United States,44004,41.8965058,-80.8044533,(440) 964-7191,,,,,,,,
,Family & Community,,publish,1,gd_place,,,"44266,Ravenna,OH",",6,",6,0,1081 W Main St,,Ravenna,OH,United States,44266,41.1580499,-81.2629391,(330) 297-5454,,,,,,,,
,Family Needs Inc,,publish,1,gd_place,,,"45506,Springfield,OH",",6,",6,0,36 E Grand Ave,,Springfield,OH,United States,45506,39.9121888,-83.8100977,(937) 521-2800,,,,,,,,
