ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Bethel Foundation,,publish,1,gd_place,,,"73114,Oklahoma City,OK",",6,",6,0,13003 N Western Ave,,Oklahoma City,OK,United States,73114,35.6013042,-97.532514,(405) 286-3700,,,,,,,,
,Bethel Foundation Events,,publish,1,gd_place,,,"73114,Oklahoma City,OK",",6,",6,0,13003 N Western Ave,,Oklahoma City,OK,United States,73114,35.6013042,-97.532514,(405) 286-3602,,,,,,,,
,Big Five,,publish,1,gd_place,,,"73448,Marietta,OK",",6,",6,0,910 W Main St,,Marietta,OK,United States,73448,33.9380738,-97.1281561,(580) 276-5122,,,,,,,,
,Bixby Outreach Ctr,,publish,1,gd_place,,,"74008,Bixby,OK",",6,",6,0,77 E Breckenridge Ave,,Bixby,OK,United States,74008,35.9417932,-95.8820915,(918) 366-9226,,,,,,,,
,Britton Christian Church,,publish,1,gd_place,,,"73114,Oklahoma City,OK",",6,",6,0,922 NW 91st St,,Oklahoma City,OK,United States,73114,35.5631276,-97.5295897,(405) 848-2046,,,,,,,,
,Britvil Community Food Pantry,,publish,1,gd_place,,,"73114,Oklahoma City,OK",",6,",6,0,8717 N Western Ave,,Oklahoma City,OK,United States,73114,35.5594216,-97.5316923,(405) 842-1275,,,,,,,,
,Cellular Gizmos Access,,publish,1,gd_place,,,"73505,Lawton,OK",",6,",6,0,608 NW Sheridan Rd,,Lawton,OK,United States,73505,34.6153981,-98.4228761,(580) 351-9825,,,,,,,,
,Christian Help Ctr,,publish,1,gd_place,,,"74344,Grove,OK",",6,",6,0,1703 E Highway 10,,Grove,OK,United States,74344,36.5985351,-94.742846,(918) 786-6798,,,,,,,,
,Christian Helping Hands-Cmnch,,publish,1,gd_place,,,"73529,Comanche,OK",",6,",6,0,608 Oak Main Ave,,Comanche,OK,United States,73529,34.3686493,-97.968439,(580) 439-5712,,,,,,,,
,Church Of Christ,,publish,1,gd_place,,,"74012,Broken Arrow,OK",",6,",6,0,505 E Kenosha St,,Broken Arrow,OK,United States,74012,36.0595342,-95.7844713,(918) 258-9602,,,,,,,,
,Church Of Jesus Christ Of LDS,,publish,1,gd_place,,,"73173,Oklahoma City,OK",",6,",6,0,11224 S Meridian Ave,,Oklahoma City,OK,United States,73173,35.3543429,-97.5999387,(405) 691-6788,,,,,,,,
,Cleveland Area Fond Bank,,publish,1,gd_place,,,"74020,Cleveland,OK",",6,",6,0,365525 E Highway 64,,Cleveland,OK,United States,74020,36.305725,-96.487206,(918) 358-5893,,,,,,,,
,Community Food Bank-EASTERN Ok,,publish,1,gd_place,,,"74501,Mcalester,OK",",6,",6,0,2119 N Main St,,Mcalester,OK,United States,74501,34.948631,-95.7645053,(918) 429-7755,,,,,,,,
,Community Food Bank-EASTERN Ok,,publish,1,gd_place,,,"74106,Tulsa,OK",",6,",6,0,1304 N Kenosha Ave,,Tulsa,OK,United States,74106,36.1732264,-95.983175,(918) 585-2800,,,,,,,,
,Community Market-Pottawatomie,,publish,1,gd_place,,,"74801,Shawnee,OK",",6,",6,0,120 S Center Ave,,Shawnee,OK,United States,74801,35.3269922,-96.9081421,(405) 788-4957,,,,,,,,
,Craig County Neighbors Helping,,publish,1,gd_place,,,"74301,Vinita,OK",",6,",6,0,224 W Sequoyah Ave,,Vinita,OK,United States,74301,36.6432097,-95.1551403,(918) 713-8088,,,,,,,,
,Delta Communityn Action Fndtn,,publish,1,gd_place,,,"73075,Pauls Valley,OK",",6,",6,0,225 W Mcclure Ave,,Pauls Valley,OK,United States,73075,34.7321087,-97.225668,(405) 238-3838,,,,,,,,
,Entrepreneur School For Kids,,publish,1,gd_place,,,"73135,Oklahoma City,OK",",6,",6,0,4520 S Bryant Ave,,Oklahoma City,OK,United States,73135,35.4204572,-97.459176,(405) 900-6701,,,,,,,,
,First Baptist Church,,publish,1,gd_place,,,"74030,Drumright,OK",",6,",6,0,229 S Ohio Ave,,Drumright,OK,United States,74030,35.9870982,-96.5994668,(918) 352-2559,,,,,,,,
,First Baptist Church Ardmore,,publish,1,gd_place,,,"73401,Ardmore,OK",",6,",6,0,225 1st Ave SW,,Ardmore,OK,United States,73401,34.1727067,-97.1328249,(580) 223-1473,,,,,,,,
,God's Food Bank Inc,,publish,1,gd_place,,,"73044,Guthrie,OK",",6,",6,0,402 W Vilas Ave,,Guthrie,OK,United States,73044,35.8762932,-97.4290517,(405) 260-1412,,,,,,,,
,Golden's Gas & Grill,,publish,1,gd_place,,,"74820,Ada,OK",",6,",6,0,11880 State Highway 3w,,Ada,OK,United States,74820,34.8131868,-96.7574498,(580) 310-0022,,,,,,,,
,Gracefully Resale Shop,,publish,1,gd_place,,,"74728,Broken Bow,OK",",6,",6,0,1406 S Park Dr,,Broken Bow,OK,United States,74728,34.0124283,-94.7402268,(580) 584-2473,,,,,,,,
,Great Plains Imprvmt Fndtn,,publish,1,gd_place,,,"73501,Lawton,OK",",6,",6,0,2 SE Lee Blvd # 200,,Lawton,OK,United States,73501,34.5947298,-98.3868165,(580) 353-2364,,,,,,,,
,Hands Of Hope Inc,,publish,1,gd_place,,,"74701,Durant,OK",",6,",6,0,724 W Main St,,Durant,OK,United States,74701,33.9929712,-96.3839337,(580) 920-2574,,,,,,,,
,Hands Of Jesus,,publish,1,gd_place,,,"73044,Guthrie,OK",",6,",6,0,2403 W Noble Ave,,Guthrie,OK,United States,73044,35.8793189,-97.4543415,(405) 260-3440,,,,,,,,
,Helping Hands Food Program,,publish,1,gd_place,,,"73065,Newcastle,OK",",6,",6,0,PO Box 540,,Newcastle,OK,United States,73065,35.2620934,-97.5897372,(405) 392-3524,,,,,,,,
,Hope Center,,publish,1,gd_place,,,"73801,Woodward,OK",",6,",6,0,810 Santa Fe St,,Woodward,OK,United States,73801,36.438679,-99.3897338,(580) 290-5029,,,,,,,,
,Hope Center Edmond,,publish,1,gd_place,,,"73034,Edmond,OK",",6,",6,0,1251 N Broadway,,Edmond,OK,United States,73034,35.6665237,-97.4811646,(405) 348-1340,,,,,,,,
,Inter-Tribal Council Inc,,publish,1,gd_place,,,"74354,Miami,OK",",6,",6,0,114 S Eight Tribes Trl,,Miami,OK,United States,74354,36.8751618,-94.8465204,(918) 542-3443,,,,,,,,
,Just For Kids Food Program,,publish,1,gd_place,,,"73010,Blanchard,OK",",6,",6,0,7629 Ponderosa Ln,,Blanchard,OK,United States,73010,35.20956,-97.649823,(405) 387-9455,,,,,,,,
,Kiamichi Mountains Christian,,publish,1,gd_place,,,"74549,Honobia,OK",",6,",6,0,37529 Indian Trl,,Honobia,OK,United States,74549,34.5287904,-94.9870491,(580) 244-3473,,,,,,,,
,Lord's Harvest,,publish,1,gd_place,,,"73036,El Reno,OK",",6,",6,0,1020 Sunset Dr,,El Reno,OK,United States,73036,35.5325096,-97.9647565,(405) 422-2001,,,,,,,,
,Manna Pantry,,publish,1,gd_place,,,"73099,Yukon,OK",",6,",6,0,123 S 6th St,,Yukon,OK,United States,73099,35.5060192,-97.7519373,(405) 265-0193,,,,,,,,
,Mission House,,publish,1,gd_place,,,"73601,Clinton,OK",",6,",6,0,300 S 7th St,,Clinton,OK,United States,73601,35.5121135,-98.9686795,(580) 323-6820,,,,,,,,
,Mission Master's Market,,publish,1,gd_place,,,"73110,Oklahoma City,OK",",6,",6,0,5751 E Reno Ave,,Oklahoma City,OK,United States,73110,35.4645563,-97.4210074,(405) 737-2010,,,,,,,,
,Mission Mid-Del Inc,,publish,1,gd_place,,,"73110,Oklahoma City,OK",",6,",6,0,5751 E Reno Ave,,Oklahoma City,OK,United States,73110,35.4645563,-97.4210074,(405) 737-2010,,,,,,,,
,Misson Food,,publish,1,gd_place,,,"73128,Oklahoma City,OK",",6,",6,0,1131 Enterprise Ave,,Oklahoma City,OK,United States,73128,35.4542106,-97.6044451,(405) 917-5266,,,,,,,,
,New Life Assembly Of God,,publish,1,gd_place,,,"73527,Cache,OK",",6,",6,0,501 W B Ave,,Cache,OK,United States,73527,34.6299241,-98.6292535,(580) 429-3342,,,,,,,,
,Newcastle Christian Church,,publish,1,gd_place,,,"73065,Newcastle,OK",",6,",6,0,2200 N Main St,,Newcastle,OK,United States,73065,35.2744622,-97.5979501,(405) 387-4100,,,,,,,,
,Northstar Church Pryor,,publish,1,gd_place,,,"74361,Pryor,OK",",6,",6,0,521 N Adair St,,Pryor,OK,United States,74361,36.3154203,-95.31507,(918) 825-2885,,,,,,,,
,Pleasant Home Baptist Church,,publish,1,gd_place,,,"74864,Prague,OK",",6,",6,0,51960 Moccasin Trail Rd,,Prague,OK,United States,74864,35.4344239,-96.7366459,(405) 432-9228,,,,,,,,
,Project 66,,publish,1,gd_place,,,"73013,Edmond,OK",",6,",6,0,2612 S Kelly Ave,,Edmond,OK,United States,73013,35.6290232,-97.4955417,(405) 341-1353,,,,,,,,
,Ray Of Hope Church,,publish,1,gd_place,,,"73529,Comanche,OK",",6,",6,0,Refinery Road & Highway 81,,Comanche,OK,United States,73529,34.4199271,-97.9741454,(580) 252-7772,,,,,,,,
,Regional Food Bank,,publish,1,gd_place,,,"73179,Oklahoma City,OK",",6,",6,0,3355 S Purdue St,,Oklahoma City,OK,United States,73179,35.4311191,-97.6146581,(405) 972-1111,,,,,,,,
,Saints Peter-Paul Catholic Chr,,publish,1,gd_place,,,"74023,Cushing,OK",",6,",6,0,214 N Steele Ave,,Cushing,OK,United States,74023,35.9818797,-96.7687222,(918) 225-0644,,,,,,,,
,Sallisaw Nutrition Ctr,,publish,1,gd_place,,,"74955,Sallisaw,OK",",6,",6,0,115 W Redwood Ave,,Sallisaw,OK,United States,74955,35.4634683,-94.7908988,(918) 775-6855,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"73521,Altus,OK",",6,",6,0,1100 N Park Ln,,Altus,OK,United States,73521,34.6477544,-99.315598,(580) 482-8577,,,,,,,,
,Salvation Army,,publish,1,gd_place,,,"73701,Enid,OK",",6,",6,0,220 W Pine Ave,,Enid,OK,United States,73701,36.4015616,-97.8809614,(580) 237-4123,,,,,,,,
,Salvation Army Lawton,,publish,1,gd_place,,,"73501,Lawton,OK",",6,",6,0,1306 SW E Ave,,Lawton,OK,United States,73501,34.6026484,-98.4081478,(580) 355-1802,,,,,,,,
,Salvation Army Norman,,publish,1,gd_place,,,"73069,Norman,OK",",6,",6,0,318 E Hayes St,,Norman,OK,United States,73069,35.23218,-97.44179,(405) 364-9910,,,,,,,,
,Samaritans,,publish,1,gd_place,,,"73075,Pauls Valley,OK",",6,",6,0,1000 N Ash,,Pauls Valley,OK,United States,73075,34.7459773,-97.2308613,(405) 207-9077,,,,,,,,
,Seventh-Day Adventist Church,,publish,1,gd_place,,,"73858,Shattuck,OK",",6,",6,0,511 S Santa Fe St,,Shattuck,OK,United States,73858,36.2712861,-99.8780407,(580) 938-2978,,,,,,,,
,Sister Bj's Pantry,,publish,1,gd_place,,,"73106,Oklahoma City,OK",",6,",6,0,819 NW 4th St,,Oklahoma City,OK,United States,73106,35.472315,-97.5266702,(405) 837-7068,,,,,,,,
,Springdale Baptist Church,,publish,1,gd_place,,,"74110,Tulsa,OK",",6,",6,0,1511 N Lewis Ave,,Tulsa,OK,United States,74110,36.1773107,-95.9578524,(918) 585-9472,,,,,,,,
,SSCS,,publish,1,gd_place,,,"74063,Sand Springs,OK",",6,",6,0,114 W 4th St,,Sand Springs,OK,United States,74063,36.1407359,-96.1114533,(918) 245-5183,,,,,,,,
,St Andrews Catholic Church,,publish,1,gd_place,,,"73160,Moore,OK",",6,",6,0,800 NW 5th St,,Moore,OK,United States,73160,35.340169,-97.5009946,(405) 799-3334,,,,,,,,
,Star Church North,,publish,1,gd_place,,,"74361,Pryor,OK",",6,",6,0,5 S Vann St,,Pryor,OK,United States,74361,36.3069578,-95.3157871,(918) 825-3045,,,,,,,,
,Stroud Food Pantry,,publish,1,gd_place,,,"74079,Stroud,OK",",6,",6,0,211 N 3rd Ave,,Stroud,OK,United States,74079,35.7484879,-96.6561907,(918) 987-0210,,,,,,,,
,Tulsa Neighborhood Ntwrk Inc,,publish,1,gd_place,,,"74107,Tulsa,OK",",6,",6,0,1529 W 49th St,,Tulsa,OK,United States,74107,36.0928992,-96.0097845,(918) 447-1130,,,,,,,,
,Victory Life Food Bank,,publish,1,gd_place,,,"74701,Durant,OK",",6,",6,0,724 W Main St,,Durant,OK,United States,74701,33.9929712,-96.3839337,(580) 745-9225,,,,,,,,
,Western OK Family Care Ctr,,publish,1,gd_place,,,"73644,Elk City,OK",",6,",6,0,609 W E Ave,,Elk City,OK,United States,73644,35.4186544,-99.4115028,(580) 225-5500,,,,,,,,
,Yukon Sharing Ministry,,publish,1,gd_place,,,"73099,Yukon,OK",",6,",6,0,4 N 6th St,,Yukon,OK,United States,73099,35.5082562,-97.752386,(405) 354-9456,,,,,,,,
