ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,A Town Area Ecum,,publish,1,gd_place,,,"18102,Allentown,PA",",6,",6,0,534 Chew St,,Allentown,PA,United States,18102,40.6068675,-75.4713089,(610) 821-1332,,,,,,,,
,Allentown Area Ecumenical Food,,publish,1,gd_place,,,"18102,Allentown,PA",",6,",6,0,417 N 14th St,,Allentown,PA,United States,18102,40.6047976,-75.4885594,(610) 821-1332,,,,,,,,
,Altoona Food Bank,,publish,1,gd_place,,,"16601,Altoona,PA",",6,",6,0,2318 N Branch Ave,,Altoona,PA,United States,16601,40.5043432,-78.4083259,(814) 944-4013,,,,,,,,
,Area Food Pantry Brookville,,publish,1,gd_place,,,"15825,Brookville,PA",",6,",6,0,142 Allegheny Blvd,,Brookville,PA,United States,15825,41.1578874,-79.0979989,(814) 849-0818,,,,,,,,
,BCHG Community Food Pantry,,publish,1,gd_place,,,"19047,Langhorne,PA",",6,",6,0,349 Durham Rd,,Langhorne,PA,United States,19047,40.158784,-74.9072375,(215) 750-4344,,,,,,,,
,Bebashi,,publish,1,gd_place,,,"19123,Philadelphia,PA",",6,",6,0,1235 Spring Garden St # 1,,Philadelphia,PA,United States,19123,39.962199,-75.1586904,(215) 769-3561,,,,,,,,
,Bedford Food Outreach Inc,,publish,1,gd_place,,,"15522,Bedford,PA",",6,",6,0,140 School St,,Bedford,PA,United States,15522,40.0312966,-78.5056927,(814) 623-4888,,,,,,,,
,Berachah Church,,publish,1,gd_place,,,"19012,Cheltenham,PA",",6,",6,0,400 Ashbourne Rd,,Cheltenham,PA,United States,19012,40.0611653,-75.0999413,(215) 379-8700,,,,,,,,
,Betty Inc,,publish,1,gd_place,,,"19148,Philadelphia,PA",",6,",6,0,1800 S Columbus Blvd,,Philadelphia,PA,United States,19148,39.9247471,-75.1447883,(215) 339-9999,,,,,,,,
,Betty Lou's Food Pantry,,publish,1,gd_place,,,"18036,Coopersburg,PA",",6,",6,0,333 E Oxford St,,Coopersburg,PA,United States,18036,40.512275,-75.3859149,(610) 282-2838,,,,,,,,
,Blessings Of Hope,,publish,1,gd_place,,,"17540,Leola,PA",",6,",6,0,500 Becker Rd,,Leola,PA,United States,17540,40.1225079,-76.2487266,(717) 556-8807,,,,,,,,
,Bowery Mission,,publish,1,gd_place,,,"17543,Lititz,PA",",6,",6,0,,,Lititz,PA,United States,17543,40.1573169,-76.3069014,(717) 738-4853,,,,,,,,
