ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Connecting For Child-Families,,publish,1,gd_place,,,"2895,Woonsocket,RI",",6,",6,0,46 Hope St,,Woonsocket,RI,United States,2895,41.9993518,-71.5199616,(401) 766-3384,,,,,,,,
,East Bay Food Pantry,,publish,1,gd_place,,,"2809,Bristol,RI",",6,",6,0,532 Wood St,,Bristol,RI,United States,2809,41.674441,-71.272136,(401) 396-9490,,,,,,,,
,East Bay Food Pantry & Thrift,,publish,1,gd_place,,,"2809,Bristol,RI",",6,",6,0,532 Wood St,,Bristol,RI,United States,2809,41.674441,-71.272136,(401) 396-9490,,,,,,,,
,Eastbay Community Action Prgm,,publish,1,gd_place,,,"2878,Tiverton,RI",",6,",6,0,1048 Stafford Rd,,Tiverton,RI,United States,2878,41.6342406,-71.1474771,(401) 625-5134,,,,,,,,
,Ebaneze Baptist Church Office,,publish,1,gd_place,,,"2907,Providence,RI",",6,",6,0,475 Cranston St,,Providence,RI,United States,2907,41.810203,-71.4332394,(401) 351-1368,,,,,,,,
,Good Neighbors,,publish,1,gd_place,,,"2915,Riverside,RI",",6,",6,0,55 Turner Ave,,Riverside,RI,United States,2915,41.7707653,-71.3584072,(401) 433-0045,,,,,,,,
,Jamestown Community FD Pantry,,publish,1,gd_place,,,"2835,Jamestown,RI",",6,",6,0,99 Narragansett Ave,,Jamestown,RI,United States,2835,41.4959386,-71.374528,(401) 560-4080,,,,,,,,
,Mary House,,publish,1,gd_place,,,"2908,Providence,RI",",6,",6,0,244 Smith St,,Providence,RI,United States,2908,41.8324254,-71.4196892,(401) 274-6286,,,,,,,,
,Meals On Wheels Of RI Inc,,publish,1,gd_place,,,"2908,Providence,RI",",6,",6,0,70 Bath St,,Providence,RI,United States,2908,41.8321939,-71.4249338,(401) 351-6700,,,,,,,,
,North Kingstown Food Pantry,,publish,1,gd_place,,,"2852,North Kingstown,RI",",6,",6,0,445 School St,,North Kingstown,RI,United States,2852,41.6153564,-71.4712995,(401) 885-3663,,,,,,,,
,Our Lady Of The Rosary Church,,publish,1,gd_place,,,"2903,Providence,RI",",6,",6,0,21 Traverse St,,Providence,RI,United States,2903,41.818532,-71.3995464,(401) 421-5621,,,,,,,,
,Rhode Island Cmnty Food Bank,,publish,1,gd_place,,,"2907,Providence,RI",",6,",6,0,200 Niantic Ave,,Providence,RI,United States,2907,41.796824,-71.4378062,(401) 942-6325,,,,,,,,
,Rhode Island Cmnty Food Bank,,publish,1,gd_place,,,"2909,Providence,RI",",6,",6,0,261 Manton Ave,,Providence,RI,United States,2909,41.8218701,-71.4487622,(401) 714-0057,,,,,,,,
,Rhode Island Ctr Assisting,,publish,1,gd_place,,,"2813,Charlestown,RI",",6,",6,0,805 Alton Carolina Rd,,Charlestown,RI,United States,2813,41.4541108,-71.6612632,(401) 364-9412,,,,,,,,
,St Rita's Church,,publish,1,gd_place,,,"2889,Warwick,RI",",6,",6,0,722 Oakland Beach Ave,,Warwick,RI,United States,2889,41.6892753,-71.3978798,(401) 738-1800,,,,,,,,
,St Vincent De Paul Society,,publish,1,gd_place,,,"2828,Greenville,RI",",6,",6,0,620 Putnam Pike,,Greenville,RI,United States,2828,41.8732637,-71.5597852,(401) 949-2949,,,,,,,,
,Women's Refugee Care,,publish,1,gd_place,,,"2907,Providence,RI",",6,",6,0,570 Broad St,,Providence,RI,United States,2907,41.8089326,-71.4203118,(401) 563-8570,,,,,,,,
