ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Andrews Food Pantry,,publish,1,gd_place,,,"29510,Andrews,SC",",6,",6,0,15 W Main St,,Andrews,SC,United States,29510,33.4512318,-79.5620342,(843) 264-5811,,,,,,,,
,Bread Of Life Food Pantry,,publish,1,gd_place,,,"29512,Bennettsville,SC",",6,",6,0,116 Broad St,,Bennettsville,SC,United States,29512,34.6158767,-79.6841738,(843) 535-0950,,,,,,,,
,Chapin We Care Ctr,,publish,1,gd_place,,,"29036,Chapin,SC",",6,",6,0,1808 Chapin Rd,,Chapin,SC,United States,29036,34.1725747,-81.3646681,(803) 345-3244,,,,,,,,
,Cherry Hill Mssnry Bapt Chr,,publish,1,gd_place,,,"29526,Conway,SC",",6,",6,0,421 Smith St,,Conway,SC,United States,29526,33.833677,-79.05802,(843) 488-2265,,,,,,,,
,Christ Central Ministries Inc,,publish,1,gd_place,,,"29201,Columbia,SC",",6,",6,0,2401 Main St,,Columbia,SC,United States,29201,34.0173219,-81.0411782,(803) 765-1998,,,,,,,,
,Christian Services Family Str,,publish,1,gd_place,,,"29720,Lancaster,SC",",6,",6,0,1227 Great Falls Rd,,Lancaster,SC,United States,29720,34.7049808,-80.7663269,(803) 285-9327,,,,,,,,
,Deep Well Project,,publish,1,gd_place,,,"29926,Hilton Head Island,SC",",6,",6,0,80 Capital Dr,,Hilton Head Island,SC,United States,29926,32.2069098,-80.7112999,(843) 785-2849,,,,,,,,
,Fairfield Community Food Bank,,publish,1,gd_place,,,"29180,Winnsboro,SC",",6,",6,0,96 US Highway 321 Byp N,,Winnsboro,SC,United States,29180,34.369539,-81.1011709,(803) 635-9234,,,,,,,,
,Feed A Hungry Child Pickens,,publish,1,gd_place,,,"29640,Easley,SC",",6,",6,0,108 Old Sawmill Rd,,Easley,SC,United States,29640,34.8539033,-82.6670572,(864) 897-9890,,,,,,,,
,First Baptist Helping Ministry,,publish,1,gd_place,,,"29306,Spartanburg,SC",",6,",6,0,250 E Main St,,Spartanburg,SC,United States,29306,34.9514589,-81.9274002,(864) 596-4109,,,,,,,,
,First Baptist Spartanburg,,publish,1,gd_place,,,"29306,Spartanburg,SC",",6,",6,0,250 E Main St,,Spartanburg,SC,United States,29306,34.9514589,-81.9274002,(864) 583-7245,,,,,,,,
