ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Aurora County Community Room,,publish,1,gd_place,,,"57368,Plankinton,SD",",6,",6,0,401 N Main St,,Plankinton,SD,United States,57368,43.7175734,-98.4856614,(605) 942-7754,,,,,,,,
,Baltic Food Bank,,publish,1,gd_place,,,"57003,Baltic,SD",",6,",6,0,500 3rd St,,Baltic,SD,United States,57003,43.7593941,-96.7380675,(605) 529-5032,,,,,,,,
,Belle Fourche Compassion Cpbrd,,publish,1,gd_place,,,"57717,Belle Fourche,SD",",6,",6,0,522 5th Ave,,Belle Fourche,SD,United States,57717,44.6732876,-103.853451,,,,,,,,,
,Beresford Community Food Cpbrd,,publish,1,gd_place,,,"57004,Beresford,SD",",6,",6,0,106 N 3rd St,,Beresford,SD,United States,57004,43.0809451,-96.7737631,(605) 763-8888,,,,,,,,
,Beresford Community Food Cpbrd,,publish,1,gd_place,,,"57004,Beresford,SD",",6,",6,0,106 N 3rd St,,Beresford,SD,United States,57004,43.0809451,-96.7737631,(605) 763-8888,,,,,,,,
,Brookings Food Pantry,,publish,1,gd_place,,,"57006,Brookings,SD",",6,",6,0,217 4th St,,Brookings,SD,United States,57006,44.3093416,-96.8009819,(605) 692-5007,,,,,,,,
,Cheyenne River Sioux Tribe,,publish,1,gd_place,,,"57625,Eagle Butte,SD",",6,",6,0,PO Box 1852,,Eagle Butte,SD,United States,57625,44.9886537,-101.2224805,(605) 964-4800,,,,,,,,
,Community Food Banks Of SD,,publish,1,gd_place,,,"57703,Rapid City,SD",",6,",6,0,1111 N Creek Dr,,Rapid City,SD,United States,57703,44.0962759,-103.1784211,(605) 348-2689,,,,,,,,
,Community Thrift Store,,publish,1,gd_place,,,"57580,Winner,SD",",6,",6,0,222 S Main St,,Winner,SD,United States,57580,43.3760267,-99.8564421,(605) 842-1525,,,,,,,,
,Country Cupboard Food Pantry,,publish,1,gd_place,,,"57790,Wall,SD",",6,",6,0,505 Glenn St,,Wall,SD,United States,57790,43.9930154,-102.2394588,(605) 279-1045,,,,,,,,
,Country Cupboard Wall FD Pntry,,publish,1,gd_place,,,"57790,Creighton,SD",",6,",6,0,20453 Wilsey Rd,,Creighton,SD,United States,57790,44.4332983,-102.1113337,,,,,,,,,
,Faith In Action/Food Pantry,,publish,1,gd_place,,,"57004,Beresford,SD",",6,",6,0,300 W Main St,,Beresford,SD,United States,57004,43.0807465,-96.7774543,(605) 763-8019,,,,,,,,
,Feeding South Dakota,,publish,1,gd_place,,,"57501,Pierre,SD",",6,",6,0,20562 Grace Ave,,Pierre,SD,United States,57501,44.4012699,-100.2842919,(605) 224-1158,,,,,,,,
,Feeding South Dakota,,publish,1,gd_place,,,"57107,Sioux Falls,SD",",6,",6,0,4701 N Westport Ave,,Sioux Falls,SD,United States,57107,43.5977759,-96.7626319,(605) 335-0364,,,,,,,,
,Lord's Cupboard,,publish,1,gd_place,,,"57754,Lead,SD",",6,",6,0,111 S Main St,,Lead,SD,United States,57754,44.3494434,-103.7748129,(605) 584-3263,,,,,,,,
,Oblate Sisters-The Blessed,,publish,1,gd_place,,,"57361,Marty,SD",",6,",6,0,103 Church Dr,,Marty,SD,United States,57361,43.0799,-98.29316,(605) 384-3305,,,,,,,,
,Risen Savior Catholic Church,,publish,1,gd_place,,,"57005,Brandon,SD",",6,",6,0,301 N Splitrock Blvd,,Brandon,SD,United States,57005,43.5978093,-96.573751,(605) 582-6902,,,,,,,,
,Spearfish Community Pantry,,publish,1,gd_place,,,"57783,Spearfish,SD",",6,",6,0,131 Yankee St,,Spearfish,SD,United States,57783,44.5063329,-103.8617551,(605) 642-0940,,,,,,,,
,Storehouse,,publish,1,gd_place,,,"57730,Custer,SD",",6,",6,0,66 Centennial Dr,,Custer,SD,United States,57730,43.7625498,-103.608321,(605) 673-3565,,,,,,,,
,Thrift Store At Mobridge,,publish,1,gd_place,,,"57601,Mobridge,SD",",6,",6,0,217 N Main St,,Mobridge,SD,United States,57601,45.5350803,-100.4343317,(605) 845-7855,,,,,,,,
,Vermillion Food Pantry,,publish,1,gd_place,,,"57069,Vermillion,SD",",6,",6,0,9 Court St,,Vermillion,SD,United States,57069,42.778753,-96.932603,(605) 670-3409,,,,,,,,
