ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,Chittenden Emergency Food SHLF,,publish,1,gd_place,,,"5401,Burlington,VT",",6,",6,0,228 N Winooski Ave,,Burlington,VT,United States,5401,44.4862445,-73.2092707,(802) 658-7939,,,,,,,,
,Colchester Community Food SHLF,,publish,1,gd_place,,,"5446,Colchester,VT",",6,",6,0,245 Main St,,Colchester,VT,United States,5446,44.5487863,-73.1607751,(802) 879-2444,,,,,,,,
,Colchester Food Shelf,,publish,1,gd_place,,,"5446,Colchester,VT",",6,",6,0,PO Box 625,,Colchester,VT,United States,5446,44.5439375,-73.1479068,(802) 879-2444,,,,,,,,
,Congregational Church,,publish,1,gd_place,,,"5491,Vergennes,VT",",6,",6,0,30 S Water St,,Vergennes,VT,United States,5491,44.1658926,-73.2534764,(802) 877-2435,,,,,,,,
,Green Mountain Cmnty Alliance,,publish,1,gd_place,,,"5676,Waterbury,VT",",6,",6,0,4987 VT Route 100,,Waterbury,VT,United States,5676,44.3143878,-72.7634532,(802) 244-6463,,,,,,,,
,Groundworks Collaborative,,publish,1,gd_place,,,"5301,Brattleboro,VT",",6,",6,0,81 Royal R,,Brattleboro,VT,United States,5301,42.8509152,-72.5578678,(802) 257-0066,,,,,,,,
,Hedding United Methodist Chr,,publish,1,gd_place,,,"5641,Barre,VT",",6,",6,0,40 Washington St,,Barre,VT,United States,5641,44.1969708,-72.499773,(802) 476-8156,,,,,,,,
,Hinesburg Community Resource,,publish,1,gd_place,,,"5461,Hinesburg,VT",",6,",6,0,51 Ballards-Corners,,Hinesburg,VT,United States,5461,44.3412841,-73.1191735,(802) 482-4946,,,,,,,,
,Randolph Area Food Shelf,,publish,1,gd_place,,,"5060,Randolph,VT",",6,",6,0,12 Prince St # 3,,Randolph,VT,United States,5060,43.9260093,-72.6642299,(802) 431-0144,,,,,,,,
,Salvation Army Community Ctr,,publish,1,gd_place,,,"5701,Rutland,VT",",6,",6,0,1 Field Ave,,Rutland,VT,United States,5701,43.6265691,-72.9762702,(802) 775-5150,,,,,,,,
,Vermont Foodbank,,publish,1,gd_place,,,"5301,Brattleboro,VT",",6,",6,0,22 Browne Ct # 108,,Brattleboro,VT,United States,5301,42.8884262,-72.550712,(802) 246-0993,,,,,,,,
,Vermont Foodbank Inc,,publish,1,gd_place,,,"5641,Barre,VT",",6,",6,0,33 Parker Rd,,Barre,VT,United States,5641,44.1731982,-72.4825712,(802) 246-0993,,,,,,,,
